ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
LHX,2021-05-12,11:57:00,B66EFB,Linkwell Corp.,99,0.49,partnerships,,Linkwell Corp.: Collaborating with Linkwell,PRESS-RELEASE,Business Wire,Independence Blue Cross Elevates Member Engagement with Linkwell Health
LHX,2021-05-12,11:57:00,B66EFB,Linkwell Corp.,99,0.49,partnerships,,Linkwell Corp.: Collaborating with Linkwell,PRESS-RELEASE,Business Wire,Independence Blue Cross Elevates Member Engagement with Linkwell Health
LHX,2021-05-12,11:57:00,B66EFB,Linkwell Corp.,99,0.49,partnerships,,Linkwell Corp.: Collaborating with Linkwell,PRESS-RELEASE,Business Wire,Independence Blue Cross Elevates Member Engagement with Linkwell Health
LHX,2021-05-12,11:57:00,B66EFB,Linkwell Corp.,99,0.49,partnerships,,Linkwell Corp.: Collaborating with Linkwell,PRESS-RELEASE,Business Wire,Independence Blue Cross Elevates Member Engagement with Linkwell Health
LHX,2021-01-05,23:52:46,EE6F1C,L3Harris Technologies Inc.,100,0.52,insider-trading,,"Officer Gautier Acquires 1,211 Of L3Harris Technologies Inc >LHX",FULL-ARTICLE,Dow Jones Newswires,"Officer Gautier Acquires 1,211 Of L3Harris Technologies Inc >LHX"
LHX,2021-01-05,23:55:02,EE6F1C,L3Harris Technologies Inc.,100,0.52,insider-trading,,"Pres Kubasik Acquires 7,174 Of L3Harris Technologies Inc >LHX",FULL-ARTICLE,Dow Jones Newswires,"Pres Kubasik Acquires 7,174 Of L3Harris Technologies Inc >LHX"
LHX,2021-01-06,23:14:07,EE6F1C,L3Harris Technologies Inc.,100,0.16,credit-ratings,set,Moody's Assigns A3 To Harris Co,NEWS-FLASH,Dow Jones Newswires,"Moody's Assigns A3 To Harris Co Mud No. 281, Tx's Go Bonds"
LHX,2021-01-07,12:21:09,EE6F1C,L3Harris Technologies Inc.,100,-0.58,analyst-ratings,negative,L3Harris Technologies Cut to Neutral From Outperform by Baird,NEWS-FLASH,Dow Jones Newswires,L3Harris Technologies Cut to Neutral From Outperform by Baird
LHX,2021-01-07,12:21:09,EE6F1C,L3Harris Technologies Inc.,100,0.0,price-targets,set,L3Harris Technologies Price Target Announced at $210.00/Share by Baird,NEWS-FLASH,Dow Jones Newswires,L3Harris Technologies Price Target Announced at $210.00/Share by Baird
LHX,2021-01-07,16:36:30,EE6F1C,L3Harris Technologies Inc.,100,0.34,analyst-ratings,neutral,L3Harris Technologies Is Maintained at Overweight by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,L3Harris Technologies Is Maintained at Overweight by Morgan Stanley
LHX,2021-01-07,16:36:30,EE6F1C,L3Harris Technologies Inc.,100,-0.6,price-targets,downgrade,L3Harris Technologies Price Target Cut to $235.00/Share From $248.00 by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,L3Harris Technologies Price Target Cut to $235.00/Share From $248.00 by Morgan Stanley
LHX,2021-01-12,14:00:27,EE6F1C,L3Harris Technologies Inc.,100,0.52,products-services,,L3Harris Technologies Demonstrates Antenna Technology for US,PRESS-RELEASE,Business Wire,L3Harris Technologies Demonstrates Antenna Technology for US Space Force Satellite Communications
LHX,2021-01-12,14:03:43,EE6F1C,L3Harris Technologies Inc.,100,0.52,products-services,,L3Harris Technologies Demonstrates Antenna Technology for US,NEWS-FLASH,Dow Jones Newswires,L3Harris Technologies Demonstrates Antenna Technology for US. Space Force Satellite Commun
