ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
LOW,2024-01-04,12:28:20,76E80F,Lowe's Companies Inc.,100,0.0,analyst-ratings,neutral,Lowe's Is Maintained at Equal-Weight by Barclays,NEWS-FLASH,Dow Jones Newswires,Lowe's Is Maintained at Equal-Weight by Barclays
LOW,2024-01-04,12:28:20,76E80F,Lowe's Companies Inc.,100,0.78,price-targets,upgrade,Lowe's Price Target Raised to $229.00/Share From $203.00 by Barclays,NEWS-FLASH,Dow Jones Newswires,Lowe's Price Target Raised to $229.00/Share From $203.00 by Barclays
LOW,2024-01-10,13:00:13,76E80F,Lowe's Companies Inc.,99,0.76,products-services,,Lowe's Launches MyLowe's Rewards Loyalty Program,PRESS-RELEASE,PR Newswire,Lowe's Launches MyLowe's Rewards Loyalty Program Aimed at Helping DIYers Get More Value When They Choose Lowe's for Their Home Improvement Needs
LOW,2024-01-10,13:00:14,76E80F,Lowe's Companies Inc.,99,0.76,products-services,,Lowe's Launches MyLowe's Rewards Loyalty Program,PRESS-RELEASE,Dow Jones Newswires,Press Release: Lowe's Launches MyLowe's Rewards Loyalty Program Aimed at Helping DIYers Get More Value When They Choose Lowe's for Their Home Improvement Needs
LOW,2024-01-12,21:30:03,76E80F,Lowe's Companies Inc.,100,0.53,labor-issues,,"Lowe's Companies, Inc. (NYSE: LOW) announced the appointment of Margi Vagell as executive vice president",PRESS-RELEASE,PR Newswire,"LOWE'S NAMES MARGI VAGELL EXECUTIVE VICE PRESIDENT, SUPPLY CHAIN"
LOW,2024-01-12,21:30:04,76E80F,Lowe's Companies Inc.,100,0.53,labor-issues,,"Lowe's Companies, Inc. (NYSE: LOW) announced the appointment of Margi Vagell as executive vice president",PRESS-RELEASE,Dow Jones Newswires,"Press Release: LOWE'S NAMES MARGI VAGELL EXECUTIVE VICE PRESIDENT, SUPPLY CHAIN"
LOW,2024-01-16,15:16:02,76E80F,Lowe's Companies Inc.,100,0.34,analyst-ratings,neutral,Lowe's Is Maintained at Overweight by Piper Sandler,NEWS-FLASH,Dow Jones Newswires,Lowe's Is Maintained at Overweight by Piper Sandler
LOW,2024-01-16,15:16:02,76E80F,Lowe's Companies Inc.,100,0.78,price-targets,upgrade,Lowe's Price Target Raised to $245.00/Share From $218.00 by Piper Sandler,NEWS-FLASH,Dow Jones Newswires,Lowe's Price Target Raised to $245.00/Share From $218.00 by Piper Sandler
LOW,2024-01-17,19:27:27,76E80F,Lowe's Companies Inc.,100,0.0,credit-ratings,action,"Moody's Announces Completion Of A Periodic Review Of Ratings Of Lowe's Companies, Inc.",NEWS-FLASH,Dow Jones Newswires,"Moody's Announces Completion Of A Periodic Review Of Ratings Of Lowe's Companies, Inc."
LOW,2024-01-18,14:00:02,76E80F,Lowe's Companies Inc.,91,0.49,partnerships,,Alen.com and the expanded partnership with Lowes,PRESS-RELEASE,Business Wire,Austin-based Air Purifier Company Reports Strong 2023 Growth: Alen Announces 33 Percent Growth in 2023 Sales and Expanded Footprint in Lowe's Stores Nationwide
LOW,2024-01-22,13:48:57,76E80F,Lowe's Companies Inc.,97,-0.57,price-targets,downgrade,Oppenheimer analysts cut price targets on Lowe's,FULL-ARTICLE,MarketWatch,MW Home Depot and Lowe's downgraded on 'cautious' stance toward home improvement
LOW,2024-01-22,14:40:56,76E80F,Lowe's Companies Inc.,97,-0.57,price-targets,downgrade,Oppenheimer analysts cut price targets on Lowe's,FULL-ARTICLE,MarketWatch,MW Home Depot and Lowe's downgraded on 'cautious' stance toward home improvement
LOW,2024-01-22,21:19:28,76E80F,Lowe's Companies Inc.,97,-0.57,price-targets,downgrade,Oppenheimer analysts cut price targets on Lowe's,FULL-ARTICLE,MarketWatch,MW Home Depot and Lowe's downgraded on 'cautious' stance toward home improvement
LOW,2024-02-12,12:07:56,76E80F,Lowe's Companies Inc.,100,0.94,analyst-ratings,positive,Lowe's Raised to Overweight From Neutral by JP Morgan,NEWS-FLASH,Dow Jones Newswires,Lowe's Raised to Overweight From Neutral by JP Morgan
LOW,2024-02-12,12:07:56,76E80F,Lowe's Companies Inc.,100,0.8,price-targets,upgrade,Lowe's Price Target Raised to $265.00/Share From $210.00 by JP Morgan,NEWS-FLASH,Dow Jones Newswires,Lowe's Price Target Raised to $265.00/Share From $210.00 by JP Morgan
LOW,2024-02-12,15:48:42,76E80F,Lowe's Companies Inc.,96,0.94,analyst-ratings,positive,Horvers upgraded Lowe's to Overweight from Neutral,FULL-ARTICLE,Dow Jones Newswires,Lowe's Stock Gets an Upgrade. How Rate Cuts Could Help. -- Barrons.com
LOW,2024-02-12,15:48:42,76E80F,Lowe's Companies Inc.,96,0.0,earnings,,Lowe's fourth-quarter financial results,FULL-ARTICLE,Dow Jones Newswires,Lowe's Stock Gets an Upgrade. How Rate Cuts Could Help. -- Barrons.com
LOW,2024-02-13,16:56:29,76E80F,Lowe's Companies Inc.,100,0.34,analyst-ratings,neutral,Lowe's Is Maintained at Buy by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Lowe's Is Maintained at Buy by Goldman Sachs
LOW,2024-02-13,16:56:29,76E80F,Lowe's Companies Inc.,100,0.78,price-targets,upgrade,Lowe's Price Target Raised to $262.00/Share From $238.00 by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Lowe's Price Target Raised to $262.00/Share From $238.00 by Goldman Sachs
LOW,2024-02-13,18:31:49,76E80F,Lowe's Companies Inc.,100,0.34,analyst-ratings,neutral,Lowe's Is Maintained at Overweight by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,Lowe's Is Maintained at Overweight by Wells Fargo
LOW,2024-02-13,18:31:49,76E80F,Lowe's Companies Inc.,100,0.64,price-targets,upgrade,Lowe's Price Target Raised to $250.00/Share From $235.00 by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,Lowe's Price Target Raised to $250.00/Share From $235.00 by Wells Fargo
LOW,2024-02-14,19:06:31,76E80F,Lowe's Companies Inc.,100,0.94,analyst-ratings,positive,Lowe's Raised to Outperform From Average by Baird,NEWS-FLASH,Dow Jones Newswires,Lowe's Raised to Outperform From Average by Baird
LOW,2024-02-14,22:19:40,76E80F,Lowe's Companies Inc.,100,-0.34,equity-actions,decrease,Pershing Square Capital Management Decreases Stake in Lowe's,RNS-SEC13F,Dow Jones Newswires,"Pershing Square Capital Management Decreases Stake in Lowe's by 5,821,108 Shares to 1,245,515"
LOW,2024-02-16,15:26:45,76E80F,Lowe's Companies Inc.,100,0.0,analyst-ratings,neutral,Lowe's Is Maintained at Hold by Stifel,NEWS-FLASH,Dow Jones Newswires,Lowe's Is Maintained at Hold by Stifel
LOW,2024-02-16,15:26:45,76E80F,Lowe's Companies Inc.,100,-0.66,price-targets,downgrade,Lowe's Price Target Cut to $225.00/Share From $240.00 by Stifel,NEWS-FLASH,Dow Jones Newswires,Lowe's Price Target Cut to $225.00/Share From $240.00 by Stifel
LOW,2024-02-20,11:00:12,76E80F,Lowe's Companies Inc.,100,0.0,investor-relations,,"Lowe's Companies, Inc. to Host Fourth Quarter & Fiscal 2023 Earnings Conference Call on Feb. 27",PRESS-RELEASE,PR Newswire,"Lowe's Companies, Inc. to Host Fourth Quarter & Fiscal 2023 Earnings Conference Call on Feb. 27"
LOW,2024-02-20,11:00:12,76E80F,Lowe's Companies Inc.,100,0.0,investor-relations,,"Lowe's Companies, Inc. to Host Fourth Quarter & Fiscal 2023 Earnings Conference Call on Feb. 27",PRESS-RELEASE,PR Newswire,"Lowe's Companies, Inc. to Host Fourth Quarter & Fiscal 2023 Earnings Conference Call on Feb. 27"
LOW,2024-02-20,11:00:12,76E80F,Lowe's Companies Inc.,100,0.0,investor-relations,,"Lowe's Companies, Inc. to Host Fourth Quarter & Fiscal 2023 Earnings Conference Call on Feb. 27",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Lowe's Companies, Inc. to Host Fourth Quarter & Fiscal 2023 Earnings Conference Call on Feb. 27"
LOW,2024-02-20,11:00:12,76E80F,Lowe's Companies Inc.,100,0.0,investor-relations,,"Lowe's Companies, Inc. to Host Fourth Quarter & Fiscal 2023 Earnings Conference Call on Feb. 27",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Lowe's Companies, Inc. to Host Fourth Quarter & Fiscal 2023 Earnings Conference Call on Feb. 27"
LOW,2024-02-21,16:47:57,76E80F,Lowe's Companies Inc.,100,0.0,analyst-ratings,neutral,Lowe's Is Maintained at Neutral by Citigroup,NEWS-FLASH,Dow Jones Newswires,Lowe's Is Maintained at Neutral by Citigroup
LOW,2024-02-21,16:47:57,76E80F,Lowe's Companies Inc.,100,0.78,price-targets,upgrade,Lowe's Price Target Raised to $236.00/Share From $199.00 by Citigroup,NEWS-FLASH,Dow Jones Newswires,Lowe's Price Target Raised to $236.00/Share From $199.00 by Citigroup
LOW,2024-02-21,21:01:00,76E80F,Lowe's Companies Inc.,100,0.49,partnerships,,Sunrun and Lowe's Partner to,PRESS-RELEASE,GlobeNewswire,Sunrun and Lowe's Partner to Bring Solar and Storage to Millions of Homeowners
LOW,2024-02-21,21:01:00,76E80F,Lowe's Companies Inc.,100,0.52,products-services,,Lowe's to introduce innovative products and services,PRESS-RELEASE,GlobeNewswire,Sunrun and Lowe's Partner to Bring Solar and Storage to Millions of Homeowners
LOW,2024-02-21,21:01:01,76E80F,Lowe's Companies Inc.,100,0.49,partnerships,,Sunrun and Lowe's Partner to,PRESS-RELEASE,Dow Jones Newswires,Press Release: Sunrun and Lowe's Partner to Bring Solar and Storage to Millions of Homeowners
LOW,2024-02-21,21:01:01,76E80F,Lowe's Companies Inc.,100,0.52,products-services,,Lowe's to introduce innovative products and services,PRESS-RELEASE,Dow Jones Newswires,Press Release: Sunrun and Lowe's Partner to Bring Solar and Storage to Millions of Homeowners
LOW,2024-02-23,08:00:36,76E80F,Lowe's Companies Inc.,100,0.0,investor-relations,,"Lowe's Companies Inc, Inst Holders, 4Q 2023 (LOW)",RNS-SEC13F,Dow Jones Newswires,"Lowe's Companies  Inc, Inst Holders, 4Q 2023 (LOW)"
LOW,2024-02-26,22:00:00,76E80F,Lowe's Companies Inc.,98,0.0,earnings,,Lowe's reports fourth-quarter earnings before the market opens Tuesday,FULL-ARTICLE,Dow Jones Newswires,Lowe's Earnings Are on Tap. Home Depot's Results Hint at What to Expect. -- Barrons.com
LOW,2024-02-26,22:00:00,76E80F,Lowe's Companies Inc.,98,0.61,earnings,positive,Lowe's will post adjusted earnings of $1.68 a share,FULL-ARTICLE,Dow Jones Newswires,Lowe's Earnings Are on Tap. Home Depot's Results Hint at What to Expect. -- Barrons.com
LOW,2024-02-27,11:00:08,76E80F,Lowe's Companies Inc.,100,0.0,revenues,,Lowe's Companies Inc.: Prior-year quarterly sales,PRESS-RELEASE,PR Newswire,LOWE'S REPORTS FOURTH QUARTER 2023 SALES AND EARNINGS RESULTS
LOW,2024-02-27,11:00:08,76E80F,Lowe's Companies Inc.,100,0.61,earnings,positive,4Q EPS $1.77 >LOW,NEWS-FLASH,Dow Jones Newswires,Lowe's 4Q EPS $1.77 >LOW
LOW,2024-02-27,11:00:08,76E80F,Lowe's Companies Inc.,100,0.0,revenues,,Lowe's Companies Inc.: Total sales for the quarter were $18.6 billion,PRESS-RELEASE,PR Newswire,LOWE'S REPORTS FOURTH QUARTER 2023 SALES AND EARNINGS RESULTS
LOW,2024-02-27,11:00:08,76E80F,Lowe's Companies Inc.,100,-0.21,revenues,down,Lowe's Companies Inc.: Comparable Sales Decreased 6.2%,PRESS-RELEASE,PR Newswire,LOWE'S REPORTS FOURTH QUARTER 2023 SALES AND EARNINGS RESULTS
LOW,2024-02-27,11:00:08,76E80F,Lowe's Companies Inc.,100,0.61,earnings,positive,Lowe's Companies Inc.: Diluted EPS of $1.77,PRESS-RELEASE,PR Newswire,LOWE'S REPORTS FOURTH QUARTER 2023 SALES AND EARNINGS RESULTS
LOW,2024-02-27,11:00:08,76E80F,Lowe's Companies Inc.,100,0.0,earnings,,Lowe's Companies Inc.: Provides Full Year 2024 Outlook,PRESS-RELEASE,PR Newswire,LOWE'S REPORTS FOURTH QUARTER 2023 SALES AND EARNINGS RESULTS
