ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
LRCX,2024-01-02,15:15:26,0B57D7,Lam Research Corp.,100,-0.48,insider-trading,,Vp Correia Registers 647 Of Lam Research Corp >LRCX,RNS-SEC144,Dow Jones Newswires,VP Correia Registers 647 Of Lam Research Corp >LRCX
LRCX,2024-01-02,15:54:35,0B57D7,Lam Research Corp.,100,-0.48,insider-trading,,Chmn Talwalkar Registers 882 Of Lam Research Corp >LRCX,RNS-SEC144,Dow Jones Newswires,Chmn Talwalkar Registers 882 Of Lam Research Corp >LRCX
LRCX,2024-01-03,15:36:45,0B57D7,Lam Research Corp.,100,-0.48,insider-trading,,"Vp Hahn Registers 2,342 Of Lam Research Corp >LRCX",RNS-SEC144,Dow Jones Newswires,"VP Hahn Registers 2,342 Of Lam Research Corp >LRCX"
LRCX,2024-01-03,15:57:27,0B57D7,Lam Research Corp.,100,-0.48,insider-trading,,"Ceo Archer Registers 10,524 Of Lam Research Corp >LRCX",RNS-SEC144,Dow Jones Newswires,"CEO Archer Registers 10,524 Of Lam Research Corp >LRCX"
LRCX,2024-01-03,21:05:03,0B57D7,Lam Research Corp.,100,0.0,investor-relations,,Lam Research Corporation Announces December 2023 Quarter Financial Conference Call,PRESS-RELEASE,PR Newswire,Lam Research Corporation Announces December 2023 Quarter Financial Conference Call
LRCX,2024-01-03,21:05:03,0B57D7,Lam Research Corp.,100,0.0,investor-relations,,Lam Research Corp.: Lam Research Corp. (NASDAQ: LRCX) today announced that the company will host its quarterly financial conference call and webcast on Wednesday,PRESS-RELEASE,PR Newswire,Lam Research Corporation Announces December 2023 Quarter Financial Conference Call
LRCX,2024-01-03,21:27:10,0B57D7,Lam Research Corp.,100,-0.49,insider-trading,,Chmn Talwalkar Sells 882 Of Lam Research Corp,TABULAR-MATERIAL,Dow Jones Newswires,Chmn Talwalkar Sells 882 Of Lam Research Corp >LRCX
LRCX,2024-01-03,21:29:32,0B57D7,Lam Research Corp.,100,-0.49,insider-trading,,Vp Correia Sells 647 Of Lam Research Corp,TABULAR-MATERIAL,Dow Jones Newswires,VP Correia Sells 647 Of Lam Research Corp >LRCX
LRCX,2024-01-03,22:29:19,0B57D7,Lam Research Corp.,100,0.0,investor-relations,,Lam Research Corporation Announces December 2023 Quarter Financial Conference Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: Lam Research Corporation Announces December 2023 Quarter Financial Conference Call
LRCX,2024-01-03,22:29:19,0B57D7,Lam Research Corp.,100,0.0,investor-relations,,Lam Research Corp.: Lam Research Corp. (NASDAQ: LRCX) today announced that the company will host its quarterly financial conference call and webcast on Wednesday,PRESS-RELEASE,Dow Jones Newswires,Press Release: Lam Research Corporation Announces December 2023 Quarter Financial Conference Call
LRCX,2024-01-04,20:22:42,0B57D7,Lam Research Corp.,100,-0.49,insider-trading,,"Vp Hahn Sells 2,342 Of Lam Research Corp",TABULAR-MATERIAL,Dow Jones Newswires,"VP Hahn Sells 2,342 Of Lam Research Corp >LRCX"
LRCX,2024-01-04,20:24:10,0B57D7,Lam Research Corp.,100,-0.49,insider-trading,,"Ceo Archer Sells 10,524 Of Lam Research Corp",TABULAR-MATERIAL,Dow Jones Newswires,"CEO Archer Sells 10,524 Of Lam Research Corp >LRCX"
LRCX,2024-01-16,17:41:32,0B57D7,Lam Research Corp.,100,0.0,analyst-ratings,neutral,Lam Research Is Maintained at Equal-Weight by Barclays,NEWS-FLASH,Dow Jones Newswires,Lam Research Is Maintained at Equal-Weight by Barclays
LRCX,2024-01-16,17:41:32,0B57D7,Lam Research Corp.,100,0.78,price-targets,upgrade,Lam Research Price Target Raised to $750.00/Share From $600.00 by Barclays,NEWS-FLASH,Dow Jones Newswires,Lam Research Price Target Raised to $750.00/Share From $600.00 by Barclays
LRCX,2024-01-16,21:21:13,0B57D7,Lam Research Corp.,100,0.34,analyst-ratings,neutral,Lam Research Is Maintained at Buy by Stifel,NEWS-FLASH,Dow Jones Newswires,Lam Research Is Maintained at Buy by Stifel
LRCX,2024-01-16,21:21:13,0B57D7,Lam Research Corp.,100,0.78,price-targets,upgrade,Lam Research Price Target Raised to $850.00/Share From $750.00 by Stifel,NEWS-FLASH,Dow Jones Newswires,Lam Research Price Target Raised to $850.00/Share From $750.00 by Stifel
LRCX,2024-01-19,15:49:29,0B57D7,Lam Research Corp.,100,0.2,analyst-ratings,neutral,Lam Research Is Maintained at Outperform by Raymond James,NEWS-FLASH,Dow Jones Newswires,Lam Research Is Maintained at Outperform by Raymond James
LRCX,2024-01-19,15:49:29,0B57D7,Lam Research Corp.,100,0.78,price-targets,upgrade,Lam Research Price Target Raised to $850.00/Share From $725.00 by Raymond James,NEWS-FLASH,Dow Jones Newswires,Lam Research Price Target Raised to $850.00/Share From $725.00 by Raymond James
LRCX,2024-01-23,10:24:17,0B57D7,Lam Research Corp.,100,0.01,analyst-ratings,neutral,Lam Research Initiated at Neutral by Cantor Fitzgerald,NEWS-FLASH,Dow Jones Newswires,Lam Research Initiated at Neutral by Cantor Fitzgerald
LRCX,2024-01-23,10:24:17,0B57D7,Lam Research Corp.,100,0.0,price-targets,set,Lam Research Price Target Announced at $830.00/Share by Cantor Fitzgerald,NEWS-FLASH,Dow Jones Newswires,Lam Research Price Target Announced at $830.00/Share by Cantor Fitzgerald
LRCX,2024-01-24,21:05:13,0B57D7,Lam Research Corp.,100,0.61,earnings,positive,Lam Research 2Q Adj EPS $7.52,NEWS-FLASH,Dow Jones Newswires,Lam Research 2Q Adj EPS $7.52 >LRCX
LRCX,2024-01-24,21:05:13,0B57D7,Lam Research Corp.,100,0.0,earnings,,"Lam Research"") today announced financial results for the quarter ended December 24, 2023",PRESS-RELEASE,PR Newswire,"Lam Research Corporation Reports Financial Results for the Quarter Ended December 24, 2023"
