ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
LW,2021-01-07,20:32:59,3BA591,Sienna Senior Living Inc.,100,0.0,earnings,,Sienna Announces Fourth Quarter 2020 Results,PRESS-RELEASE,GlobeNewswire,Sienna Announces Fourth Quarter 2020 Results Release Date and Conference Call
LW,2021-01-07,20:33:13,3BA591,Sienna Senior Living Inc.,100,0.0,earnings,,Sienna Announces Fourth Quarter 2020 Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Sienna Announces Fourth Quarter 2020 Results Release Date and Conference Call
LW,2021-01-15,15:00:01,3BA591,Sienna Senior Living Inc.,100,0.0,dividends,,Sienna Announces January Dividend,PRESS-RELEASE,GlobeNewswire,Sienna Announces January Dividend
LW,2021-01-15,15:09:40,3BA591,Sienna Senior Living Inc.,100,0.0,dividends,,Sienna Announces January Dividend,PRESS-RELEASE,Dow Jones Newswires,Press Release: Sienna Announces January Dividend
LW,2021-01-25,13:04:59,3BA591,Sienna Senior Living Inc.,100,0.53,labor-issues,,"Sienna Senior Living Appointment of Stephen Roy as Senior Vice Pres, Real Estate Development and Construction >SIA.T",NEWS-FLASH,Dow Jones Newswires,"Sienna Senior Living Appointment of Stephen Roy as Senior Vice Pres, Real Estate Development and Construction >SIA.T"
LW,2021-02-12,15:00:01,3BA591,Sienna Senior Living Inc.,100,0.0,dividends,,Sienna Announces February Dividend,PRESS-RELEASE,GlobeNewswire,Sienna Announces February Dividend
LW,2021-02-18,21:02:01,3BA591,Sienna Senior Living Inc.,99,0.0,equity-actions,,Sienna Senior Living Inc.: Additional Government Funding,PRESS-RELEASE,GlobeNewswire,Sienna Senior Living Inc. Provides Operations Update and Reports 2020 Fourth Quarter and Year-End Financial Results
LW,2021-02-18,21:02:01,3BA591,Sienna Senior Living Inc.,99,-0.24,revenues,down,Sienna Senior Living Inc.: Revenue decreased by 0.2% to $168.8 million,PRESS-RELEASE,GlobeNewswire,Sienna Senior Living Inc. Provides Operations Update and Reports 2020 Fourth Quarter and Year-End Financial Results
LW,2021-02-18,21:02:01,3BA591,Sienna Senior Living Inc.,99,0.0,equity-actions,,Sienna Senior Living Inc.: Operating expenses,PRESS-RELEASE,GlobeNewswire,Sienna Senior Living Inc. Provides Operations Update and Reports 2020 Fourth Quarter and Year-End Financial Results
LW,2021-02-18,21:02:01,3BA591,Sienna Senior Living Inc.,99,-0.67,earnings,down,Sienna Senior Living Inc.: Net income decreased,PRESS-RELEASE,GlobeNewswire,Sienna Senior Living Inc. Provides Operations Update and Reports 2020 Fourth Quarter and Year-End Financial Results
LW,2021-02-18,21:02:01,3BA591,Sienna Senior Living Inc.,91,-0.65,earnings,negative,Sienna Senior Living Inc.: Net (loss,PRESS-RELEASE,GlobeNewswire,Sienna Senior Living Inc. Provides Operations -2-
LW,2021-02-18,21:02:01,3BA591,Sienna Senior Living Inc.,91,0.0,dividends,,Sienna Senior Living Inc.: Dividends,PRESS-RELEASE,GlobeNewswire,Sienna Senior Living Inc. Provides Operations -2-
LW,2021-02-18,21:02:01,3BA591,Sienna Senior Living Inc.,91,0.0,earnings,,"Sienna Senior Living Inc.: EBITDA for the three months ended December 31, 2020",PRESS-RELEASE,GlobeNewswire,Sienna Senior Living Inc. Provides Operations -2-
LW,2021-02-18,21:02:01,3BA591,Sienna Senior Living Inc.,91,0.0,earnings,,"Sienna Senior Living Inc.: EBITDA for the year ended December 31, 2020",PRESS-RELEASE,GlobeNewswire,Sienna Senior Living Inc. Provides Operations -2-
LW,2021-02-18,21:02:01,3BA591,Sienna Senior Living Inc.,91,0.0,equity-actions,,"Sienna Senior Living Inc.: Operating expenses, excluding net pandemic expenses(1) $133,146 $134,303",PRESS-RELEASE,GlobeNewswire,Sienna Senior Living Inc. Provides Operations -2-
LW,2021-02-18,21:02:01,3BA591,Sienna Senior Living Inc.,91,0.0,earnings,,Sienna Senior Living Inc.: EBITDA for the three months,PRESS-RELEASE,GlobeNewswire,Sienna Senior Living Inc. Provides Operations -2-
LW,2021-02-18,21:02:01,3BA591,Sienna Senior Living Inc.,93,0.48,equity-actions,down,"Sienna Senior Living Inc.: Excluding net pandemic expenses, NOI decreased",PRESS-RELEASE,GlobeNewswire,Sienna Senior Living Inc. Provides Operations -3-
