ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
LYB,2024-01-03,13:37:17,C87ECC,LyondellBasell Industries N.V.,100,0.94,analyst-ratings,positive,Lyondellbasell Raised to Buy From Hold by Vertical Research,NEWS-FLASH,Dow Jones Newswires,LyondellBasell Raised to Buy From Hold by Vertical Research
LYB,2024-01-03,21:09:52,C87ECC,LyondellBasell Industries N.V.,100,0.52,insider-trading,,Vp van der Laan Acquires 809 Of LyondellBasell Industries NV >LYB,FULL-ARTICLE,Dow Jones Newswires,VP van der Laan Acquires 809 Of LyondellBasell Industries NV >LYB
LYB,2024-01-10,12:05:28,C87ECC,LyondellBasell Industries N.V.,100,-0.58,analyst-ratings,negative,Lyondellbasell Cut to Hold From Buy by Deutsche Bank,NEWS-FLASH,Dow Jones Newswires,LyondellBasell Cut to Hold From Buy by Deutsche Bank
LYB,2024-01-10,12:05:28,C87ECC,LyondellBasell Industries N.V.,100,0.0,price-targets,set,Lyondellbasell Price Target Announced at $105.00/Share by Deutsche Bank,NEWS-FLASH,Dow Jones Newswires,LyondellBasell Price Target Announced at $105.00/Share by Deutsche Bank
LYB,2024-01-16,13:15:13,C87ECC,LyondellBasell Industries N.V.,100,0.62,acquisitions-mergers,,Lyb Enters Into Agreement to Acquire 35% of Saudi Arabia-based NATPET; Expands,NEWS-FLASH,Dow Jones Newswires,LYB Enters Into Agreement to Acquire 35% of Saudi Arabia-based NATPET; Expands Core PP Business
LYB,2024-01-16,13:15:14,C87ECC,LyondellBasell Industries N.V.,100,0.62,acquisitions-mergers,,Lyb Enters Into Agreement to Acquire 35% of Saudi Arabia-based NATPET; Expands,NEWS-FLASH,Dow Jones Newswires,LYB Enters Into Agreement to Acquire 35% of Saudi Arabia-based NATPET; Expands Core PP Business
LYB,2024-01-16,13:16:15,C87ECC,LyondellBasell Industries N.V.,100,0.22,acquisitions-mergers,,Lyondellbasell to Acquire 35% Interest in National Petrochemical Industrial Co From Alujain Corp for About $500 M,NEWS-FLASH,Dow Jones Newswires,LyondellBasell to Acquire 35% Interest in National Petrochemical Industrial Co From Alujain Corp for About $500 M >LYB
LYB,2024-01-16,13:17:12,C87ECC,LyondellBasell Industries N.V.,100,0.22,acquisitions-mergers,,Lyondellbasell to Buy 35% Stake in National Petrochemical Industrial for About $500 Million,NEWS-FLASH,Dow Jones Newswires,LyondellBasell to Buy 35% Stake in National Petrochemical Industrial for About $500 Million >LYB
LYB,2024-01-16,13:17:29,C87ECC,LyondellBasell Industries N.V.,100,0.22,acquisitions-mergers,,Lyondellbasell to Buy 35% Stake in National Petrochemical Industrial From Alujain >LYB,NEWS-FLASH,Dow Jones Newswires,LyondellBasell to Buy 35% Stake in National Petrochemical Industrial From Alujain >LYB
LYB,2024-01-16,13:50:24,C87ECC,LyondellBasell Industries N.V.,100,0.22,acquisitions-mergers,,Lyondellbasell to Acquire 35% Stake in National Petrochemical Industrial,FULL-ARTICLE,Dow Jones Newswires,LyondellBasell to Acquire 35% Stake in National Petrochemical Industrial
LYB,2024-01-17,19:16:14,C87ECC,LyondellBasell Industries N.V.,99,0.39,products-services,,Lyondellbasell (NYSE:LYB) signed two new Power Purchase Agreements,PRESS-RELEASE,DJ Global Press Release Wire,LyondellBasell Edges Closer to Meeting Its 2030 Renewable Energy Target
LYB,2024-01-17,19:16:14,C87ECC,LyondellBasell Industries N.V.,99,0.49,partnerships,,LyondellBasell Industries N.V.: We are excited to collaborate with LyondellBasell in,PRESS-RELEASE,DJ Global Press Release Wire,LyondellBasell Edges Closer to Meeting Its 2030 Renewable Energy Target
LYB,2024-01-19,11:30:03,C87ECC,LyondellBasell Industries N.V.,99,0.0,investor-relations,,LyondellBasell Industries N.V.: Teleconference and Webcast Details,PRESS-RELEASE,PR Newswire,"LyondellBasell to Discuss Fourth Quarter Results on Friday, February 2, 2024"
LYB,2024-01-19,11:30:23,C87ECC,LyondellBasell Industries N.V.,99,0.0,investor-relations,,LyondellBasell Industries N.V.: Teleconference and Webcast Details,PRESS-RELEASE,Dow Jones Newswires,"Press Release: LyondellBasell to Discuss Fourth Quarter Results on Friday, February 2, 2024"
LYB,2024-01-22,14:48:27,C87ECC,LyondellBasell Industries N.V.,99,0.22,acquisitions-mergers,,LyondellBasell Industries N.V.: Investing in our,PRESS-RELEASE,DJ Global Press Release Wire,LyondellBasell Advanced Recycling Project Selected for EU Innovation Fund Grant
LYB,2024-02-02,11:30:04,C87ECC,LyondellBasell Industries N.V.,100,0.61,earnings,positive,LyondellBasell Industries N.V.: Full year 2023 net income was $2.1 billion,PRESS-RELEASE,PR Newswire,LyondellBasell Reports 2023 Earnings
LYB,2024-02-02,11:30:04,C87ECC,LyondellBasell Industries N.V.,100,0.61,earnings,positive,LyondellBasell Industries N.V.: Diluted earnings per share: $0.56,PRESS-RELEASE,PR Newswire,LyondellBasell Reports 2023 Earnings
LYB,2024-02-02,11:30:04,C87ECC,LyondellBasell Industries N.V.,100,0.58,earnings,positive,"LyondellBasell Industries N.V.: EBITDA: $639 million, $910 million",PRESS-RELEASE,PR Newswire,LyondellBasell Reports 2023 Earnings
LYB,2024-02-02,11:30:04,C87ECC,LyondellBasell Industries N.V.,100,0.38,dividends,up,LyondellBasell Industries N.V.: Increased quarterly dividend by 5%,PRESS-RELEASE,PR Newswire,LyondellBasell Reports 2023 Earnings
