ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
MAS,2024-03-22,03:00:00,06FACB,Malaysia Airlines Bhd,99,0.49,partnerships,,Malaysia Airlines Bhd: our partnership with Malaysia Airlines with,PRESS-RELEASE,Business Wire,Manchester United Announces Global Partnership With Malaysia Airlines
MAS,2024-03-22,09:42:48,06FACB,Malaysia Airlines Bhd,99,0.49,partnerships,,Malaysia Airlines Bhd: our partnership with Malaysia Airlines with,PRESS-RELEASE,Dow Jones Newswires,Press Release: Manchester United Announces Global Partnership With Malaysia Airlines
MAS,2024-09-17,12:30:03,06FACB,Malaysia Airlines Bhd,100,0.34,products-services,,Malaysia Airlines selects Sabre's PRISM to,PRESS-RELEASE,PR Newswire,Malaysia Airlines selects Sabre's PRISM to optimize the experience for corporate travelers
MAS,2024-09-17,12:30:03,06FACB,Malaysia Airlines Bhd,100,0.34,products-services,,Malaysia Airlines selects Sabre's PRISM to,PRESS-RELEASE,Dow Jones Newswires,Press Release: Malaysia Airlines selects Sabre's PRISM to optimize the experience for corporate travelers
MAS,2024-09-23,04:30:05,06FACB,Malaysia Airlines Bhd,100,0.49,partnerships,,Malaysia Airlines Bhd: we are excited to collaborate with Malaysia Airlines to,PRESS-RELEASE,PR Newswire,Wego Enhances Travel Options Through New Partnership with Malaysia Airlines
MAS,2024-09-23,04:30:25,06FACB,Malaysia Airlines Bhd,100,0.49,partnerships,,Malaysia Airlines Bhd: we are excited to collaborate with Malaysia Airlines to,PRESS-RELEASE,PR Newswire,Wego Enhances Travel Options Through New Partnership with Malaysia Airlines
MAS,2024-03-22,03:00:00,06FACB,Malaysia Airlines Bhd,99,0.49,partnerships,,Malaysia Airlines Bhd: our partnership with Malaysia Airlines with,PRESS-RELEASE,Business Wire,Manchester United Announces Global Partnership With Malaysia Airlines
MAS,2024-03-22,09:42:48,06FACB,Malaysia Airlines Bhd,99,0.49,partnerships,,Malaysia Airlines Bhd: our partnership with Malaysia Airlines with,PRESS-RELEASE,Dow Jones Newswires,Press Release: Manchester United Announces Global Partnership With Malaysia Airlines
MAS,2024-09-17,12:30:03,06FACB,Malaysia Airlines Bhd,100,0.34,products-services,,Malaysia Airlines selects Sabre's PRISM to,PRESS-RELEASE,PR Newswire,Malaysia Airlines selects Sabre's PRISM to optimize the experience for corporate travelers
MAS,2024-09-17,12:30:03,06FACB,Malaysia Airlines Bhd,100,0.34,products-services,,Malaysia Airlines selects Sabre's PRISM to,PRESS-RELEASE,Dow Jones Newswires,Press Release: Malaysia Airlines selects Sabre's PRISM to optimize the experience for corporate travelers
MAS,2024-09-23,04:30:05,06FACB,Malaysia Airlines Bhd,100,0.49,partnerships,,Malaysia Airlines Bhd: we are excited to collaborate with Malaysia Airlines to,PRESS-RELEASE,PR Newswire,Wego Enhances Travel Options Through New Partnership with Malaysia Airlines
MAS,2024-09-23,04:30:25,06FACB,Malaysia Airlines Bhd,100,0.49,partnerships,,Malaysia Airlines Bhd: we are excited to collaborate with Malaysia Airlines to,PRESS-RELEASE,PR Newswire,Wego Enhances Travel Options Through New Partnership with Malaysia Airlines
MAS,2023-03-02,09:00:05,06FACB,Malaysia Airlines Bhd,100,0.39,products-services,,Malaysia Airlines signs 5-year deal with IBS Software to,PRESS-RELEASE,PR Newswire,Malaysia Airlines signs 5-year deal with IBS Software to Leverage AI and ML Technology Solutions
MAS,2023-03-02,09:00:41,06FACB,Malaysia Airlines Bhd,100,0.39,products-services,,Malaysia Airlines signs 5-year deal with IBS Software to,PRESS-RELEASE,PR Newswire,Malaysia Airlines signs 5-year deal with IBS Software to Leverage AI and ML Technology Solutions
MAS,2023-12-06,14:02:17,06FACB,Malaysia Airlines Bhd,99,0.49,partnerships,,"Malaysia Airlines has entered a partnership with utu, a travel tech company to provide its",PRESS-RELEASE,PR Newswire,"Rewards Beyond Borders: utu and Enrich, the Loyalty programme of Malaysia Airlines enable Enrich Members to earn Enrich points through VAT Refunds"
MAS,2023-03-02,09:00:05,06FACB,Malaysia Airlines Bhd,100,0.39,products-services,,Malaysia Airlines signs 5-year deal with IBS Software to,PRESS-RELEASE,PR Newswire,Malaysia Airlines signs 5-year deal with IBS Software to Leverage AI and ML Technology Solutions
MAS,2023-03-02,09:00:41,06FACB,Malaysia Airlines Bhd,100,0.39,products-services,,Malaysia Airlines signs 5-year deal with IBS Software to,PRESS-RELEASE,PR Newswire,Malaysia Airlines signs 5-year deal with IBS Software to Leverage AI and ML Technology Solutions
MAS,2023-12-06,14:02:17,06FACB,Malaysia Airlines Bhd,99,0.49,partnerships,,"Malaysia Airlines has entered a partnership with utu, a travel tech company to provide its",PRESS-RELEASE,PR Newswire,"Rewards Beyond Borders: utu and Enrich, the Loyalty programme of Malaysia Airlines enable Enrich Members to earn Enrich points through VAT Refunds"
MAS,2021-08-04,14:00:02,06FACB,Malaysia Airlines Bhd,100,0.49,partnerships,,Malaysia Airlines Partners with GE,PRESS-RELEASE,Business Wire,Malaysia Airlines Partners with GE Digital to Modernize the Airline's Fuel Analytics Platform
MAS,2021-08-04,14:00:07,06FACB,Malaysia Airlines Bhd,100,0.49,partnerships,,Malaysia Airlines Partners With GE,NEWS-FLASH,Dow Jones Newswires,Malaysia Airlines Partners With GE Digital to Modernize the Airline's Fuel Analytics Platform
MAS,2021-08-04,14:01:31,06FACB,Malaysia Airlines Bhd,100,0.34,products-services,,Malaysia Airlines Chooses GE Fuel,NEWS-FLASH,Dow Jones Newswires,Malaysia Airlines Chooses GE Fuel Insight and FlightPulse to Transform Fuel Efficiency Program
MAS,2021-08-04,14:02:25,06FACB,Malaysia Airlines Bhd,100,0.49,partnerships,,Malaysia Airlines Partners with GE,PRESS-RELEASE,Dow Jones Newswires,Press Release: Malaysia Airlines Partners with GE Digital to Modernize the Airline's Fuel Analytics Platform
MAS,2021-08-04,14:00:02,06FACB,Malaysia Airlines Bhd,100,0.49,partnerships,,Malaysia Airlines Partners with GE,PRESS-RELEASE,Business Wire,Malaysia Airlines Partners with GE Digital to Modernize the Airline's Fuel Analytics Platform
MAS,2021-08-04,14:00:07,06FACB,Malaysia Airlines Bhd,100,0.49,partnerships,,Malaysia Airlines Partners With GE,NEWS-FLASH,Dow Jones Newswires,Malaysia Airlines Partners With GE Digital to Modernize the Airline's Fuel Analytics Platform
MAS,2021-08-04,14:01:31,06FACB,Malaysia Airlines Bhd,100,0.34,products-services,,Malaysia Airlines Chooses GE Fuel,NEWS-FLASH,Dow Jones Newswires,Malaysia Airlines Chooses GE Fuel Insight and FlightPulse to Transform Fuel Efficiency Program
MAS,2021-08-04,14:02:25,06FACB,Malaysia Airlines Bhd,100,0.49,partnerships,,Malaysia Airlines Partners with GE,PRESS-RELEASE,Dow Jones Newswires,Press Release: Malaysia Airlines Partners with GE Digital to Modernize the Airline's Fuel Analytics Platform
MAS,2022-07-20,07:55:10,06FACB,Malaysia Airlines Bhd,100,0.39,products-services,,Airbus Closes in on Deal With Malaysia Airlines,FULL-ARTICLE,Dow Jones Newswires,"Airbus Closes in on Deal With Malaysia Airlines for A330neos, Reuters Reports"
