ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
MHK,2024-01-04,19:39:00,69E8E1,Mohawk Industries Inc.,100,0.03,credit-ratings,affirmation,Moody's Affirms Mohawk Industries' Baa1 Ratings,NEWS-FLASH,Dow Jones Newswires,Moody's Affirms Mohawk Industries' Baa1 Ratings; Outlook Is Stable
MHK,2024-01-08,15:32:46,69E8E1,Mohawk Industries Inc.,100,0.0,investor-relations,,"Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call",PRESS-RELEASE,GlobeNewswire,"Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call"
MHK,2024-01-08,15:32:46,69E8E1,Mohawk Industries Inc.,100,0.0,earnings,,"Mohawk Industries, Inc. (NYSE: MHK) Fourth Quarter 2023 earnings release on Thursday",PRESS-RELEASE,GlobeNewswire,"Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call"
MHK,2024-01-08,15:32:46,69E8E1,Mohawk Industries Inc.,100,0.0,investor-relations,,"Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call",PRESS-RELEASE,DJ Global Press Release Wire,"Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call"
MHK,2024-01-08,15:32:46,69E8E1,Mohawk Industries Inc.,100,0.0,earnings,,"Mohawk Industries, Inc. (NYSE: MHK) Fourth Quarter 2023 earnings release on Thursday",PRESS-RELEASE,DJ Global Press Release Wire,"Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call"
MHK,2024-01-08,15:32:46,69E8E1,Mohawk Industries Inc.,100,0.0,investor-relations,,"Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call",FULL-ARTICLE,Dow Jones Newswires,"Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call"
MHK,2024-01-08,15:32:46,69E8E1,Mohawk Industries Inc.,100,0.0,earnings,,"Mohawk Industries, Inc. (NYSE: MHK) Fourth Quarter 2023 earnings release on Thursday",FULL-ARTICLE,Dow Jones Newswires,"Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call"
MHK,2024-01-08,15:32:46,69E8E1,Mohawk Industries Inc.,100,0.0,investor-relations,,"Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call"
MHK,2024-01-08,15:32:46,69E8E1,Mohawk Industries Inc.,100,0.0,earnings,,"Mohawk Industries, Inc. (NYSE: MHK) Fourth Quarter 2023 earnings release on Thursday",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call"
MHK,2024-01-08,15:32:46,69E8E1,Mohawk Industries Inc.,100,0.0,investor-relations,,"Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call"
MHK,2024-01-08,15:32:46,69E8E1,Mohawk Industries Inc.,100,0.0,earnings,,"Mohawk Industries, Inc. (NYSE: MHK) Fourth Quarter 2023 earnings release on Thursday",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Mohawk Industries, Inc. Invites You to Join the Fourth Quarter 2023 Earnings Conference Call"
MHK,2024-01-11,13:39:31,69E8E1,Mohawk Industries Inc.,100,0.34,analyst-ratings,neutral,Mohawk Is Maintained at Buy by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Mohawk Is Maintained at Buy by Goldman Sachs
MHK,2024-01-11,13:39:31,69E8E1,Mohawk Industries Inc.,100,0.78,price-targets,upgrade,Mohawk Price Target Raised to $120.00/Share From $105.00 by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Mohawk Price Target Raised to $120.00/Share From $105.00 by Goldman Sachs
MHK,2024-01-11,17:45:07,69E8E1,Mohawk Industries Inc.,99,0.61,products-services,increase,Demand for carpets and rugs is forecast to increase,PRESS-RELEASE,PR Newswire,"Global Carpets & Rugs Market Report 2023: A $53 Billion Industry - Access Historical Demand Data (2012, 2017, and 2022) and Forecasts (2027 and 2032)"
MHK,2024-01-12,10:59:43,69E8E1,Mohawk Industries Inc.,100,0.62,analyst-ratings,positive,Mohawk Raised to Sector Perform From Underperform by RBC Capital,NEWS-FLASH,Dow Jones Newswires,Mohawk Raised to Sector Perform From Underperform by RBC Capital
MHK,2024-01-12,10:59:43,69E8E1,Mohawk Industries Inc.,100,0.8,price-targets,upgrade,Mohawk Price Target Raised to $101.00/Share From $80.00 by RBC Capital,NEWS-FLASH,Dow Jones Newswires,Mohawk Price Target Raised to $101.00/Share From $80.00 by RBC Capital
MHK,2024-01-22,13:41:05,69E8E1,Mohawk Industries Inc.,100,-0.34,analyst-ratings,neutral,Mohawk Is Maintained at Underweight by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,Mohawk Is Maintained at Underweight by Wells Fargo
MHK,2024-01-22,13:41:05,69E8E1,Mohawk Industries Inc.,100,-0.56,price-targets,downgrade,Mohawk Price Target Cut to $100.00/Share From $105.00 by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,Mohawk Price Target Cut to $100.00/Share From $105.00 by Wells Fargo
MHK,2024-02-08,21:10:00,69E8E1,Mohawk Industries Inc.,100,0.0,earnings,,Mohawk Industries Reports Q4 Results,PRESS-RELEASE,GlobeNewswire,Mohawk Industries Reports Q4 Results
MHK,2024-02-08,21:10:00,69E8E1,Mohawk Industries Inc.,100,-0.24,revenues,down,"Mohawk Industries Inc.: Net sales for the fourth quarter of 2023 were $2.6 billion, a decrease of 1.4%",PRESS-RELEASE,GlobeNewswire,Mohawk Industries Reports Q4 Results
