ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
MKC,2024-01-03,13:00:07,9D56F2,McCormick & Co. Inc.,100,0.0,earnings,,"Mccormick & Company to Report 2023 Fourth Quarter Financial Results on January 25, 2024",PRESS-RELEASE,PR Newswire,"McCormick & Company to Report 2023 Fourth Quarter Financial Results on January 25, 2024"
MKC,2024-01-03,13:00:07,9D56F2,McCormick & Co. Inc.,100,0.0,earnings,,"Mccormick & Company to Report 2023 Fourth Quarter Financial Results on January 25, 2024",PRESS-RELEASE,Dow Jones Newswires,"Press Release: McCormick & Company to Report 2023 Fourth Quarter Financial Results on January 25, 2024"
MKC,2024-01-16,17:50:32,9D56F2,McCormick & Co. Inc.,100,0.0,analyst-ratings,neutral,Mccormick & Co Is Maintained at Equal-Weight by Barclays,NEWS-FLASH,Dow Jones Newswires,McCormick & Co Is Maintained at Equal-Weight by Barclays
MKC,2024-01-16,17:50:32,9D56F2,McCormick & Co. Inc.,100,-0.52,price-targets,downgrade,Mccormick & Co Price Target Cut to $71.00/Share From $74.00 by Barclays,NEWS-FLASH,Dow Jones Newswires,McCormick & Co Price Target Cut to $71.00/Share From $74.00 by Barclays
MKC,2024-01-22,15:21:25,9D56F2,McCormick & Co. Inc.,100,-0.58,analyst-ratings,negative,Mccormick & Co Cut to Equal-Weight From Overweight by Consumer Edge Research,NEWS-FLASH,Dow Jones Newswires,McCormick & Co Cut to Equal-Weight From Overweight by Consumer Edge Research
MKC,2024-01-23,21:20:03,9D56F2,McCormick & Co. Inc.,100,0.47,labor-issues,,Mccormick Appoints Terry Thomas to Board of Directors,PRESS-RELEASE,PR Newswire,McCormick Appoints Terry Thomas to Board of Directors
MKC,2024-01-23,21:20:03,9D56F2,McCormick & Co. Inc.,100,0.47,labor-issues,,Mccormick Appoints Terry Thomas to Board of Directors,PRESS-RELEASE,Dow Jones Newswires,Press Release: McCormick Appoints Terry Thomas to Board of Directors
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.0,earnings,,Mccormick & Co Sees FY EPS $2.76,NEWS-FLASH,Dow Jones Newswires,McCormick & Co Sees FY EPS $2.76-EPS $2.81 >MKC
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.61,earnings,positive,Mccormick & Co 4Q EPS 81c,NEWS-FLASH,Dow Jones Newswires,McCormick & Co 4Q EPS 81c >MKC
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.0,earnings,,McCormick & Co. Inc.: Fiscal Year 2023 Results,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.0,earnings,,McCormick & Co. Inc.: Fourth Quarter 2023 Results,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.41,revenues,up,Mccormick reported a 3% sales increase in the fourth quarter,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.4,earnings,up,McCormick & Co. Inc.: Adjusted earnings per share was $2.70 compared to $2.53 in 2022,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.41,revenues,up,Mccormick reported a 5% sales increase in 2023,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.61,earnings,positive,McCormick & Co. Inc.: Earnings per share was $0.81 in the fourth quarter of 2023,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.38,dividends,up,"McCormick & Co. Inc.: In November, the Board authorized an 8% increase to the quarterly dividend",PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.64,earnings,up,McCormick & Co. Inc.: Our improved profitability,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.0,revenues,unchanged,McCormick & Co. Inc.: Constant currency sales,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,-0.49,equity-actions,up,"McCormick & Co. Inc.: Selling, general and administrative expenses increased from the year-ago",PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.38,earnings,up,McCormick & Co. Inc.: Operating income was $297 million in the fourth quarter of 2023 compared to $264 million in the fourth quarter of 2022,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.48,equity-actions,down,McCormick & Co. Inc.: Special charges lowered,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.38,earnings,up,McCormick & Co. Inc.: Operating income was $963 million in 2023 compared to $864 million in 2022,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.61,earnings,positive,McCormick & Co. Inc.: Earnings per share was $2.52 in 2023,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.0,earnings,,McCormick & Co. Inc.: Fiscal Year 2024 Financial Outlook,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND PROVIDES 2024 OUTLOOK
MKC,2024-01-25,11:30:05,9D56F2,McCormick & Co. Inc.,100,0.0,earnings,,Mccormick REPORTS 2023 FINANCIAL RESULTS,PRESS-RELEASE,PR Newswire,McCORMICK REPORTS 2023 FINANCIAL RESULTS AND -2-
