ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
MLM,2022-09-16,00:38:17,6FA17A,Metallica Minerals Ltd.,100,0.95,analyst-ratings,positive,Metallica Minerals Initiated at Speculative Buy by Morgans,NEWS-FLASH,Dow Jones Newswires,Metallica Minerals Initiated at Speculative Buy by Morgans
MLM,2023-03-02,11:45:01,7A3940,Molecular Medicine S.p.A.,100,0.63,products-services,,Fda Grants Orphan Drug Designation to Temferon,PRESS-RELEASE,GlobeNewswire,FDA Grants Orphan Drug Designation to Temferon for Treatment of Glioblastoma Multiforme
MLM,2023-03-02,11:45:01,7A3940,Molecular Medicine S.p.A.,100,0.63,products-services,,Fda Grants Orphan Drug Designation to Temferon,PRESS-RELEASE,Dow Jones Newswires,Press Release: FDA Grants Orphan Drug Designation to Temferon for Treatment of Glioblastoma Multiforme
MLM,2023-03-02,11:45:34,7A3940,Molecular Medicine S.p.A.,100,0.63,products-services,,Fda Grants Orphan Drug Designation to Temferon,NEWS-FLASH,Dow Jones Newswires,Genenta Science FDA Grants Orphan Drug Designation to Temferon for Treatment of Glioblastoma Multiforme >GNTA
MLM,2023-03-02,11:56:19,7A3940,Molecular Medicine S.p.A.,100,0.63,products-services,,Genenta Gets FDA Orphan-Drug Designation for Temferon,FULL-ARTICLE,Dow Jones Newswires,Genenta Gets FDA Orphan-Drug Designation for Temferon in Glioblastoma Multiforme >GNTA
MLM,2023-03-02,12:11:19,7A3940,Molecular Medicine S.p.A.,100,0.63,products-services,,Genenta Gets FDA Orphan-Drug Designation for Temferon,FULL-ARTICLE,Dow Jones Newswires,Genenta Gets FDA Orphan-Drug Designation for Temferon in Glioblastoma Multiforme
MLM,2023-06-29,11:00:01,7A3940,Molecular Medicine S.p.A.,100,0.63,products-services,,European Commission Grants Orphan Drug Designation to Temferon(TM),PRESS-RELEASE,GlobeNewswire,The European Commission Grants Orphan Drug Designation to Temferon(TM) for Treatment of Glioma
MLM,2023-06-29,11:00:01,7A3940,Molecular Medicine S.p.A.,100,0.63,products-services,,European Commission Grants Orphan Drug Designation to Temferon(TM),PRESS-RELEASE,Dow Jones Newswires,Press Release: The European Commission Grants Orphan Drug Designation to Temferon(TM) for Treatment of Glioma
MLM,2023-06-29,11:01:16,7A3940,Molecular Medicine S.p.A.,100,0.63,products-services,,European Commission Grants Orphan Drug Designation to Temferon,NEWS-FLASH,Dow Jones Newswires,Genenta Science: European Commission Grants Orphan Drug Designation to Temferon for Treatment of Glioma >GNTA
MLM,2024-01-08,17:27:14,D6534D,Martin Marietta Materials Inc.,100,0.95,analyst-ratings,positive,Martin Marietta Initiated at Overweight by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Martin Marietta Initiated at Overweight by Morgan Stanley
MLM,2024-01-08,17:27:14,D6534D,Martin Marietta Materials Inc.,100,0.0,price-targets,set,Martin Marietta Price Target Announced at $595.00/Share by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Martin Marietta Price Target Announced at $595.00/Share by Morgan Stanley
MLM,2024-01-16,11:57:30,D6534D,Martin Marietta Materials Inc.,100,0.57,acquisitions-mergers,completed,"Martin Marietta Completes Acquisition Of Albert Frei & Sons, Inc. >MLM",NEWS-FLASH,Dow Jones Newswires,"Martin Marietta Completes Acquisition Of Albert Frei & Sons, Inc. >MLM"
MLM,2024-01-16,11:57:30,D6534D,Martin Marietta Materials Inc.,100,0.57,acquisitions-mergers,completed,"Martin Marietta Completes Acquisition of Albert Frei & Sons, Inc",PRESS-RELEASE,GlobeNewswire,"Martin Marietta Completes Acquisition of Albert Frei & Sons, Inc."
MLM,2024-01-16,11:57:31,D6534D,Martin Marietta Materials Inc.,100,0.57,acquisitions-mergers,completed,"Martin Marietta Completes Acquisition of Albert Frei & Sons, Inc",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Martin Marietta Completes Acquisition of Albert Frei & Sons, Inc."
MLM,2024-01-25,13:03:32,D6534D,Martin Marietta Materials Inc.,100,0.2,analyst-ratings,neutral,Martin Marietta Is Maintained at Outperform by Raymond James,NEWS-FLASH,Dow Jones Newswires,Martin Marietta Is Maintained at Outperform by Raymond James
MLM,2024-01-25,13:03:32,D6534D,Martin Marietta Materials Inc.,100,0.78,price-targets,upgrade,Martin Marietta Price Target Raised to $555.00/Share From $505.00 by Raymond James,NEWS-FLASH,Dow Jones Newswires,Martin Marietta Price Target Raised to $555.00/Share From $505.00 by Raymond James
MLM,2024-02-06,14:29:43,D6534D,Martin Marietta Materials Inc.,100,0.0,investor-relations,,"Martin Marietta Materials Inc.: the ""Company"") will host its fourth-quarter and full-year 2023 earnings conference call on Wednesday, February 14, 2024, at 10:00 a.m. Eastern Time",PRESS-RELEASE,GlobeNewswire,Martin Marietta Announces Fourth-Quarter and Full-Year 2023 Earnings Conference Call
MLM,2024-02-06,14:29:43,D6534D,Martin Marietta Materials Inc.,100,0.0,investor-relations,,"Martin Marietta Materials Inc.: the ""Company"") will host its fourth-quarter and full-year 2023 earnings conference call on Wednesday, February 14, 2024, at 10:00 a.m. Eastern Time",PRESS-RELEASE,GlobeNewswire,Martin Marietta Announces Fourth-Quarter and Full-Year 2023 Earnings Conference Call
MLM,2024-02-06,14:29:43,D6534D,Martin Marietta Materials Inc.,100,0.0,earnings,,"Martin Marietta Materials Inc.: The Company will release results for the quarter and year ended December 31, 2023",PRESS-RELEASE,GlobeNewswire,Martin Marietta Announces Fourth-Quarter and Full-Year 2023 Earnings Conference Call
MLM,2024-02-12,11:55:39,D6534D,Martin Marietta Materials Inc.,99,0.0,earnings,,Martin Marietta's full year results,PRESS-RELEASE,GlobeNewswire,Martin Marietta Announces Acquisition of Aggregates Operations From Affiliates of Blue Water Industries LLC; Company Also Completes South Texas Cement and Concrete Divestiture
