ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
MSCI,2021-01-06,16:11:15,3ED92D,MSCI Inc.,100,0.0,analyst-ratings,neutral,Msci Inc Is Maintained at Equal-Weight by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,MSCI Inc Is Maintained at Equal-Weight by Morgan Stanley
MSCI,2021-01-06,16:11:15,3ED92D,MSCI Inc.,100,0.7,price-targets,upgrade,Msci Inc Price Target Raised to $422.00/Share From $391.00 by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,MSCI Inc Price Target Raised to $422.00/Share From $391.00 by Morgan Stanley
MSCI,2021-01-07,12:59:16,3ED92D,MSCI Inc.,100,0.0,earnings,,Msci Schedules Earnings Call,PRESS-RELEASE,Business Wire,MSCI Schedules Earnings Call to Review Fourth Quarter and Full Year 2020 Results
MSCI,2021-01-07,12:59:33,3ED92D,MSCI Inc.,100,0.0,earnings,,Msci Schedules Earnings Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: MSCI Schedules Earnings Call to Review Fourth Quarter and Full Year 2020 Results
MSCI,2021-01-19,13:00:19,3ED92D,MSCI Inc.,99,0.49,partnerships,,MSCI Inc.: They partnered up with the University of Waterloo and MT>Ventures to,PRESS-RELEASE,PR Newswire,This Could Be The Hottest ESG Investment In 2021
MSCI,2021-01-19,13:01:10,3ED92D,MSCI Inc.,99,0.49,partnerships,,MSCI Inc.: They partnered up with the University of Waterloo and MT>Ventures to,PRESS-RELEASE,PR Newswire,This Could Be The Hottest ESG Investment In 2021
MSCI,2021-01-28,11:45:00,3ED92D,MSCI Inc.,100,0.61,earnings,positive,Msci Inc 4Q EPS $1.87,NEWS-FLASH,Dow Jones Newswires,MSCI Inc 4Q EPS $1.87 >MSCI
MSCI,2021-01-28,11:45:00,3ED92D,MSCI Inc.,100,0.61,earnings,positive,Msci Inc 4Q Adj EPS $1.96,NEWS-FLASH,Dow Jones Newswires,MSCI Inc 4Q Adj EPS $1.96 >MSCI
MSCI,2021-01-28,11:45:00,3ED92D,MSCI Inc.,100,0.61,earnings,positive,Msci Inc 4Q Net $156.2M,NEWS-FLASH,Dow Jones Newswires,MSCI Inc 4Q Net $156.2M >MSCI
MSCI,2021-01-28,11:45:01,3ED92D,MSCI Inc.,100,0.0,earnings,,Msci Reports Financial Results for Fourth Quarter and Full-Year 2020,PRESS-RELEASE,Business Wire,MSCI Reports Financial Results for Fourth Quarter and Full-Year 2020
