ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
NCLH,2024-01-05,13:21:14,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,-0.58,analyst-ratings,negative,Norwegian Cruise Line Cut to Equal-Weight From Overweight by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,Norwegian Cruise Line Cut to Equal-Weight From Overweight by Wells Fargo
NCLH,2024-01-29,09:04:38,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.49,partnerships,,Abb and Norwegian Cruise Line Holdings Sign Partnership Agreement,NEWS-FLASH,Dow Jones Newswires,ABB and Norwegian Cruise Line Holdings Sign Partnership Agreement to Reduce Emissions of NCL Fleet
NCLH,2024-01-31,15:58:56,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.0,analyst-ratings,neutral,Norwegian Cruise Line Is Maintained at Neutral by Susquehanna,NEWS-FLASH,Dow Jones Newswires,Norwegian Cruise Line Is Maintained at Neutral by Susquehanna
NCLH,2024-01-31,15:58:56,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.82,price-targets,upgrade,Norwegian Cruise Line Price Target Raised to $20.00/Share From $14.00 by Susquehanna,NEWS-FLASH,Dow Jones Newswires,Norwegian Cruise Line Price Target Raised to $20.00/Share From $14.00 by Susquehanna
NCLH,2024-02-12,20:34:37,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.0,analyst-ratings,neutral,Norwegian Cruise Line Is Maintained at Neutral by Citigroup,NEWS-FLASH,Dow Jones Newswires,Norwegian Cruise Line Is Maintained at Neutral by Citigroup
NCLH,2024-02-12,20:34:37,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,-0.82,price-targets,downgrade,Norwegian Cruise Line Price Target Cut to $19.00/Share From $23.00 by Citigroup,NEWS-FLASH,Dow Jones Newswires,Norwegian Cruise Line Price Target Cut to $19.00/Share From $23.00 by Citigroup
NCLH,2024-02-15,13:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.0,investor-relations,,Norwegian Cruise Line Holdings to Hold Conference Call on Fourth Quarter,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings to Hold Conference Call on Fourth Quarter and Full Year 2023 Financial Results
NCLH,2024-02-15,13:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.0,earnings,,Norwegian Cruise Line Holdings to Hold Conference Call on Fourth Quarter and Full Year 2023 Financial Results,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings to Hold Conference Call on Fourth Quarter and Full Year 2023 Financial Results
NCLH,2024-02-15,13:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.0,earnings,,Norwegian Cruise Line Holdings to Hold Conference Call on Fourth Quarter and Full Year 2023 Financial Results,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings to Hold Conference Call on Fourth Quarter and Full Year 2023 Financial Results
NCLH,2024-02-20,08:11:31,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.0,investor-relations,,"Norwegian Cruise Line Holdings, Inst Holders, 4Q 2023 (NCLH)",RNS-SEC13F,Dow Jones Newswires,"Norwegian Cruise Line Holdings, Inst Holders, 4Q 2023 (NCLH)"
NCLH,2024-02-26,18:02:46,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.0,earnings,,Norwegian Cruise Line's 2024 Guidance,FULL-ARTICLE,Dow Jones Newswires,Norwegian Cruise Line's 2024 Guidance in Focus Ahead of 4Q Earnings -- Earnings Preview
NCLH,2024-02-26,18:02:46,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.0,earnings,,Norwegian Cruise Line Holdings is scheduled to report fourth-quarter results on Thursday morning,FULL-ARTICLE,Dow Jones Newswires,Norwegian Cruise Line's 2024 Guidance in Focus Ahead of 4Q Earnings -- Earnings Preview
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,-0.65,earnings,negative,Norwegian Cruise Line 4Q Loss/Shr 25c,NEWS-FLASH,Dow Jones Newswires,Norwegian Cruise Line 4Q Loss/Shr 25c >NCLH
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,-0.65,earnings,negative,Norwegian Cruise Line 4Q Adj Loss/Shr 18c,NEWS-FLASH,Dow Jones Newswires,Norwegian Cruise Line 4Q Adj Loss/Shr 18c >NCLH
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,-0.65,earnings,negative,Norwegian Cruise Line 4Q Loss $106.5M,NEWS-FLASH,Dow Jones Newswires,Norwegian Cruise Line 4Q Loss $106.5M >NCLH
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.61,earnings,positive,"Norwegian Cruise Line Holdings Ltd.: Norwegian Cruise Line Holdings"", ""Norwegian"", ""NCLH"" or the ""Company"") today reported financial results for the fourth quarter and year ended December 31, 2023",PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong Fourth Quarter and Full Year 2023 Financial Results
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.61,earnings,positive,Norwegian Cruise Line Holdings Reports Strong Fourth Quarter and Full Year 2023 Financial Results,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong Fourth Quarter and Full Year 2023 Financial Results
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.5,revenues,up,Norwegian Cruise Line Holdings Ltd.: Total revenue was up approximately 34%,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong Fourth Quarter and Full Year 2023 Financial Results
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.58,earnings,positive,Norwegian Cruise Line Holdings Ltd.: Achieved Adjusted EBITDA of $1.861 billion,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong Fourth Quarter and Full Year 2023 Financial Results
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,-0.48,credit,increase,"Norwegian Cruise Line Holdings Ltd.: 2028, our highest interest rate debt",PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong Fourth Quarter and Full Year 2023 Financial Results
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.0,earnings,,Norwegian Cruise Line Holdings Ltd.: This Adjusted EPS,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong Fourth Quarter and Full Year 2023 Financial Results
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.0,equity-actions,,Norwegian Cruise Line Holdings Ltd.: Full year Adjusted Net Cruise Cost,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong Fourth Quarter and Full Year 2023 Financial Results
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,100,0.0,revenues,,Norwegian Cruise Line 4Q Rev $1.99B >NCLH,NEWS-FLASH,Dow Jones Newswires,Norwegian Cruise Line 4Q Rev $1.99B >NCLH
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,99,0.44,credit,reduction,Norwegian Cruise Line Holdings Ltd.: We repaid $1.9 billion of debt,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong -2-
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,99,0.0,earnings,,Norwegian Cruise Line Holdings Ltd.: Full Year 2023 Results,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong -2-
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,99,0.58,earnings,positive,Norwegian Cruise Line Holdings Ltd.: Adjusted EBITDA in the fourth quarter was approximately $359.6 million,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong -2-
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,99,0.0,revenues,,Norwegian Cruise Line Holdings Ltd.: Total revenue,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong -2-
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,99,0.0,earnings,,Norwegian Cruise Line Holdings Ltd.: Fourth Quarter 2023 Results,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong -2-
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,99,0.0,equity-actions,,Norwegian Cruise Line Holdings Ltd.: The Company reported fuel expense of $187 million,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong -2-
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,99,-0.18,equity-actions,up,"Norwegian Cruise Line Holdings Ltd.: Interest expense, net was $197.4 million in 2023 compared to $177.1 million in 2022",PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong -2-
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,99,0.0,earnings,,Norwegian Cruise Line Holdings Ltd.: the Company also provided guidance for the first quarter,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong -2-
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,99,0.0,earnings,,Norwegian Cruise Line Holdings Ltd.: the Company's 2024 guidance,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong -2-
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,99,0.0,earnings,,Norwegian Cruise Line Holdings Ltd.: Adjusted EPS for the full year 2024,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong -2-
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,99,0.0,equity-actions,,Norwegian Cruise Line Holdings Ltd.: Non-newbuild capital expenditures for the fourth quarter of 2023 were $102 million,PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong -2-
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,99,0.0,equity-actions,,"Norwegian Cruise Line Holdings Ltd.: Newbuild-related capital expenditures, net of export credit financing, are expected to be approximately $0.2 billion, $0.6 billion",PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong -3-
NCLH,2024-02-27,12:30:00,56CC0A,Norwegian Cruise Line Holdings Ltd.,99,0.0,investor-relations,,"Norwegian Cruise Line Holdings Ltd.: The Company has scheduled a conference call for Tuesday, February 27, 2024 at 10:00 a.m. Eastern Time",PRESS-RELEASE,GlobeNewswire,Norwegian Cruise Line Holdings Reports Strong -3-
