ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
NUE,2024-01-16,16:32:52,986AF6,NuCor Corp.,100,0.95,analyst-ratings,positive,Nucor Initiated at Buy by UBS,NEWS-FLASH,Dow Jones Newswires,Nucor Initiated at Buy by UBS
NUE,2024-01-16,16:32:52,986AF6,NuCor Corp.,100,0.0,price-targets,set,Nucor Price Target Announced at $210.00/Share by UBS,NEWS-FLASH,Dow Jones Newswires,Nucor Price Target Announced at $210.00/Share by UBS
NUE,2024-01-16,20:03:11,986AF6,NuCor Corp.,100,0.0,investor-relations,,Nucor Invites You to Join Its Fourth Quarter of 2023 Conference Call,PRESS-RELEASE,PR Newswire,Nucor Invites You to Join Its Fourth Quarter of 2023 Conference Call on the Web
NUE,2024-01-16,20:03:11,986AF6,NuCor Corp.,100,0.0,earnings,,Nucor's (NYSE: NUE) fourth quarter earnings release,PRESS-RELEASE,PR Newswire,Nucor Invites You to Join Its Fourth Quarter of 2023 Conference Call on the Web
NUE,2024-01-16,20:08:06,986AF6,NuCor Corp.,100,0.0,investor-relations,,Nucor Invites You to Join Its Fourth Quarter of 2023 Conference Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: Nucor Invites You to Join Its Fourth Quarter of 2023 Conference Call on the Web
NUE,2024-01-16,20:08:06,986AF6,NuCor Corp.,100,0.0,earnings,,Nucor's (NYSE: NUE) fourth quarter earnings release,PRESS-RELEASE,Dow Jones Newswires,Press Release: Nucor Invites You to Join Its Fourth Quarter of 2023 Conference Call on the Web
NUE,2024-01-29,14:00:04,986AF6,NuCor Corp.,100,0.0,investor-relations,,"Nucor's Fourth Quarter of 2023 Conference Call When: 10:00 a.m. Eastern Time on Tuesday, January 30, 2024",PRESS-RELEASE,PR Newswire,Nucor Invites You to Join Its Fourth Quarter of 2023 Conference Call on the Web
NUE,2024-01-29,14:00:04,986AF6,NuCor Corp.,100,0.0,earnings,,Nucor's (NYSE: NUE) fourth quarter earnings release,PRESS-RELEASE,PR Newswire,Nucor Invites You to Join Its Fourth Quarter of 2023 Conference Call on the Web
NUE,2024-01-29,14:00:04,986AF6,NuCor Corp.,100,0.0,investor-relations,,"Nucor's Fourth Quarter of 2023 Conference Call When: 10:00 a.m. Eastern Time on Tuesday, January 30, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: Nucor Invites You to Join Its Fourth Quarter of 2023 Conference Call on the Web
NUE,2024-01-29,14:00:04,986AF6,NuCor Corp.,100,0.0,earnings,,Nucor's (NYSE: NUE) fourth quarter earnings release,PRESS-RELEASE,Dow Jones Newswires,Press Release: Nucor Invites You to Join Its Fourth Quarter of 2023 Conference Call on the Web
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.61,earnings,positive,Nucor 4Q Net $785.4M,NEWS-FLASH,Dow Jones Newswires,Nucor 4Q Net $785.4M >NUE
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.0,earnings,,Nucor Reports Results for the Fourth Quarter and Full Year 2023,PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and Full Year 2023
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.0,earnings,,Nucor Reports Results for the Fourth Quarter and Full Year 2023,PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and Full Year 2023
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.51,products-services,increase,NuCor Corp.: increased demand for our products,PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and Full Year 2023
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,-0.24,revenues,down,Nucor's consolidated net sales decreased 12% to $7.70 billion,PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and Full Year 2023
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.0,revenues,,"NuCor Corp.: For the full year 2023, Nucor's consolidated net sales of $34.71 billion",PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and Full Year 2023
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.0,dividends,,"On December 14, 2023, Nucor's Board of Directors declared a cash dividend of $0.54",PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and Full Year 2023
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.59,equity-actions,,"During the fourth quarter of 2023, Nucor repurchased approximately 1.0 million shares of its common stock",PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and Full Year 2023
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,-0.67,earnings,down,NuCor Corp.: Earnings in the fourth quarter of 2023 decreased compared to the third quarter of 2023,PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and Full Year 2023
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.0,earnings,,NuCor Corp.: First Quarter of 2024 Outlook,PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and Full Year 2023
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.7,earnings,up,NuCor Corp.: We expect increased earnings,PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and Full Year 2023
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.0,investor-relations,,NuCor Corp.: Earnings Conference Call,PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and Full Year 2023
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.0,earnings,,Nucor Reports Results for the Fourth Quarter,PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and -2-
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.0,earnings,,"NuCor Corp.: First, second and third quarter of 2023 EBITDA",PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and -2-
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.0,earnings,,"NuCor Corp.: First, second and third quarter of 2023 EBITDA",PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and -2-
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.0,revenues,,"NuCor Corp.: Net sales $7,704,531 $ 8,723,956",PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and -2-
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.0,revenues,,Nucor 4Q Sales $7.7B >NUE,NEWS-FLASH,Dow Jones Newswires,Nucor 4Q Sales $7.7B >NUE
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.61,earnings,positive,4Q EPS $3.16 >NUE,NEWS-FLASH,Dow Jones Newswires,Nucor 4Q EPS $3.16 >NUE
NUE,2024-01-29,21:30:13,986AF6,NuCor Corp.,100,0.0,earnings,,Nucor Reports Results for the Fourth Quarter,PRESS-RELEASE,PR Newswire,Nucor Reports Results for the Fourth Quarter and -3-
