ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
NXPI,2021-01-05,13:00:01,351EC3,NXP Semiconductors N.V.,100,0.49,partnerships,,"NXP Semiconductors N.V.: our partnership with NXP, we",PRESS-RELEASE,GlobeNewswire,NXP and Real-Time Innovations Partner to Advance Autonomous Driving
NXPI,2021-01-06,10:42:33,351EC3,NXP Semiconductors N.V.,100,0.34,analyst-ratings,neutral,Nxp Semiconductors Is Maintained at Overweight by KeyBanc,NEWS-FLASH,Dow Jones Newswires,NXP Semiconductors Is Maintained at Overweight by KeyBanc
NXPI,2021-01-06,10:42:33,351EC3,NXP Semiconductors N.V.,100,0.42,price-targets,upgrade,Nxp Semiconductors Price Target Raised to $195.00/Share From $190.00 by KeyBanc,NEWS-FLASH,Dow Jones Newswires,NXP Semiconductors Price Target Raised to $195.00/Share From $190.00 by KeyBanc
NXPI,2021-01-11,07:00:00,351EC3,NXP Semiconductors N.V.,99,0.0,products-services,,NXP Semiconductors N.V.: Designed for software application,PRESS-RELEASE,GlobeNewswire,NXP Announces the BlueBox 3.0 Development Platform for Safe Automotive High-Performance Computing
NXPI,2021-01-11,07:00:01,351EC3,NXP Semiconductors N.V.,99,0.0,products-services,,NXP Semiconductors N.V.: Designed for software application,PRESS-RELEASE,Dow Jones Newswires,Press Release: NXP Announces the BlueBox 3.0 Development Platform for Safe Automotive High-Performance Computing
NXPI,2021-01-11,17:06:06,351EC3,NXP Semiconductors N.V.,98,0.0,products-services,,Nxp-announces-bluebox-30-development-platform,PRESS-RELEASE,Actus News,"KALRAY KALRAY AT THE HEART OF THE AUTOMOTIVE LEADER NXP's ""BLUEBOX 3.0"""
NXPI,2021-01-14,21:00:00,351EC3,NXP Semiconductors N.V.,100,0.0,investor-relations,,"NXP Semiconductors N.V.: The company will host a conference call with the financial community on Tuesday, February 2, 2021 at 8:00 a.m.",PRESS-RELEASE,GlobeNewswire,NXP Semiconductors Announces Conference Call to Review Fourth Quarter and Full-year 2020 Financial Results
NXPI,2021-01-14,21:00:00,351EC3,NXP Semiconductors N.V.,100,0.0,earnings,,Nxp Semiconductors N.V. (NASDAQ: NXPI) today announced it will release financial results for the fourth quarter,PRESS-RELEASE,GlobeNewswire,NXP Semiconductors Announces Conference Call to Review Fourth Quarter and Full-year 2020 Financial Results
NXPI,2021-01-14,21:00:08,351EC3,NXP Semiconductors N.V.,100,0.0,investor-relations,,"NXP Semiconductors N.V.: The company will host a conference call with the financial community on Tuesday, February 2, 2021 at 8:00 a.m.",PRESS-RELEASE,Dow Jones Newswires,Press Release: NXP Semiconductors Announces Conference Call to Review Fourth Quarter and Full-year 2020 Financial Results
NXPI,2021-01-14,21:00:08,351EC3,NXP Semiconductors N.V.,100,0.0,earnings,,Nxp Semiconductors N.V. (NASDAQ: NXPI) today announced it will release financial results for the fourth quarter,PRESS-RELEASE,Dow Jones Newswires,Press Release: NXP Semiconductors Announces Conference Call to Review Fourth Quarter and Full-year 2020 Financial Results
