ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
OKE,2024-01-04,02:19:44,09F623,ONEOK Inc.,100,0.52,insider-trading,,"Vp Hoskin Acquires 2,562 Of ONEOK Inc >OKE",FULL-ARTICLE,Dow Jones Newswires,"VP Hoskin Acquires 2,562 Of ONEOK Inc >OKE"
OKE,2024-01-10,11:42:48,09F623,ONEOK Inc.,100,0.62,analyst-ratings,positive,Oneok Raised to Peer Perform From Underperform by Wolfe Research,NEWS-FLASH,Dow Jones Newswires,Oneok Raised to Peer Perform From Underperform by Wolfe Research
OKE,2024-01-17,21:15:04,09F623,ONEOK Inc.,100,0.62,dividends,up,Oneok Increases Quarterly Dividend,NEWS-FLASH,Dow Jones Newswires,ONEOK Increases Quarterly Dividend And Announces Share Repurchase Program >OKE
OKE,2024-01-17,21:15:04,09F623,ONEOK Inc.,100,0.62,dividends,up,Oneok Increases Quarterly Dividend,PRESS-RELEASE,PR Newswire,ONEOK Increases Quarterly Dividend and Announces Share Repurchase Program
OKE,2024-01-17,21:15:04,09F623,ONEOK Inc.,100,0.59,equity-actions,approved,ONEOK Inc.: Authorizes $2 Billion Share Repurchase Program,PRESS-RELEASE,PR Newswire,ONEOK Increases Quarterly Dividend and Announces Share Repurchase Program
OKE,2024-01-17,21:15:33,09F623,ONEOK Inc.,100,0.62,dividends,up,Oneok Increases Quarterly Dividend,PRESS-RELEASE,Dow Jones Newswires,Press Release: ONEOK Increases Quarterly Dividend and Announces Share Repurchase Program
OKE,2024-01-17,21:15:33,09F623,ONEOK Inc.,100,0.59,equity-actions,approved,ONEOK Inc.: Authorizes $2 Billion Share Repurchase Program,PRESS-RELEASE,Dow Jones Newswires,Press Release: ONEOK Increases Quarterly Dividend and Announces Share Repurchase Program
OKE,2024-01-17,21:16:18,09F623,ONEOK Inc.,100,0.59,equity-actions,approved,Oneok: Bd Authorizes $2B Share Buyback,NEWS-FLASH,Dow Jones Newswires,Oneok: Bd Authorizes $2B Share Buyback Plan >OKE
OKE,2024-01-17,22:02:16,09F623,ONEOK Inc.,100,0.38,dividends,up,Oneok Board Raises Dividend 3.7%,FULL-ARTICLE,Dow Jones Newswires,"Oneok Board Raises Dividend 3.7%, Authorizes $2B Share Buyback Plan"
OKE,2024-01-17,22:02:16,09F623,ONEOK Inc.,100,0.0,dividends,,ONEOK Inc.: the company's quarterly dividend,FULL-ARTICLE,Dow Jones Newswires,"Oneok Board Raises Dividend 3.7%, Authorizes $2B Share Buyback Plan"
OKE,2024-01-18,21:15:05,09F623,ONEOK Inc.,100,0.0,investor-relations,,Oneok Fourth Quarter and Year-end 2023 Conference Call and Webcast,PRESS-RELEASE,PR Newswire,ONEOK Fourth Quarter and Year-end 2023 Conference Call and Webcast Scheduled
OKE,2024-01-18,21:15:05,09F623,ONEOK Inc.,100,0.0,investor-relations,,Oneok Fourth Quarter and Year-end 2023 Conference Call and Webcast,PRESS-RELEASE,PR Newswire,ONEOK Fourth Quarter and Year-end 2023 Conference Call and Webcast Scheduled
OKE,2024-01-18,21:15:05,09F623,ONEOK Inc.,100,0.0,earnings,,"Oneok, Inc. (NYSE: OKE) will release fourth quarter and year-end 2023 earnings after the market closes on Feb. 26, 2024",PRESS-RELEASE,PR Newswire,ONEOK Fourth Quarter and Year-end 2023 Conference Call and Webcast Scheduled
OKE,2024-01-18,21:15:05,09F623,ONEOK Inc.,100,0.0,earnings,,"Oneok, Inc. (NYSE: OKE) will release fourth quarter and year-end 2023 earnings after the market closes on Feb. 26, 2024",PRESS-RELEASE,PR Newswire,ONEOK Fourth Quarter and Year-end 2023 Conference Call and Webcast Scheduled
OKE,2024-01-18,21:15:45,09F623,ONEOK Inc.,100,0.0,investor-relations,,Oneok Fourth Quarter and Year-end 2023 Conference Call and Webcast,PRESS-RELEASE,Dow Jones Newswires,Press Release: ONEOK Fourth Quarter and Year-end 2023 Conference Call and Webcast Scheduled
OKE,2024-01-18,21:15:45,09F623,ONEOK Inc.,100,0.0,investor-relations,,Oneok Fourth Quarter and Year-end 2023 Conference Call and Webcast,PRESS-RELEASE,Dow Jones Newswires,Press Release: ONEOK Fourth Quarter and Year-end 2023 Conference Call and Webcast Scheduled
OKE,2024-01-18,21:15:45,09F623,ONEOK Inc.,100,0.0,earnings,,"Oneok, Inc. (NYSE: OKE) will release fourth quarter and year-end 2023 earnings after the market closes on Feb. 26, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: ONEOK Fourth Quarter and Year-end 2023 Conference Call and Webcast Scheduled
OKE,2024-01-18,21:15:45,09F623,ONEOK Inc.,100,0.0,earnings,,"Oneok, Inc. (NYSE: OKE) will release fourth quarter and year-end 2023 earnings after the market closes on Feb. 26, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: ONEOK Fourth Quarter and Year-end 2023 Conference Call and Webcast Scheduled
OKE,2024-01-19,09:47:48,09F623,ONEOK Inc.,100,0.2,analyst-ratings,neutral,Oneok Is Maintained at Outperform by Raymond James,NEWS-FLASH,Dow Jones Newswires,Oneok Is Maintained at Outperform by Raymond James
OKE,2024-01-19,09:47:49,09F623,ONEOK Inc.,100,0.62,price-targets,upgrade,Oneok Price Target Raised to $85.00/Share From $80.00 by Raymond James,NEWS-FLASH,Dow Jones Newswires,Oneok Price Target Raised to $85.00/Share From $80.00 by Raymond James
OKE,2024-01-19,21:47:48,09F623,ONEOK Inc.,100,0.0,insider-trading,,"Vp Swords Gifts 3,000 Of ONEOK Inc >OKE",FULL-ARTICLE,Dow Jones Newswires,"VP Swords Gifts 3,000 Of ONEOK Inc >OKE-Amended"
OKE,2024-01-31,19:36:36,09F623,ONEOK Inc.,100,0.0,analyst-ratings,neutral,Oneok Is Maintained at Hold by Truist Securities,NEWS-FLASH,Dow Jones Newswires,Oneok Is Maintained at Hold by Truist Securities
OKE,2024-01-31,19:36:36,09F623,ONEOK Inc.,100,0.52,price-targets,upgrade,Oneok Price Target Raised to $71.00/Share From $68.00 by Truist Securities,NEWS-FLASH,Dow Jones Newswires,Oneok Price Target Raised to $71.00/Share From $68.00 by Truist Securities
OKE,2024-02-08,11:59:07,09F623,ONEOK Inc.,100,0.94,analyst-ratings,positive,Oneok Raised to Buy From Neutral by Seaport Global,NEWS-FLASH,Dow Jones Newswires,Oneok Raised to Buy From Neutral by Seaport Global
OKE,2024-02-08,11:59:07,09F623,ONEOK Inc.,100,0.0,price-targets,set,Oneok Price Target Announced at $76.00/Share by Seaport Global,NEWS-FLASH,Dow Jones Newswires,Oneok Price Target Announced at $76.00/Share by Seaport Global
OKE,2024-02-19,08:16:44,09F623,ONEOK Inc.,100,0.0,investor-relations,,"Oneok Inc, Inst Holders, 4Q 2023 (OKE)",RNS-SEC13F,Dow Jones Newswires,"ONEOK  Inc, Inst Holders, 4Q 2023 (OKE)"
OKE,2024-02-20,08:08:05,09F623,ONEOK Inc.,100,0.0,investor-relations,,"Magellan Midstream Partners L, Inst Holders, 4Q 2023 (MMP)",RNS-SEC13F,Dow Jones Newswires,"Magellan Midstream Partners  L, Inst Holders, 4Q 2023 (MMP)"
OKE,2024-02-22,02:55:49,09F623,ONEOK Inc.,100,0.0,insider-trading,,"Vp Schingen Surrenders 6,098 Of ONEOK Inc >OKE",FULL-ARTICLE,Dow Jones Newswires,"VP Schingen Surrenders 6,098 Of ONEOK Inc >OKE"
OKE,2024-02-23,15:46:31,09F623,ONEOK Inc.,100,0.5,price-targets,upgrade,Oneok Price Target Raised to $75.00/Share From $72.00 by Mizuho,NEWS-FLASH,Dow Jones Newswires,Oneok Price Target Raised to $75.00/Share From $72.00 by Mizuho
