ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
OTIS,2024-01-02,14:04:53,C20B75,Otis Worldwide Corp.,100,-0.58,analyst-ratings,negative,Otis Worldwide Cut to Hold From Buy,NEWS-FLASH,Dow Jones Newswires,Otis Worldwide Cut to Hold From Buy by Vertical Research
OTIS,2024-01-10,12:00:04,C20B75,Otis Worldwide Corp.,100,0.0,earnings,,Otis Fourth Quarter 2023 Earnings,PRESS-RELEASE,PR Newswire,Otis Fourth Quarter 2023 Earnings Advisory
OTIS,2024-01-10,12:00:04,C20B75,Otis Worldwide Corp.,100,0.0,investor-relations,,"Otis Worldwide Corporation (NYSE: OTIS) will host a conference call on Wednesday, January 31, 2024, at 8:30 a.m. ET",PRESS-RELEASE,PR Newswire,Otis Fourth Quarter 2023 Earnings Advisory
OTIS,2024-01-10,12:00:23,C20B75,Otis Worldwide Corp.,100,0.0,earnings,,Otis Fourth Quarter 2023 Earnings,PRESS-RELEASE,Dow Jones Newswires,Press Release: Otis Fourth Quarter 2023 Earnings Advisory
OTIS,2024-01-10,12:00:23,C20B75,Otis Worldwide Corp.,100,0.0,investor-relations,,"Otis Worldwide Corporation (NYSE: OTIS) will host a conference call on Wednesday, January 31, 2024, at 8:30 a.m. ET",PRESS-RELEASE,Dow Jones Newswires,Press Release: Otis Fourth Quarter 2023 Earnings Advisory
OTIS,2024-01-31,11:05:42,C20B75,Otis Worldwide Corp.,100,0.61,earnings,positive,Otis Worldwide 4Q EPS 79c,NEWS-FLASH,Dow Jones Newswires,Otis Worldwide 4Q EPS 79c >OTIS
OTIS,2024-01-31,11:05:42,C20B75,Otis Worldwide Corp.,100,0.0,earnings,,Otis Worldwide Sees FY Adj EPS $3.80,NEWS-FLASH,Dow Jones Newswires,Otis Worldwide Sees FY Adj EPS $3.80-Adj EPS $3.90 >OTIS
OTIS,2024-01-31,11:05:42,C20B75,Otis Worldwide Corp.,100,0.0,revenues,,Otis Worldwide 4Q Sales $3.6B >OTIS,NEWS-FLASH,Dow Jones Newswires,Otis Worldwide 4Q Sales $3.6B >OTIS
OTIS,2024-01-31,11:05:42,C20B75,Otis Worldwide Corp.,100,0.61,earnings,positive,Otis Worldwide 4Q Adj EPS 87c,NEWS-FLASH,Dow Jones Newswires,Otis Worldwide 4Q Adj EPS 87c >OTIS
OTIS,2024-01-31,11:05:42,C20B75,Otis Worldwide Corp.,100,0.61,earnings,positive,Otis Worldwide 4Q Net $323M,NEWS-FLASH,Dow Jones Newswires,Otis Worldwide 4Q Net $323M >OTIS
OTIS,2024-01-31,11:05:42,C20B75,Otis Worldwide Corp.,100,0.61,earnings,positive,Otis Worldwide Corp.: Fourth quarter GAAP operating profit of $522 million,PRESS-RELEASE,PR Newswire,OTIS REPORTS FOURTH QUARTER AND FULL YEAR 2023 RESULTS
OTIS,2024-01-31,11:05:42,C20B75,Otis Worldwide Corp.,100,0.0,earnings,,Otis REPORTS FOURTH QUARTER AND FULL YEAR 2023 RESULTS,PRESS-RELEASE,PR Newswire,OTIS REPORTS FOURTH QUARTER AND FULL YEAR 2023 RESULTS
OTIS,2024-01-31,11:05:42,C20B75,Otis Worldwide Corp.,100,0.0,earnings,,Otis Worldwide Corp.: announces 2024 outlook,PRESS-RELEASE,PR Newswire,OTIS REPORTS FOURTH QUARTER AND FULL YEAR 2023 RESULTS
OTIS,2024-01-31,11:05:42,C20B75,Otis Worldwide Corp.,100,0.41,revenues,up,"Otis Worldwide Corp.: In the fourth quarter, net sales of $2.2 billion increased 8.9%",PRESS-RELEASE,PR Newswire,OTIS REPORTS FOURTH QUARTER AND FULL YEAR 2023 RESULTS
OTIS,2024-01-31,11:05:42,C20B75,Otis Worldwide Corp.,100,0.4,earnings,up,Otis Worldwide Corp.: GAAP earnings per share (EPS) increased 14.5% to $3.39,PRESS-RELEASE,PR Newswire,OTIS REPORTS FOURTH QUARTER AND FULL YEAR 2023 RESULTS
