ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
OXY,2024-01-03,11:35:05,CA212F,Occidental Petroleum Corp.,100,-0.58,analyst-ratings,negative,Occidental Petroleum downgraded to neutral from buy at Mizuho,FULL-ARTICLE,MarketWatch,MW Occidental Petroleum downgraded to neutral from buy at Mizuho
OXY,2024-01-03,13:55:07,CA212F,Occidental Petroleum Corp.,100,-0.58,analyst-ratings,negative,Occidental Petroleum Cut to Neutral From Buy by Mizuho,NEWS-FLASH,Dow Jones Newswires,Occidental Petroleum Cut to Neutral From Buy by Mizuho
OXY,2024-01-03,13:55:07,CA212F,Occidental Petroleum Corp.,100,0.0,price-targets,set,Occidental Petroleum Price Target Announced at $63.00/Share by Mizuho,NEWS-FLASH,Dow Jones Newswires,Occidental Petroleum Price Target Announced at $63.00/Share by Mizuho
OXY,2024-01-05,18:13:18,CA212F,Occidental Petroleum Corp.,96,0.0,assets,sale,Occidental will sell some assets,FULL-ARTICLE,Dow Jones Newswires,"Apache, Occidental, and Chevron Enter Unpopular Deals -- Barrons.com"
OXY,2024-01-10,21:18:16,CA212F,Occidental Petroleum Corp.,99,0.62,acquisitions-mergers,,Occidental purchases have generally come in the evening,FULL-ARTICLE,Dow Jones Newswires,Did Berkshire Scoop Up More Occidental Lately? We'll Know Shortly. -- Barrons.com
OXY,2024-01-10,21:59:02,CA212F,Occidental Petroleum Corp.,100,0.0,products-services,,Occidental Petroleum Sees 4Q Production,RNS-SEC8K,Dow Jones Newswires,Occidental Petroleum Sees 4Q Production Within Guidance Range Despite Third Party Outage in Eastern Gulf of Mexico
OXY,2024-01-11,09:38:49,CA212F,Occidental Petroleum Corp.,92,0.37,equity-actions,increase,Berkshire Hathaway increased its stake in Occidental Petroleum to 34%,FULL-ARTICLE,Dow Jones Newswires,"These Stocks Are Moving the Most Today: Citigroup, Meta, Marathon Digital, KB Home, Occidental, and More -- Barrons.com"
OXY,2024-01-11,21:15:31,CA212F,Occidental Petroleum Corp.,100,0.32,earnings,,"Occidental to Announce Fourth Quarter Results Wednesday, February 14, 2024",PRESS-RELEASE,GlobeNewswire,"Occidental to Announce Fourth Quarter Results Wednesday, February 14, 2024; Hold Conference Call Thursday, February 15, 2024"
OXY,2024-01-11,21:15:31,CA212F,Occidental Petroleum Corp.,100,0.0,investor-relations,,"Occidental Petroleum Corp.: Hold Conference Call Thursday, February 15, 2024",PRESS-RELEASE,GlobeNewswire,"Occidental to Announce Fourth Quarter Results Wednesday, February 14, 2024; Hold Conference Call Thursday, February 15, 2024"
OXY,2024-01-16,15:33:19,CA212F,Occidental Petroleum Corp.,92,0.58,acquisitions-mergers,,Trafigura to Buy Carbon Removal Credits From Occidental Petroleum's 1PointFive Unit to,FULL-ARTICLE,Dow Jones Newswires,Trafigura to Buy Carbon Removal Credits From Occidental Petroleum's 1PointFive Unit to Offset Emissions -- OPIS
OXY,2024-01-22,12:51:54,CA212F,Occidental Petroleum Corp.,92,-0.47,regulatory,,Federal Trade Commission is investigating Occidental Petroleum,FULL-ARTICLE,Dow Jones Newswires,Occidental's CrownRock Deal Draws Antitrust Scrutiny -- Market Talk
OXY,2024-01-22,12:51:55,CA212F,Occidental Petroleum Corp.,92,-0.47,regulatory,,Federal Trade Commission is investigating Occidental Petroleum,FULL-ARTICLE,Dow Jones Newswires,Occidental's CrownRock Deal Draws Antitrust Scrutiny -- Market Talk
OXY,2024-01-24,20:23:50,CA212F,Occidental Petroleum Corp.,100,0.34,analyst-ratings,neutral,Occidental Petroleum Is Maintained at Strong Buy by Raymond James,NEWS-FLASH,Dow Jones Newswires,Occidental Petroleum Is Maintained at Strong Buy by Raymond James
OXY,2024-01-24,20:23:51,CA212F,Occidental Petroleum Corp.,100,-0.44,price-targets,downgrade,Occidental Petroleum Price Target Cut to $68.00/Share From $70.00 by Raymond James,NEWS-FLASH,Dow Jones Newswires,Occidental Petroleum Price Target Cut to $68.00/Share From $70.00 by Raymond James
OXY,2024-02-05,21:37:46,CA212F,Occidental Petroleum Corp.,99,0.38,credit,,"Occidental"") entered into a Third Amended and Restated Credit Agreement",RNS-SEC8K,Dow Jones Newswires,Occidental Petroleum Files 8K - Entry Into Definitive Agreement >OXY
OXY,2024-02-06,02:33:49,CA212F,Occidental Petroleum Corp.,100,0.37,equity-actions,increase,"Holder Berkshire Hathaway Inc Buys 4,302,324 Of Occidental Petroleum Corp",TABULAR-MATERIAL,Dow Jones Newswires,"Holder Berkshire Hathaway Inc Buys 4,302,324 Of Occidental Petroleum Corp >OXY"
OXY,2024-02-06,13:18:36,CA212F,Occidental Petroleum Corp.,100,0.37,equity-actions,increase,Berkshire Hathaway Boosts Occidental Petroleum Stake,FULL-ARTICLE,Dow Jones Newswires,Warren Buffett's Berkshire Hathaway Boosts Occidental Petroleum Stake -- WSJ
OXY,2024-02-08,17:30:38,CA212F,Occidental Petroleum Corp.,100,0.62,dividends,up,Occidental Increases Dividend,PRESS-RELEASE,GlobeNewswire,Occidental Increases Dividend
OXY,2024-02-08,17:30:39,CA212F,Occidental Petroleum Corp.,100,0.62,dividends,up,Occidental Increases Dividend,PRESS-RELEASE,Dow Jones Newswires,Press Release: Occidental Increases Dividend
OXY,2024-02-08,17:31:54,CA212F,Occidental Petroleum Corp.,100,0.62,dividends,up,Occidental Petroleum Raises Dividend to 22c,NEWS-FLASH,Dow Jones Newswires,Occidental Petroleum Raises Dividend to 22c >OXY
OXY,2024-02-08,17:45:31,CA212F,Occidental Petroleum Corp.,100,0.38,dividends,up,Occidental Petroleum Raises Quarterly Dividend 18%,FULL-ARTICLE,Dow Jones Newswires,Occidental Petroleum Raises Quarterly Dividend 18%
OXY,2024-02-09,21:41:29,CA212F,Occidental Petroleum Corp.,100,0.52,insider-trading,,"Vp Bennett Acquires 33,824 Of Occidental Petroleum Corp >OXY",TABULAR-MATERIAL,Dow Jones Newswires,"VP Bennett Acquires 33,824 Of Occidental Petroleum Corp >OXY"
OXY,2024-02-09,21:41:52,CA212F,Occidental Petroleum Corp.,100,0.52,insider-trading,,"Vp Champion Acquires 33,811 Of Occidental Petroleum Corp >OXY",TABULAR-MATERIAL,Dow Jones Newswires,"VP Champion Acquires 33,811 Of Occidental Petroleum Corp >OXY"
OXY,2024-02-09,21:44:02,CA212F,Occidental Petroleum Corp.,100,0.52,insider-trading,,"Vp Dillon Acquires 57,078 Of Occidental Petroleum Corp >OXY",TABULAR-MATERIAL,Dow Jones Newswires,"VP Dillon Acquires 57,078 Of Occidental Petroleum Corp >OXY"
