ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
PAYC,2024-01-01,00:20:37,7F9984,Paycom Software Inc.,99,-0.52,legal,,"Lawsuit was filed against Paycom Software, Inc.",PRESS-RELEASE,DJ Global Press Release Wire,"SHAREHOLDER ALERT: Levi & Korsinsky Reminds Shareholders of a Lead Plaintiff Deadline of January 9, 2024 in Paycom Lawsuit - PAYC"
PAYC,2024-01-01,00:20:37,7F9984,Paycom Software Inc.,99,-0.74,earnings,below-expectations,Paycom missed its expected,PRESS-RELEASE,DJ Global Press Release Wire,"SHAREHOLDER ALERT: Levi & Korsinsky Reminds Shareholders of a Lead Plaintiff Deadline of January 9, 2024 in Paycom Lawsuit - PAYC"
PAYC,2024-01-01,14:02:04,7F9984,Paycom Software Inc.,99,-0.52,legal,,"Class action lawsuit has been filed against Paycom Software, Inc. (""Paycom",PRESS-RELEASE,DJ Global Press Release Wire,"UPCOMING PAYC DEADLINE: Bronstein, Gewirtz & Grossman LLC Reminds Paycom Software, Inc. Investors to Contact the Firm to Lead Class Action Lawsuit!"
PAYC,2024-01-01,14:02:04,7F9984,Paycom Software Inc.,99,-0.74,earnings,below-expectations,Paycom missed its expected,PRESS-RELEASE,DJ Global Press Release Wire,"UPCOMING PAYC DEADLINE: Bronstein, Gewirtz & Grossman LLC Reminds Paycom Software, Inc. Investors to Contact the Firm to Lead Class Action Lawsuit!"
PAYC,2024-01-01,14:36:11,7F9984,Paycom Software Inc.,99,-0.52,legal,,"Lawsuit was filed against Paycom Software, Inc.",PRESS-RELEASE,DJ Global Press Release Wire,"INVESTOR ALERT: Levi & Korsinsky Reminds Shareholders of a Lead Plaintiff Deadline of January 9, 2024 in Paycom Lawsuit - PAYC"
PAYC,2024-01-01,14:36:11,7F9984,Paycom Software Inc.,99,-0.74,earnings,below-expectations,Paycom missed its expected,PRESS-RELEASE,DJ Global Press Release Wire,"INVESTOR ALERT: Levi & Korsinsky Reminds Shareholders of a Lead Plaintiff Deadline of January 9, 2024 in Paycom Lawsuit - PAYC"
PAYC,2024-01-01,14:36:17,7F9984,Paycom Software Inc.,100,-0.64,legal,,Paycom Software (PAYC) Faces Investor Fraud Lawsuit,PRESS-RELEASE,DJ Global Press Release Wire,Paycom Software (PAYC) Faces Investor Fraud Lawsuit for Concealing the Adverse Impact its Beti Product Had on Other Offerings - Hagens Berman
PAYC,2024-01-01,14:36:17,7F9984,Paycom Software Inc.,100,-0.74,earnings,below-expectations,Paycom missed its expected,PRESS-RELEASE,DJ Global Press Release Wire,Paycom Software (PAYC) Faces Investor Fraud Lawsuit for Concealing the Adverse Impact its Beti Product Had on Other Offerings - Hagens Berman
PAYC,2024-01-01,14:36:17,7F9984,Paycom Software Inc.,100,0.0,earnings,,"Paycom reported its Q3 2023 financial results, including disappointing Q3 revenues, and guided for Q4 2023",PRESS-RELEASE,DJ Global Press Release Wire,Paycom Software (PAYC) Faces Investor Fraud Lawsuit for Concealing the Adverse Impact its Beti Product Had on Other Offerings - Hagens Berman
PAYC,2024-01-01,15:06:00,7F9984,Paycom Software Inc.,99,-0.52,legal,,"Lawsuit was filed against Paycom Software, Inc.",PRESS-RELEASE,DJ Global Press Release Wire,"SHAREHOLDER ALERT: Potential Recovery for Paycom Software, Inc. (PAYC) Investors Affected by Stock Drop - Levi & Korsinsky Pursuing Class Action Lawsuit"
PAYC,2024-01-01,15:06:00,7F9984,Paycom Software Inc.,99,-0.74,earnings,below-expectations,Paycom missed its expected,PRESS-RELEASE,DJ Global Press Release Wire,"SHAREHOLDER ALERT: Potential Recovery for Paycom Software, Inc. (PAYC) Investors Affected by Stock Drop - Levi & Korsinsky Pursuing Class Action Lawsuit"
PAYC,2024-01-01,17:43:50,7F9984,Paycom Software Inc.,99,-0.52,legal,,"Firm, is investigating potential claims against Paycom Software, Inc.",PRESS-RELEASE,DJ Global Press Release Wire,Paycom Deadline Alert
PAYC,2024-01-01,17:43:50,7F9984,Paycom Software Inc.,99,0.52,products-services,,Paycom introduced its Beti product in July 2021,PRESS-RELEASE,DJ Global Press Release Wire,Paycom Deadline Alert
PAYC,2024-01-01,17:43:50,7F9984,Paycom Software Inc.,99,0.0,earnings,,"Paycom Software Inc.: On October 31, 2023, Paycom reported its Q3 2023 financial results",PRESS-RELEASE,DJ Global Press Release Wire,Paycom Deadline Alert
PAYC,2024-01-01,17:43:50,7F9984,Paycom Software Inc.,99,0.58,acquisitions-mergers,,Stopped purchasing Paycom's other services,PRESS-RELEASE,DJ Global Press Release Wire,Paycom Deadline Alert
PAYC,2024-01-01,17:50:03,7F9984,Paycom Software Inc.,99,-0.74,earnings,below-expectations,Paycom missed its expected,PRESS-RELEASE,PR Newswire,"PAYC DEADLINE: ROSEN, THE FIRST FILING FIRM, Encourages Paycom Software, Inc. Investors to Secure Counsel Before Important January 9 Deadline in Securities Class Action Commenced by the Firm - PAYC"
