ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
PFG,2021-03-15,07:00:15,1E0CEF,Provident Financial PLC,99,0.46,equity-actions,,"Provident Financial PLC: our digital footprint, investing in new products",PRESS-RELEASE,LSE Regulatory News Service (RNS),Provident Financial PLC Statement re Trading Update and CCD Scheme
PFG,2021-03-15,07:00:15,1E0CEF,Provident Financial PLC,93,-0.47,regulatory,,Provident Financial PLC: FCA investigation,PRESS-RELEASE,LSE Regulatory News Service (RNS),Provident Financial PLC Statement re Trading -2-
PFG,2021-03-15,07:19:11,1E0CEF,Provident Financial PLC,100,0.0,earnings,,"Provident Financial's 4Q, 2020 Performance",FULL-ARTICLE,Dow Jones Newswires,"Provident Financial's 4Q, 2020 Performance Slightly Ahead Management Views"
PFG,2021-04-22,14:49:24,1E0CEF,Provident Financial PLC,99,0.0,earnings,,Provident Financial PLC: We will publish our FY'20 results on Monday 10 May,PRESS-RELEASE,LSE Regulatory News Service (RNS),Provident Financial PLC Scheme of Arrangement Update
PFG,2021-05-10,06:00:16,1E0CEF,Provident Financial PLC,99,0.0,earnings,,Provident Financial PLC: Preliminary results for the year ended 31 December 2020,PRESS-RELEASE,LSE Regulatory News Service (RNS),Provident Financial PLC PFG 2020 Preliminary Results Announcement
PFG,2021-05-10,06:00:16,1E0CEF,Provident Financial PLC,99,0.0,earnings,,Provident Financial PLC: Adjusted basic EPS,PRESS-RELEASE,LSE Regulatory News Service (RNS),Provident Financial PLC PFG 2020 Preliminary Results Announcement
PFG,2021-05-10,06:00:16,1E0CEF,Provident Financial PLC,99,0.0,earnings,,Provident Financial PLC: Basic EPS,PRESS-RELEASE,LSE Regulatory News Service (RNS),Provident Financial PLC PFG 2020 Preliminary Results Announcement
PFG,2021-05-10,06:00:16,1E0CEF,Provident Financial PLC,99,0.52,products-services,,Provident Financial PLC: New customer bookings for,PRESS-RELEASE,LSE Regulatory News Service (RNS),Provident Financial PLC PFG 2020 Preliminary Results Announcement
PFG,2021-05-10,06:00:16,1E0CEF,Provident Financial PLC,99,0.0,equity-actions,,Provident Financial PLC: the costs in respect of the intermediate holding company (GBP1.4m),PRESS-RELEASE,LSE Regulatory News Service (RNS),Provident Financial PLC PFG 2020 Preliminary -2-
PFG,2021-05-10,06:00:16,1E0CEF,Provident Financial PLC,99,0.0,earnings,,Provident Financial PLC: Turning to the financial results for 2020,PRESS-RELEASE,LSE Regulatory News Service (RNS),Provident Financial PLC PFG 2020 Preliminary -2-
