ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
PH,2024-01-02,14:53:53,6B5379,Parker Hannifin Corp.,100,0.34,analyst-ratings,neutral,Parker-Hannifin Is Maintained at Buy by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Parker-Hannifin Is Maintained at Buy by Goldman Sachs
PH,2024-01-24,22:00:01,6B5379,Parker Hannifin Corp.,100,0.0,earnings,,Parker to Announce Fiscal 2024 Second Quarter Earnings on February 1,PRESS-RELEASE,GlobeNewswire,Parker to Announce Fiscal 2024 Second Quarter Earnings on February 1; Conference Call and Webcast Scheduled for 11 a.m. Eastern
PH,2024-01-24,22:00:01,6B5379,Parker Hannifin Corp.,100,0.0,investor-relations,,Parker Hannifin Corp.: Conference Call and Webcast Scheduled for 11 a.m. Eastern,PRESS-RELEASE,GlobeNewswire,Parker to Announce Fiscal 2024 Second Quarter Earnings on February 1; Conference Call and Webcast Scheduled for 11 a.m. Eastern
PH,2024-01-24,22:00:01,6B5379,Parker Hannifin Corp.,100,0.0,earnings,,Parker to Announce Fiscal 2024 Second Quarter Earnings on February 1,PRESS-RELEASE,Dow Jones Newswires,Press Release: Parker to Announce Fiscal 2024 Second Quarter Earnings on February 1; Conference Call and Webcast Scheduled for 11 a.m. Eastern
PH,2024-01-24,22:00:01,6B5379,Parker Hannifin Corp.,100,0.0,investor-relations,,Parker Hannifin Corp.: Conference Call and Webcast Scheduled for 11 a.m. Eastern,PRESS-RELEASE,Dow Jones Newswires,Press Release: Parker to Announce Fiscal 2024 Second Quarter Earnings on February 1; Conference Call and Webcast Scheduled for 11 a.m. Eastern
PH,2024-01-25,22:00:00,6B5379,Parker Hannifin Corp.,100,0.0,dividends,,Parker Declares Quarterly Cash Dividend,PRESS-RELEASE,GlobeNewswire,Parker Declares Quarterly Cash Dividend
PH,2024-01-25,22:00:00,6B5379,Parker Hannifin Corp.,100,0.62,dividends,up,Parker has increased its annual dividends per share,PRESS-RELEASE,GlobeNewswire,Parker Declares Quarterly Cash Dividend
PH,2024-01-25,22:00:01,6B5379,Parker Hannifin Corp.,100,0.0,dividends,,Parker Declares Quarterly Cash Dividend,PRESS-RELEASE,Dow Jones Newswires,Press Release: Parker Declares Quarterly Cash Dividend
PH,2024-01-25,22:00:01,6B5379,Parker Hannifin Corp.,100,0.62,dividends,up,Parker has increased its annual dividends per share,PRESS-RELEASE,Dow Jones Newswires,Press Release: Parker Declares Quarterly Cash Dividend
PH,2024-02-01,12:30:02,6B5379,Parker Hannifin Corp.,100,0.0,revenues,,Parker-Hannifin 2Q Sales $4.8B >PH,NEWS-FLASH,Dow Jones Newswires,Parker-Hannifin 2Q Sales $4.8B >PH
PH,2024-02-01,12:30:02,6B5379,Parker Hannifin Corp.,100,0.0,earnings,,Parker Reports Fiscal 2024 Second Quarter Results,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results
PH,2024-02-01,12:30:02,6B5379,Parker Hannifin Corp.,100,0.04,revenues,,Parker Hannifin Corp.: Aerospace Systems Segment: Second quarter sales increased 15% to $1.3 billion,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results
PH,2024-02-01,12:30:02,6B5379,Parker Hannifin Corp.,100,0.61,earnings,positive,Parker Hannifin Corp.: EPS were $5.23,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results
PH,2024-02-01,12:30:02,6B5379,Parker Hannifin Corp.,100,0.72,earnings,up,Parker Hannifin Corp.: Net income was $681.9 million compared with $395.2 million in the prior year quarter,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results
PH,2024-02-01,12:30:02,6B5379,Parker Hannifin Corp.,100,0.7,earnings,up,Parker Hannifin Corp.: Adjusted earnings per share increased 29% to $6.15,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results
PH,2024-02-01,12:30:02,6B5379,Parker Hannifin Corp.,100,-0.5,products-services,decrease,Parker Hannifin Corp.: Orders decreased 4%,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results
PH,2024-02-01,12:30:02,6B5379,Parker Hannifin Corp.,100,0.48,revenues,up,Parker Hannifin Corp.: The company expects total sales growth in fiscal 2024 to be in the range of 3% to 5%,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.0,earnings,,Parker Reports Fiscal 2024 Second Quarter Results,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results -2-
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.0,earnings,,Parker's Annual Report on Form 10-K for the fiscal year ended June,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results -2-
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.41,revenues,up,Parker Hannifin Corp.: Organic sales growth 2.9%,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results -2-
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.0,earnings,,Parker Hannifin Corp.: Earnings per share,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results -2-
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.0,dividends,,Parker Hannifin Corp.: CASH DIVIDENDS PER COMMON SHARE,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results -2-
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.0,earnings,,Parker Hannifin Corp.: Segment operating income,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results -2-
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.0,earnings,,Parker-Hannifin Sees FY EPS $20.00,NEWS-FLASH,Dow Jones Newswires,Parker-Hannifin Sees FY EPS $20.00-EPS $20.60 >PH
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.61,earnings,positive,Parker-Hannifin 2Q EPS $6.15,NEWS-FLASH,Dow Jones Newswires,Parker-Hannifin 2Q EPS $6.15 >PH
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.0,earnings,,Parker Reports Fiscal 2024 Second Quarter Results,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results -3-
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.0,revenues,,"Parker Hannifin Corp.: Total net sales $4,820,947 $4,674,811",PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results -3-
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.0,assets,,"Parker Hannifin Corp.: Total assets $ 29,694,935 $29,964,472",PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results -3-
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.0,earnings,,Parker-Hannifin Sees FY Adj EPS $23.90,NEWS-FLASH,Dow Jones Newswires,Parker-Hannifin Sees FY Adj EPS $23.90-Adj EPS $24.50 >PH
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.0,earnings,,Parker Reports Fiscal 2024 Second Quarter Results,PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results -4-
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.0,dividends,,"Parker Hannifin Corp.: 8,911) Dividends",PRESS-RELEASE,GlobeNewswire,Parker Reports Fiscal 2024 Second Quarter Results -4-
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.61,earnings,positive,Parker-Hannifin 2Q Adj EPS $6.15,NEWS-FLASH,Dow Jones Newswires,Parker-Hannifin 2Q Adj EPS $6.15 >PH
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.61,earnings,positive,Parker-Hannifin 2Q Net $681.9M,NEWS-FLASH,Dow Jones Newswires,Parker-Hannifin 2Q Net $681.9M >PH
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.0,earnings,,Parker Reports Fiscal 2024 Second Quarter Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Parker Reports Fiscal 2024 Second Quarter Results
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.04,revenues,,Parker Hannifin Corp.: Aerospace Systems Segment: Second quarter sales increased 15% to $1.3 billion,PRESS-RELEASE,Dow Jones Newswires,Press Release: Parker Reports Fiscal 2024 Second Quarter Results
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.61,earnings,positive,Parker Hannifin Corp.: EPS were $5.23,PRESS-RELEASE,Dow Jones Newswires,Press Release: Parker Reports Fiscal 2024 Second Quarter Results
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.72,earnings,up,Parker Hannifin Corp.: Net income was $681.9 million compared with $395.2 million in the prior year quarter,PRESS-RELEASE,Dow Jones Newswires,Press Release: Parker Reports Fiscal 2024 Second Quarter Results
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.7,earnings,up,Parker Hannifin Corp.: Adjusted earnings per share increased 29% to $6.15,PRESS-RELEASE,Dow Jones Newswires,Press Release: Parker Reports Fiscal 2024 Second Quarter Results
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,-0.5,products-services,decrease,Parker Hannifin Corp.: Orders decreased 4%,PRESS-RELEASE,Dow Jones Newswires,Press Release: Parker Reports Fiscal 2024 Second Quarter Results
PH,2024-02-01,12:30:03,6B5379,Parker Hannifin Corp.,100,0.48,revenues,up,Parker Hannifin Corp.: The company expects total sales growth in fiscal 2024 to be in the range of 3% to 5%,PRESS-RELEASE,Dow Jones Newswires,Press Release: Parker Reports Fiscal 2024 Second Quarter Results
