ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
PLD,2024-01-10,16:48:09,8C5519,ProLogis Inc.,100,0.0,analyst-ratings,neutral,Prologis Is Maintained at Neutral by Mizuho,NEWS-FLASH,Dow Jones Newswires,Prologis Is Maintained at Neutral by Mizuho
PLD,2024-01-10,16:48:09,8C5519,ProLogis Inc.,100,0.5,price-targets,upgrade,Prologis Price Target Raised to $130.00/Share From $125.00 by Mizuho,NEWS-FLASH,Dow Jones Newswires,Prologis Price Target Raised to $130.00/Share From $125.00 by Mizuho
PLD,2024-01-16,16:45:15,8C5519,ProLogis Inc.,100,-0.67,earnings,down,Prologis 4Q Earnings Seen Falling,FULL-ARTICLE,Dow Jones Newswires,Prologis 4Q Earnings Seen Falling Despite Higher Revenue -- Earnings Preview
PLD,2024-01-16,16:45:15,8C5519,ProLogis Inc.,100,0.0,revenues,,Prologis's revenue is expected to,FULL-ARTICLE,Dow Jones Newswires,Prologis 4Q Earnings Seen Falling Despite Higher Revenue -- Earnings Preview
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,100,0.61,earnings,positive,4Q EPS 68c >PLD,NEWS-FLASH,Dow Jones Newswires,Prologis 4Q EPS 68c >PLD
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,100,0.0,earnings,,Prologis Reports Fourth Quarter and Full Year 2023 Results,PRESS-RELEASE,PR Newswire,Prologis Reports Fourth Quarter and Full Year 2023 Results
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,100,0.0,earnings,,Prologis Reports Fourth Quarter and Full Year 2023 Results,PRESS-RELEASE,PR Newswire,Prologis Reports Fourth Quarter and Full Year 2023 Results
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,100,0.0,earnings,,ProLogis Inc.: Fourth consecutive year of double-digit earnings,PRESS-RELEASE,PR Newswire,Prologis Reports Fourth Quarter and Full Year 2023 Results
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,100,0.7,earnings,up,ProLogis Inc.: expects strong 2024,PRESS-RELEASE,PR Newswire,Prologis Reports Fourth Quarter and Full Year 2023 Results
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,100,0.0,equity-actions,,ProLogis Inc.: General & administrative expenses,PRESS-RELEASE,PR Newswire,Prologis Reports Fourth Quarter and Full Year 2023 Results
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,100,0.0,earnings,,Prologis Sees FY EPS $3.20,NEWS-FLASH,Dow Jones Newswires,Prologis Sees FY EPS $3.20-EPS $3.45 >PLD
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,99,0.0,revenues,,ProLogis Inc.: Total revenues,PRESS-RELEASE,PR Newswire,Prologis Reports Fourth Quarter and Full Year -2-
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,100,0.61,earnings,positive,Prologis 4Q Net $630.9M,NEWS-FLASH,Dow Jones Newswires,Prologis 4Q Net $630.9M >PLD
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,91,0.62,earnings,up,ProLogis Inc.: Operating income before gains,PRESS-RELEASE,PR Newswire,Prologis Reports Fourth Quarter and Full Year -3-
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,100,0.0,revenues,,Prologis 4Q Rev $1.89B >PLD,NEWS-FLASH,Dow Jones Newswires,Prologis 4Q Rev $1.89B >PLD
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,99,0.0,earnings,,ProLogis Inc.: Adjusted EBITDA,PRESS-RELEASE,PR Newswire,Prologis Reports Fourth Quarter and Full Year -5-
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,99,0.62,acquisitions-mergers,,ProLogis Inc.: we acquire or stabilize during the quarter,PRESS-RELEASE,PR Newswire,Prologis Reports Fourth Quarter and Full Year -5-
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,99,0.61,earnings,positive,ProLogis Inc.: Net earnings per share - Basic $ 0.68 $ 0.64 $,PRESS-RELEASE,PR Newswire,Prologis Reports Fourth Quarter and Full Year -5-
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,99,0.61,earnings,positive,ProLogis Inc.: Net earnings per share - Diluted $ 0.68 $ 0.63 $,PRESS-RELEASE,PR Newswire,Prologis Reports Fourth Quarter and Full Year -5-
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,99,0.0,earnings,,ProLogis Inc.: our annual guided Net Earnings per share,PRESS-RELEASE,PR Newswire,Prologis Reports Fourth Quarter and Full Year -7-
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,100,0.0,earnings,,Prologis Reports Fourth Quarter and Full Year 2023 Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Prologis Reports Fourth Quarter and Full Year 2023 Results
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,100,0.0,earnings,,Prologis Reports Fourth Quarter and Full Year 2023 Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Prologis Reports Fourth Quarter and Full Year 2023 Results
PLD,2024-01-17,13:00:15,8C5519,ProLogis Inc.,100,0.0,earnings,,ProLogis Inc.: Fourth consecutive year of double-digit earnings,PRESS-RELEASE,Dow Jones Newswires,Press Release: Prologis Reports Fourth Quarter and Full Year 2023 Results
