ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
PNW,2021-01-19,14:06:06,342218,Pinnacle West Capital Corp.,100,0.34,analyst-ratings,neutral,Pinnacle West Capital Is Maintained at Outperform by Credit Suisse,NEWS-FLASH,Dow Jones Newswires,Pinnacle West Capital Is Maintained at Outperform by Credit Suisse
PNW,2021-01-19,14:06:06,342218,Pinnacle West Capital Corp.,100,-0.66,price-targets,downgrade,Pinnacle West Capital Price Target Cut to $86.00/Share From $92.00 by Credit Suisse,NEWS-FLASH,Dow Jones Newswires,Pinnacle West Capital Price Target Cut to $86.00/Share From $92.00 by Credit Suisse
PNW,2021-01-20,16:20:52,342218,Pinnacle West Capital Corp.,100,0.0,analyst-ratings,neutral,Pinnacle West Capital Is Maintained at Equal-Weight by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Pinnacle West Capital Is Maintained at Equal-Weight by Morgan Stanley
PNW,2021-01-20,16:20:52,342218,Pinnacle West Capital Corp.,100,-0.26,price-targets,downgrade,Pinnacle West Capital Price Target Cut to $78.00/Share From $79.00 by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Pinnacle West Capital Price Target Cut to $78.00/Share From $79.00 by Morgan Stanley
PNW,2021-01-23,09:20:40,342218,Pinnacle West Capital Corp.,100,0.0,investor-relations,,"Pinnacle West Capital Corporat, Inst Holders, 4Q 2020 (PNW)",RNS-SEC13F,Dow Jones Newswires,"Pinnacle West Capital Corporat, Inst Holders, 4Q 2020 (PNW)"
PNW,2021-01-25,21:35:00,342218,Pinnacle West Capital Corp.,100,0.0,investor-relations,,"Pinnacle West Sets Date for 2020 Fourth-Quarter and Full-Year Financial Results, Webcast/Conference Call",PRESS-RELEASE,Business Wire,"Pinnacle West Sets Date for 2020 Fourth-Quarter and Full-Year Financial Results, Webcast/Conference Call"
PNW,2021-01-25,21:35:00,342218,Pinnacle West Capital Corp.,100,0.0,investor-relations,,"Pinnacle West Sets Date for 2020 Fourth-Quarter and Full-Year Financial Results, Webcast/Conference Call",PRESS-RELEASE,Business Wire,"Pinnacle West Sets Date for 2020 Fourth-Quarter and Full-Year Financial Results, Webcast/Conference Call"
PNW,2021-01-25,21:35:08,342218,Pinnacle West Capital Corp.,100,0.0,investor-relations,,"Pinnacle West Sets Date for 2020 Fourth-Quarter and Full-Year Financial Results, Webcast/Conference Call",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Pinnacle West Sets Date for 2020 Fourth-Quarter and Full-Year Financial Results, Webcast/Conference Call"
PNW,2021-01-25,21:35:08,342218,Pinnacle West Capital Corp.,100,0.0,investor-relations,,"Pinnacle West Sets Date for 2020 Fourth-Quarter and Full-Year Financial Results, Webcast/Conference Call",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Pinnacle West Sets Date for 2020 Fourth-Quarter and Full-Year Financial Results, Webcast/Conference Call"
PNW,2021-02-18,13:55:08,342218,Pinnacle West Capital Corp.,100,0.0,analyst-ratings,neutral,Pinnacle West Capital Is Maintained at Equal-Weight by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Pinnacle West Capital Is Maintained at Equal-Weight by Morgan Stanley
PNW,2021-02-18,13:55:08,342218,Pinnacle West Capital Corp.,100,-0.26,price-targets,downgrade,Pinnacle West Capital Price Target Cut to $77.00/Share From $78.00 by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Pinnacle West Capital Price Target Cut to $77.00/Share From $78.00 by Morgan Stanley
PNW,2021-02-23,22:00:58,342218,Pinnacle West Capital Corp.,100,0.52,insider-trading,,Vp Blankenship Acquires 297 Of Pinnacle West Capital >PNW,FULL-ARTICLE,Dow Jones Newswires,VP Blankenship Acquires 297 Of Pinnacle West Capital >PNW
PNW,2021-02-23,22:02:08,342218,Pinnacle West Capital Corp.,100,0.52,insider-trading,,Treas Cooper Acquires 181 Of Pinnacle West Capital >PNW,FULL-ARTICLE,Dow Jones Newswires,Treas Cooper Acquires 181 Of Pinnacle West Capital >PNW
PNW,2021-02-23,22:07:48,342218,Pinnacle West Capital Corp.,100,0.52,insider-trading,,"Vp Easterly Acquires 1,045 Of Pinnacle West Capital >PNW",FULL-ARTICLE,Dow Jones Newswires,"VP Easterly Acquires 1,045 Of Pinnacle West Capital >PNW"
PNW,2021-02-23,22:14:38,342218,Pinnacle West Capital Corp.,100,0.52,insider-trading,,"Vp Hatfield Acquires 3,537 Of Pinnacle West Capital >PNW",FULL-ARTICLE,Dow Jones Newswires,"VP Hatfield Acquires 3,537 Of Pinnacle West Capital >PNW"
PNW,2021-02-23,22:15:38,342218,Pinnacle West Capital Corp.,100,0.52,insider-trading,,Cfo Geisler Acquires 462 Of Pinnacle West Capital >PNW,FULL-ARTICLE,Dow Jones Newswires,CFO Geisler Acquires 462 Of Pinnacle West Capital >PNW
PNW,2021-02-23,22:20:08,342218,Pinnacle West Capital Corp.,100,0.52,insider-trading,,Vp Lacal Acquires 864 Of Pinnacle West Capital >PNW,FULL-ARTICLE,Dow Jones Newswires,VP Lacal Acquires 864 Of Pinnacle West Capital >PNW
PNW,2021-02-23,22:32:58,342218,Pinnacle West Capital Corp.,100,0.52,insider-trading,,"Vp Smith Acquires 2,712 Of Pinnacle West Capital >PNW",FULL-ARTICLE,Dow Jones Newswires,"VP Smith Acquires 2,712 Of Pinnacle West Capital >PNW"
PNW,2021-02-24,13:31:30,342218,Pinnacle West Capital Corp.,100,-0.65,earnings,negative,Pinnacle West Capital 4Q Loss/Shr 17c,NEWS-FLASH,Dow Jones Newswires,Pinnacle West Capital 4Q Loss/Shr 17c >PNW
PNW,2021-02-24,13:31:30,342218,Pinnacle West Capital Corp.,100,-0.65,earnings,negative,Pinnacle West Capital 4Q Loss $19.4M,NEWS-FLASH,Dow Jones Newswires,Pinnacle West Capital 4Q Loss $19.4M >PNW
PNW,2021-02-24,13:31:30,342218,Pinnacle West Capital Corp.,100,0.0,revenues,,Pinnacle West Capital 4Q Rev $741M >PNW,NEWS-FLASH,Dow Jones Newswires,Pinnacle West Capital 4Q Rev $741M >PNW
PNW,2021-02-24,13:40:00,342218,Pinnacle West Capital Corp.,100,0.0,earnings,,Pinnacle West Reports 2020 Full-Year and Fourth-Quarter Results,PRESS-RELEASE,Business Wire,Pinnacle West Reports 2020 Full-Year and Fourth-Quarter Results
PNW,2021-02-24,13:40:00,342218,Pinnacle West Capital Corp.,100,0.0,earnings,,Pinnacle West Reports 2020 Full-Year and Fourth-Quarter Results,PRESS-RELEASE,Business Wire,Pinnacle West Reports 2020 Full-Year and Fourth-Quarter Results
PNW,2021-02-24,13:40:00,342218,Pinnacle West Capital Corp.,100,0.39,products-services,,Pinnacle West Capital Corp.: We also executed an agreement to,PRESS-RELEASE,Business Wire,Pinnacle West Reports 2020 Full-Year and Fourth-Quarter Results
PNW,2021-02-24,13:40:00,342218,Pinnacle West Capital Corp.,100,0.0,investor-relations,,Pinnacle West Capital Corp.: Conference Call,PRESS-RELEASE,Business Wire,Pinnacle West Reports 2020 Full-Year and Fourth-Quarter Results
