ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
PODD,2024-01-02,18:30:30,9C5174,Insulet Corp.,100,-0.48,insider-trading,,"Cfo McMillan Registers 13,237 Of Insulet Corp >PODD",RNS-SEC144,Dow Jones Newswires,"CFO McMillan Registers 13,237 Of Insulet Corp >PODD"
PODD,2024-01-04,21:12:53,9C5174,Insulet Corp.,100,0.0,insider-trading,,Vp Cousin Surrenders 144 Of Insulet Corp >PODD,FULL-ARTICLE,Dow Jones Newswires,VP Cousin Surrenders 144 Of Insulet Corp >PODD
PODD,2024-01-11,11:00:01,9C5174,Insulet Corp.,100,0.0,earnings,,"Insulet to Announce Fourth Quarter and Full Year 2023 Financial Results on February 22, 2024",PRESS-RELEASE,Business Wire,"Insulet to Announce Fourth Quarter and Full Year 2023 Financial Results on February 22, 2024"
PODD,2024-01-11,11:00:01,9C5174,Insulet Corp.,100,0.0,earnings,,"Insulet to Announce Fourth Quarter and Full Year 2023 Financial Results on February 22, 2024",PRESS-RELEASE,Business Wire,"Insulet to Announce Fourth Quarter and Full Year 2023 Financial Results on February 22, 2024"
PODD,2024-01-11,11:00:21,9C5174,Insulet Corp.,100,0.0,earnings,,"Insulet to Announce Fourth Quarter and Full Year 2023 Financial Results on February 22, 2024",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Insulet to Announce Fourth Quarter and Full Year 2023 Financial Results on February 22, 2024"
PODD,2024-01-11,11:00:21,9C5174,Insulet Corp.,100,0.0,earnings,,"Insulet to Announce Fourth Quarter and Full Year 2023 Financial Results on February 22, 2024",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Insulet to Announce Fourth Quarter and Full Year 2023 Financial Results on February 22, 2024"
PODD,2024-01-12,21:11:50,9C5174,Insulet Corp.,100,0.0,insider-trading,,Vp Singh Surrenders 344 Of Insulet Corp >PODD,FULL-ARTICLE,Dow Jones Newswires,VP Singh Surrenders 344 Of Insulet Corp >PODD
PODD,2024-01-18,21:01:00,9C5174,Insulet Corp.,100,0.47,labor-issues,,Insulet Corp.: following appointments to the Company's Board of Directors,PRESS-RELEASE,Business Wire,Insulet Announces Changes to Board of Directors with Retirements and New Appointments
PODD,2024-01-18,21:01:00,9C5174,Insulet Corp.,100,-0.51,labor-issues,,Insulet Corp.: the Company announced Shacey Petrovic and Corinne Nevinny will retire from the Board,PRESS-RELEASE,Business Wire,Insulet Announces Changes to Board of Directors with Retirements and New Appointments
PODD,2024-01-18,21:01:00,9C5174,Insulet Corp.,100,-0.43,labor-issues,,Insulet Corp.: Ms. Nevinny is retiring from the Board after five years,PRESS-RELEASE,Business Wire,Insulet Announces Changes to Board of Directors with Retirements and New Appointments
