ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
PPG,2021-01-04,19:00:06,39FB23,PPG Industries Inc.,100,0.53,labor-issues,,Ppg (NYSE: PPG) today announced the appointment of Tony Wu as vice president,PRESS-RELEASE,Business Wire,"PPG Appoints Tony Wu as Vice President, Greater China Industrial Coatings, Global Electronic Materials"
PPG,2021-01-04,19:00:06,39FB23,PPG Industries Inc.,100,0.53,labor-issues,,PPG Industries Inc.: Wu joined PPG in 2014 as general manager,PRESS-RELEASE,Business Wire,"PPG Appoints Tony Wu as Vice President, Greater China Industrial Coatings, Global Electronic Materials"
PPG,2021-01-04,19:32:04,39FB23,PPG Industries Inc.,100,0.52,insider-trading,,"Vp Liebert Acquires 8,690 Of PPG Industries Inc >PPG",FULL-ARTICLE,Dow Jones Newswires,"VP Liebert Acquires 8,690 Of PPG Industries Inc >PPG"
PPG,2021-01-05,12:45:12,39FB23,PPG Industries Inc.,100,0.62,acquisitions-mergers,,Ppg To Acquire Coatings Manufacturer,NEWS-FLASH,Dow Jones Newswires,PPG To Acquire Coatings Manufacturer VersaFlex >PPG
PPG,2021-01-05,12:45:13,39FB23,PPG Industries Inc.,100,0.62,acquisitions-mergers,,Ppg to Acquire Coatings Manufacturer,PRESS-RELEASE,Business Wire,PPG to Acquire Coatings Manufacturer VersaFlex
PPG,2021-01-05,12:45:13,39FB23,PPG Industries Inc.,100,0.62,acquisitions-mergers,,Ppg to Acquire Coatings Manufacturer,PRESS-RELEASE,Dow Jones Newswires,Press Release: PPG to Acquire Coatings Manufacturer VersaFlex
PPG,2021-01-05,12:56:58,39FB23,PPG Industries Inc.,100,0.62,acquisitions-mergers,,Ppg Industries Inc. said Tuesday it agreed to buy a specialty coating manufacturer tied to several end,FULL-ARTICLE,Dow Jones Newswires,PPG Scoops Up Coating Maker From Investment Firm
PPG,2021-01-05,22:00:13,39FB23,PPG Industries Inc.,99,0.62,acquisitions-mergers,,Ppg will acquire all issued and outstanding stock of Tikkurila in an all-cash transaction,PRESS-RELEASE,Business Wire,PPG and Tikkurila Agree on Revised Offer
PPG,2021-01-05,22:00:14,39FB23,PPG Industries Inc.,99,0.62,acquisitions-mergers,,Ppg will acquire all issued and outstanding stock of Tikkurila in an all-cash transaction,PRESS-RELEASE,Dow Jones Newswires,Press Release: PPG and Tikkurila Agree on Revised Offer
PPG,2021-01-05,22:48:17,39FB23,PPG Industries Inc.,94,0.62,acquisitions-mergers,,"On Dec. 18, PPG said it agreed to buy Tikkurila for about EUR1.1 billion",FULL-ARTICLE,Dow Jones Newswires,PPG Boosts Tikkurila Deal Price After Proposal for Competing Offer
PPG,2021-01-08,19:43:01,39FB23,PPG Industries Inc.,99,0.62,acquisitions-mergers,,Agreement to be acquired by PPG (NYSE: PPG).,PRESS-RELEASE,PR Newswire,"PPG to Acquire ""The VersaFlex Family of Companies"""
PPG,2021-01-08,19:43:02,39FB23,PPG Industries Inc.,99,0.62,acquisitions-mergers,,Agreement to be acquired by PPG (NYSE: PPG).,PRESS-RELEASE,Dow Jones Newswires,"Press Release: PPG to Acquire ""The VersaFlex Family of Companies"""
PPG,2021-01-11,13:46:24,39FB23,PPG Industries Inc.,100,0.62,acquisitions-mergers,,Ppg To Acquire Global Coatings Manufacturer,NEWS-FLASH,Dow Jones Newswires,PPG To Acquire Global Coatings Manufacturer Wörwag >PPG
PPG,2021-01-11,13:46:24,39FB23,PPG Industries Inc.,100,0.62,acquisitions-mergers,,Ppg to Acquire Global Coatings Manufacturer,PRESS-RELEASE,Business Wire,PPG to Acquire Global Coatings Manufacturer Wörwag
PPG,2021-01-11,13:46:24,39FB23,PPG Industries Inc.,100,0.62,acquisitions-mergers,,Ppg to Acquire Global Coatings Manufacturer,PRESS-RELEASE,Dow Jones Newswires,Press Release: PPG to Acquire Global Coatings Manufacturer Wörwag
PPG,2021-01-11,15:47:24,39FB23,PPG Industries Inc.,100,0.53,labor-issues,,"Ppg Appoints Bhaskar Ramachandran, Vice President and Chief Information Officer",PRESS-RELEASE,Business Wire,"PPG Appoints Bhaskar Ramachandran, Vice President and Chief Information Officer; Chris Caruso to Retire"
PPG,2021-01-11,15:47:24,39FB23,PPG Industries Inc.,100,0.53,labor-issues,,"Ppg Appoints Bhaskar Ramachandran, Vice President and Chief Information Officer",PRESS-RELEASE,Business Wire,"PPG Appoints Bhaskar Ramachandran, Vice President and Chief Information Officer; Chris Caruso to Retire"
PPG,2021-01-11,15:47:24,39FB23,PPG Industries Inc.,100,0.4,products-services,,Ppg earning several industry awards for,PRESS-RELEASE,Business Wire,"PPG Appoints Bhaskar Ramachandran, Vice President and Chief Information Officer; Chris Caruso to Retire"
