ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
PSKY,2024-02-23,06:45:01,D6529D,CodeLab Capital A/S,94,0.62,acquisitions-mergers,,CodeLab Capital A/S: Signed acquisition of Acerat Limited - a provider of development resources to,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital 2H 2023 Results
PSKY,2024-02-23,06:45:01,D6529D,CodeLab Capital A/S,94,0.62,acquisitions-mergers,,CodeLab Capital A/S: Signed acquisition of Acerat Limited - a provider of development resources to,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital 2H 2023 Results
PSKY,2024-04-02,06:00:04,D6529D,CodeLab Capital A/S,99,0.82,revenues,up,CodeLab Capital A/S: Our sales have increased by 147%,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - Operational Kpi Reporting And Business Update
PSKY,2024-04-02,06:00:04,D6529D,CodeLab Capital A/S,99,0.82,revenues,up,CodeLab Capital A/S: Our sales have increased by 147%,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - Operational Kpi Reporting And Business Update
PSKY,2024-05-02,06:00:01,D6529D,CodeLab Capital A/S,99,0.0,earnings,,"CodeLab Capital A/S: Operational Highlights and Financial Performance as of May 1, 2024",PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - Operational Kpi Reporting And Business Update
PSKY,2024-05-02,06:00:01,D6529D,CodeLab Capital A/S,99,0.0,earnings,,"CodeLab Capital A/S: Operational Highlights and Financial Performance as of May 1, 2024",PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - Operational Kpi Reporting And Business Update
PSKY,2024-06-03,14:43:39,D6529D,CodeLab Capital A/S,99,0.0,earnings,,"CodeLab Capital A/S: Operational Highlights and Financial Performance as of June 3, 2024",PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - Operational Kpi Reporting And Business Update
PSKY,2024-06-03,14:43:39,D6529D,CodeLab Capital A/S,99,0.0,earnings,,"CodeLab Capital A/S: Operational Highlights and Financial Performance as of June 3, 2024",PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - Operational Kpi Reporting And Business Update
PSKY,2024-06-25,14:48:49,D6529D,CodeLab Capital A/S,99,0.58,equity-actions,down,CodeLab Capital A/S: The Company thus aims to reduce the cost,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - Contemplated Private Placement
PSKY,2024-06-25,14:48:49,D6529D,CodeLab Capital A/S,99,0.49,equity-actions,,CodeLab Capital A/S: The Private Placement,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - Contemplated Private Placement
PSKY,2024-06-25,14:48:49,D6529D,CodeLab Capital A/S,99,-0.32,equity-actions,,CodeLab Capital A/S: the Company to raise capital in,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - Contemplated Private Placement
PSKY,2024-06-25,14:48:49,D6529D,CodeLab Capital A/S,99,0.58,equity-actions,down,CodeLab Capital A/S: The Company thus aims to reduce the cost,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - Contemplated Private Placement
PSKY,2024-06-25,14:48:49,D6529D,CodeLab Capital A/S,99,0.49,equity-actions,,CodeLab Capital A/S: The Private Placement,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - Contemplated Private Placement
PSKY,2024-06-25,14:48:49,D6529D,CodeLab Capital A/S,99,-0.32,equity-actions,,CodeLab Capital A/S: the Company to raise capital in,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - Contemplated Private Placement
PSKY,2024-06-25,14:48:49,D6529D,CodeLab Capital A/S,99,0.59,equity-actions,,CodeLab Capital A/S: Any public offering of,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - -2-
PSKY,2024-06-25,14:48:49,D6529D,CodeLab Capital A/S,99,0.59,equity-actions,,CodeLab Capital A/S: Any public offering of,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - -2-
PSKY,2024-06-26,05:32:12,D6529D,CodeLab Capital A/S,99,0.58,equity-actions,down,CodeLab Capital A/S: The Company thus aims to reduce the cost,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - Private Placement Successfully Placed
PSKY,2024-06-26,05:32:12,D6529D,CodeLab Capital A/S,99,0.49,equity-actions,,CodeLab Capital A/S: The Private Placement,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - Private Placement Successfully Placed
PSKY,2024-06-26,05:32:12,D6529D,CodeLab Capital A/S,99,0.59,equity-actions,,CodeLab Capital A/S: Any public offering of,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - Private Placement Successfully Placed
PSKY,2024-06-26,05:32:12,D6529D,CodeLab Capital A/S,99,0.58,equity-actions,down,CodeLab Capital A/S: The Company thus aims to reduce the cost,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - Private Placement Successfully Placed
PSKY,2024-06-26,05:32:12,D6529D,CodeLab Capital A/S,99,0.49,equity-actions,,CodeLab Capital A/S: The Private Placement,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - Private Placement Successfully Placed
PSKY,2024-06-26,05:32:12,D6529D,CodeLab Capital A/S,99,0.59,equity-actions,,CodeLab Capital A/S: Any public offering of,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - Private Placement Successfully Placed
PSKY,2024-06-26,05:34:46,D6529D,CodeLab Capital A/S,99,0.64,earnings,up,CodeLab Capital A/S: the Company raising gross proceeds,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As.: Key Information Related To Potential Subsequent Offering
PSKY,2024-06-26,05:34:46,D6529D,CodeLab Capital A/S,99,0.59,equity-actions,,CodeLab Capital A/S: Any public offering of,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As.: Key Information Related To Potential Subsequent Offering
PSKY,2024-06-26,05:34:46,D6529D,CodeLab Capital A/S,99,0.64,earnings,up,CodeLab Capital A/S: the Company raising gross proceeds,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As.: Key Information Related To Potential Subsequent Offering
PSKY,2024-06-26,05:34:46,D6529D,CodeLab Capital A/S,99,0.59,equity-actions,,CodeLab Capital A/S: Any public offering of,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As.: Key Information Related To Potential Subsequent Offering
PSKY,2024-06-26,11:16:10,D6529D,CodeLab Capital A/S,100,0.0,investor-relations,,Codelab Capital As - Notice Of Extraordinary General Meeting,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - Notice Of Extraordinary General Meeting In Connection With The Private Placement
PSKY,2024-06-26,11:16:10,D6529D,CodeLab Capital A/S,100,0.64,earnings,up,CodeLab Capital A/S: the Company raising gross proceeds,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - Notice Of Extraordinary General Meeting In Connection With The Private Placement
PSKY,2024-06-26,11:16:10,D6529D,CodeLab Capital A/S,100,0.0,investor-relations,,Codelab Capital As - Notice Of Extraordinary General Meeting,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - Notice Of Extraordinary General Meeting In Connection With The Private Placement
PSKY,2024-06-26,11:16:10,D6529D,CodeLab Capital A/S,100,0.64,earnings,up,CodeLab Capital A/S: the Company raising gross proceeds,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - Notice Of Extraordinary General Meeting In Connection With The Private Placement
PSKY,2024-07-10,11:30:02,D6529D,CodeLab Capital A/S,96,0.64,earnings,up,CodeLab Capital A/S: the Company raising gross proceeds,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - Minutes From Extraordinary General Meeting
PSKY,2024-07-10,11:30:02,D6529D,CodeLab Capital A/S,96,0.64,earnings,up,CodeLab Capital A/S: the Company raising gross proceeds,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - Minutes From Extraordinary General Meeting
PSKY,2024-07-30,06:00:02,D6529D,CodeLab Capital A/S,95,0.64,earnings,up,CodeLab Capital A/S: the Company raising gross proceeds,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - New Share Capital Registered
PSKY,2024-07-30,06:00:02,D6529D,CodeLab Capital A/S,95,0.64,earnings,up,CodeLab Capital A/S: the Company raising gross proceeds,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - New Share Capital Registered
PSKY,2024-07-31,14:09:11,D6529D,CodeLab Capital A/S,95,0.64,earnings,up,CodeLab Capital A/S: the Company raising gross proceeds,PRESS-RELEASE,Dow Jones Newswires,CODELAB CAPITAL: Codelab Capital As - New Share Capital Registered
PSKY,2024-07-31,14:09:11,D6529D,CodeLab Capital A/S,95,0.64,earnings,up,CodeLab Capital A/S: the Company raising gross proceeds,PRESS-RELEASE,Oslo Bors News,CODELAB CAPITAL: Codelab Capital As - New Share Capital Registered
