ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
RCL,2021-06-03,01:05:41,45511C,Readcloud Ltd.,100,-0.84,price-targets,downgrade,Readcloud Price Target Cut 26% to A$0.67/Share by Canaccord Genuity,NEWS-FLASH,Dow Jones Newswires,ReadCloud Price Target Cut 26% to A$0.67/Share by Canaccord Genuity
RCL,2021-06-03,01:05:41,45511C,Readcloud Ltd.,100,-0.84,price-targets,downgrade,Readcloud Price Target Cut 26% to A$0.67/Share by Canaccord Genuity,NEWS-FLASH,Dow Jones Newswires,ReadCloud Price Target Cut 26% to A$0.67/Share by Canaccord Genuity
RCL,2022-06-01,01:19:33,45511C,Readcloud Ltd.,100,-0.18,analyst-ratings,negative,Readcloud Downgraded to Speculative Buy from Buy by Canaccord Genuity,NEWS-FLASH,Dow Jones Newswires,ReadCloud Downgraded to Speculative Buy from Buy by Canaccord Genuity
RCL,2022-06-01,01:20:00,45511C,Readcloud Ltd.,100,-0.84,price-targets,downgrade,Readcloud Price Target Cut 33% to A$0.45/Share by Canaccord Genuity,NEWS-FLASH,Dow Jones Newswires,ReadCloud Price Target Cut 33% to A$0.45/Share by Canaccord Genuity
RCL,2022-07-29,03:38:34,45511C,Readcloud Ltd.,100,-0.84,price-targets,downgrade,Readcloud Price Target Cut 27% to A$0.33/Share by Canaccord Genuity,NEWS-FLASH,Dow Jones Newswires,ReadCloud Price Target Cut 27% to A$0.33/Share by Canaccord Genuity
RCL,2022-06-01,01:19:33,45511C,Readcloud Ltd.,100,-0.18,analyst-ratings,negative,Readcloud Downgraded to Speculative Buy from Buy by Canaccord Genuity,NEWS-FLASH,Dow Jones Newswires,ReadCloud Downgraded to Speculative Buy from Buy by Canaccord Genuity
RCL,2022-06-01,01:20:00,45511C,Readcloud Ltd.,100,-0.84,price-targets,downgrade,Readcloud Price Target Cut 33% to A$0.45/Share by Canaccord Genuity,NEWS-FLASH,Dow Jones Newswires,ReadCloud Price Target Cut 33% to A$0.45/Share by Canaccord Genuity
RCL,2022-07-29,03:38:34,45511C,Readcloud Ltd.,100,-0.84,price-targets,downgrade,Readcloud Price Target Cut 27% to A$0.33/Share by Canaccord Genuity,NEWS-FLASH,Dow Jones Newswires,ReadCloud Price Target Cut 27% to A$0.33/Share by Canaccord Genuity
RCL,2024-02-05,13:40:17,5F7FD8,RCL Foods Ltd.,95,0.0,earnings,,RCL Foods Ltd.: Earnings per share,PRESS-RELEASE,JSE News,Rcl Foods Limited Trading Statement -- Six Months Ended December 2023
RCL,2024-02-27,10:45:09,5F7FD8,RCL Foods Ltd.,96,0.0,earnings,,RCL Foods Ltd.: EPS,PRESS-RELEASE,JSE News,Rcl Foods Limited Further Trading Statement -- Six Months Ended December 2023
RCL,2024-02-28,12:47:00,5F7FD8,RCL Foods Ltd.,93,0.0,products-services,,RCL Foods Ltd.: Development of value-added poultry products,PRESS-RELEASE,Business Wire,"South Africa Poultry and Egg Industry Report, with Profiles of 20+ Companies Including Astral, RCL, Country Bird, TopLay Egg Co-operative, Eggbert Eggs and Cape Karoo International - ResearchAndMarkets.com"
RCL,2024-02-28,12:47:00,5F7FD8,RCL Foods Ltd.,93,0.0,equity-actions,,RCL Foods Ltd.: Securing financing for,PRESS-RELEASE,Business Wire,"South Africa Poultry and Egg Industry Report, with Profiles of 20+ Companies Including Astral, RCL, Country Bird, TopLay Egg Co-operative, Eggbert Eggs and Cape Karoo International - ResearchAndMarkets.com"
RCL,2024-03-04,05:05:26,5F7FD8,RCL Foods Ltd.,100,0.0,earnings,,Rcl Foods Limited Group Financial Results For The Six Months Ended December,PRESS-RELEASE,JSE News,Rcl Foods Limited Group Financial Results For The Six Months Ended December 2023
RCL,2024-03-04,05:05:26,5F7FD8,RCL Foods Ltd.,100,0.0,earnings,,RCL Foods Ltd.: Underlying* EBITDA,PRESS-RELEASE,JSE News,Rcl Foods Limited Group Financial Results For The Six Months Ended December 2023
RCL,2024-03-04,05:05:26,5F7FD8,RCL Foods Ltd.,100,0.0,earnings,,RCL Foods Ltd.: Headline earnings per share,PRESS-RELEASE,JSE News,Rcl Foods Limited Group Financial Results For The Six Months Ended December 2023
RCL,2024-06-04,05:05:19,5F7FD8,RCL Foods Ltd.,99,0.0,earnings,,RCL Foods Ltd.: As indicated in RCL FOODS' latest group financial results for the six-month period,PRESS-RELEASE,JSE News,Rcl Foods Limited Declaration Announcement Regarding The Proposed Listing On The Jse And Unbundling Of Rainbow
RCL,2024-06-04,05:05:19,5F7FD8,RCL Foods Ltd.,99,0.57,equity-actions,listing,Rcl FOODS Shares commence trading,PRESS-RELEASE,JSE News,Rcl Foods Limited Declaration Announcement Regarding The Proposed Listing On The Jse And Unbundling Of Rainbow
RCL,2024-06-10,05:15:12,5F7FD8,RCL Foods Ltd.,99,0.57,equity-actions,listing,Rcl Foods Shares commence trading,PRESS-RELEASE,JSE News,Rainbow Chicken Limited Abridged Pre-Listing Statement
RCL,2024-06-10,05:15:12,5F7FD8,RCL Foods Ltd.,99,0.61,earnings,positive,"RCL Foods Ltd.: Gross profit 1,143,852",PRESS-RELEASE,JSE News,Rainbow Chicken Limited Abridged Pre-Listing -2-
RCL,2024-06-10,05:15:12,5F7FD8,RCL Foods Ltd.,99,0.6,earnings,positive,RCL Foods Ltd.: Operating profit,PRESS-RELEASE,JSE News,Rainbow Chicken Limited Abridged Pre-Listing -2-
