ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ROK,2021-01-13,12:00:27,416C55,Rockwell Automation Inc.,100,0.0,earnings,,Rockwell Automation to Report First Quarter Fiscal 2021 Results,PRESS-RELEASE,Business Wire,Rockwell Automation to Report First Quarter Fiscal 2021 Results
ROK,2021-01-13,12:00:27,416C55,Rockwell Automation Inc.,100,0.0,investor-relations,,Rockwell Automation Inc.: A conference call to discuss the quarterly,PRESS-RELEASE,Business Wire,Rockwell Automation to Report First Quarter Fiscal 2021 Results
ROK,2021-01-13,12:00:46,416C55,Rockwell Automation Inc.,100,0.0,earnings,,Rockwell Automation to Report First Quarter Fiscal 2021 Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Rockwell Automation to Report First Quarter Fiscal 2021 Results
ROK,2021-01-13,12:00:46,416C55,Rockwell Automation Inc.,100,0.0,investor-relations,,Rockwell Automation Inc.: A conference call to discuss the quarterly,PRESS-RELEASE,Dow Jones Newswires,Press Release: Rockwell Automation to Report First Quarter Fiscal 2021 Results
ROK,2021-01-19,12:00:38,416C55,Rockwell Automation Inc.,100,0.57,acquisitions-mergers,completed,Rockwell Automation Completes The Acquisition Of,NEWS-FLASH,Dow Jones Newswires,"Rockwell Automation Completes The Acquisition Of Fiix Inc., Cloud Software Company For Leading Edge Maintenance Solutions >ROK"
ROK,2021-01-19,12:00:38,416C55,Rockwell Automation Inc.,100,0.57,acquisitions-mergers,completed,Rockwell Automation Completes the Acquisition of,PRESS-RELEASE,Business Wire,"Rockwell Automation Completes the Acquisition of Fiix Inc., Cloud Software Company for Leading Edge Maintenance Solutions"
ROK,2021-01-19,12:00:38,416C55,Rockwell Automation Inc.,100,0.57,acquisitions-mergers,completed,Rockwell Automation Completes the Acquisition of,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Rockwell Automation Completes the Acquisition of Fiix Inc., Cloud Software Company for Leading Edge Maintenance Solutions"
ROK,2021-01-20,08:32:13,416C55,Rockwell Automation Inc.,100,0.0,investor-relations,,"Rockwell Automation Inc, Inst Holders, 4Q 2020 (ROK)",RNS-SEC13F,Dow Jones Newswires,"Rockwell Automation Inc, Inst Holders, 4Q 2020 (ROK)"
ROK,2021-01-22,01:36:23,416C55,Rockwell Automation Inc.,100,-0.49,insider-trading,,"Chmn Moret Sells 16,900 Of Rockwell Automation Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Moret Sells 16,900 Of Rockwell Automation Inc >ROK"
ROK,2021-01-26,11:50:28,416C55,Rockwell Automation Inc.,100,0.53,labor-issues,,Rockwell Automation Names Scott Genereux Senior Vice Pres and Chief,NEWS-FLASH,Dow Jones Newswires,Rockwell Automation Names Scott Genereux Senior Vice Pres and Chief Rev Officer >ROK
