ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ROP,2024-01-03,17:00:04,5E6959,Roper Technologies Inc.,100,0.55,acquisitions-mergers,,"Deltek Acquires ProPricer, Expanding Its Product Portfolio to",PRESS-RELEASE,PR Newswire,"Deltek Acquires ProPricer, Expanding Its Product Portfolio to Offer Unmatched Solutions and Services to Government Contractors"
ROP,2024-01-03,17:00:04,5E6959,Roper Technologies Inc.,100,0.49,partnerships,,Roper Technologies Inc.: Joining forces with Deltek,PRESS-RELEASE,PR Newswire,"Deltek Acquires ProPricer, Expanding Its Product Portfolio to Offer Unmatched Solutions and Services to Government Contractors"
ROP,2024-01-04,11:18:20,5E6959,Roper Technologies Inc.,100,-0.58,analyst-ratings,negative,Roper Technologies Cut to Market Perform From Outperform by TD Cowen,NEWS-FLASH,Dow Jones Newswires,Roper Technologies Cut to Market Perform From Outperform by TD Cowen
ROP,2024-01-04,13:30:01,5E6959,Roper Technologies Inc.,100,0.0,investor-relations,,Roper Technologies schedules fourth quarter 2023 financial results conference call,PRESS-RELEASE,GlobeNewswire,Roper Technologies schedules fourth quarter 2023 financial results conference call
ROP,2024-01-04,14:37:51,5E6959,Roper Technologies Inc.,100,0.34,analyst-ratings,neutral,Roper Technologies Is Maintained at Outperform by RBC Capital,NEWS-FLASH,Dow Jones Newswires,Roper Technologies Is Maintained at Outperform by RBC Capital
ROP,2024-01-04,14:37:51,5E6959,Roper Technologies Inc.,100,0.74,price-targets,upgrade,Roper Technologies Price Target Raised to $620.00/Share From $570.00 by RBC Capital,NEWS-FLASH,Dow Jones Newswires,Roper Technologies Price Target Raised to $620.00/Share From $570.00 by RBC Capital
ROP,2024-01-10,10:00:00,5E6959,Roper Technologies Inc.,99,-0.57,labor-issues,,"Roper Technologies Inc.: President & CEO, has decided to depart the company as of March 31, 2024",PRESS-RELEASE,GlobeNewswire,TransCore Announces Leadership Changes
ROP,2024-01-12,18:48:05,5E6959,Roper Technologies Inc.,99,0.49,partnerships,,Thrilled to partner with the University of Tennessee at Chattanooga,PRESS-RELEASE,GlobeNewswire,University of Tennessee at Chattanooga and CBORD Revolutionize Campus Access with Launch of Mobile Credentials
ROP,2024-01-16,16:20:02,5E6959,Roper Technologies Inc.,100,0.49,partnerships,,Cbord and Amazon Collaborate on,PRESS-RELEASE,GlobeNewswire,CBORD and Amazon Collaborate on a First for Just Walk Out Technology in U.S. Healthcare Market
ROP,2024-01-22,13:36:35,5E6959,Roper Technologies Inc.,100,0.34,analyst-ratings,neutral,Roper Technologies Is Maintained at Overweight by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,Roper Technologies Is Maintained at Overweight by Wells Fargo
ROP,2024-01-22,13:36:35,5E6959,Roper Technologies Inc.,100,0.78,price-targets,upgrade,Roper Technologies Price Target Raised to $615.00/Share From $560.00 by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,Roper Technologies Price Target Raised to $615.00/Share From $560.00 by Wells Fargo
ROP,2024-01-23,14:00:01,5E6959,Roper Technologies Inc.,100,0.53,labor-issues,,Powerplan Welcomes Lee Watkins as Chief Strategy Officer,PRESS-RELEASE,GlobeNewswire,PowerPlan Welcomes Lee Watkins as Chief Strategy Officer
ROP,2024-01-25,13:30:01,5E6959,Roper Technologies Inc.,100,0.62,acquisitions-mergers,,Roper Technologies To Acquire Procare Solutions >ROP,NEWS-FLASH,Dow Jones Newswires,Roper Technologies To Acquire Procare Solutions >ROP
