ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ROST,2024-01-31,21:15:01,8C6C1B,Ross Stores Inc.,100,0.53,labor-issues,,Ross Stores Appoints Karen Fleming President and Chief,PRESS-RELEASE,Business Wire,Ross Stores Appoints Karen Fleming President and Chief Merchandising Officer of dd's DISCOUNTS
ROST,2024-01-31,21:15:01,8C6C1B,Ross Stores Inc.,100,0.53,labor-issues,,Ross Stores Appoints Karen Fleming President and Chief,PRESS-RELEASE,Business Wire,Ross Stores Appoints Karen Fleming President and Chief Merchandising Officer of dd's DISCOUNTS
ROST,2024-01-31,21:16:30,8C6C1B,Ross Stores Inc.,100,0.53,labor-issues,,Ross Stores Appoints Karen Fleming President and Chief,PRESS-RELEASE,Dow Jones Newswires,Press Release: Ross Stores Appoints Karen Fleming President and Chief Merchandising Officer of dd's DISCOUNTS
ROST,2024-01-31,21:16:30,8C6C1B,Ross Stores Inc.,100,0.53,labor-issues,,Ross Stores Appoints Karen Fleming President and Chief,PRESS-RELEASE,Dow Jones Newswires,Press Release: Ross Stores Appoints Karen Fleming President and Chief Merchandising Officer of dd's DISCOUNTS
ROST,2024-01-31,21:17:15,8C6C1B,Ross Stores Inc.,97,0.53,labor-issues,,"Ross Stores Inc.: On January 31, 2024, the Company issued a press release regarding the appointment of Ms. Fleming as President, Chief",RNS-SEC8K,Dow Jones Newswires,Ross Stores Files 8K - Regulation FD >ROST
ROST,2024-02-01,13:30:04,8C6C1B,Ross Stores Inc.,100,0.41,assets,open,"Ross Stores, will open a new store in Hialeah on February 10, 2024",PRESS-RELEASE,PR Newswire,"dd's DISCOUNTS to Open a New Store in Hialeah, Florida"
ROST,2024-02-02,13:30:03,8C6C1B,Ross Stores Inc.,100,0.41,assets,open,"Ross Stores, will open a new store in Coachella on February 10, 2024",PRESS-RELEASE,PR Newswire,"dd's DISCOUNTS to Open a New Store in Coachella, California"
ROST,2024-02-05,13:30:03,8C6C1B,Ross Stores Inc.,100,0.41,assets,open,"Ross Stores, will open a new store in San Antonio on February 10, 2024",PRESS-RELEASE,PR Newswire,"dd's DISCOUNTS to Open a New Store in San Antonio, Texas"
ROST,2024-02-06,13:30:05,8C6C1B,Ross Stores Inc.,100,0.41,assets,open,"Ross Stores, will open a new store in Long Beach on February 10, 2024",PRESS-RELEASE,PR Newswire,"dd's DISCOUNTS to Open a New Store in Long Beach, California"
ROST,2024-02-07,13:30:05,8C6C1B,Ross Stores Inc.,100,0.41,assets,open,"Ross Stores, will open a new store in Pasadena on February 10, 2024",PRESS-RELEASE,PR Newswire,"dd's DISCOUNTS to Open a New Store in Pasadena, Texas"
