ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
RVTY,2024-01-04,14:33:01,C062D4,PerkinElmer Inc.,100,0.94,analyst-ratings,positive,Revvity Raised to Outperform From In-Line by Evercore ISI Group,NEWS-FLASH,Dow Jones Newswires,Revvity Raised to Outperform From In-Line by Evercore ISI Group
RVTY,2024-01-04,14:33:01,C062D4,PerkinElmer Inc.,100,0.82,price-targets,upgrade,Revvity Price Target Raised to $125.00/Share From $88.00 by Evercore ISI Group,NEWS-FLASH,Dow Jones Newswires,Revvity Price Target Raised to $125.00/Share From $88.00 by Evercore ISI Group
RVTY,2024-01-09,13:00:03,C062D4,PerkinElmer Inc.,100,0.0,investor-relations,,"Revvity to Hold Earnings Call on Thursday, February 1, 2024",PRESS-RELEASE,Business Wire,"Revvity to Hold Earnings Call on Thursday, February 1, 2024; Provides Update on Financial Performance"
RVTY,2024-01-09,13:00:03,C062D4,PerkinElmer Inc.,100,0.0,investor-relations,,PerkinElmer Inc.: The Company will host a conference call the same day at 8:00 a.m. ET,PRESS-RELEASE,Business Wire,"Revvity to Hold Earnings Call on Thursday, February 1, 2024; Provides Update on Financial Performance"
RVTY,2024-01-09,13:00:03,C062D4,PerkinElmer Inc.,100,0.0,revenues,,PerkinElmer Inc.: Revenue for the fourth quarter is expected to be at least $690 million,PRESS-RELEASE,Business Wire,"Revvity to Hold Earnings Call on Thursday, February 1, 2024; Provides Update on Financial Performance"
RVTY,2024-01-09,13:00:03,C062D4,PerkinElmer Inc.,100,0.0,earnings,,PerkinElmer Inc.: The Company also now expects its full year 2023 adjusted earnings per share to,PRESS-RELEASE,Business Wire,"Revvity to Hold Earnings Call on Thursday, February 1, 2024; Provides Update on Financial Performance"
RVTY,2024-01-09,13:00:03,C062D4,PerkinElmer Inc.,100,0.0,earnings,,PerkinElmer Inc.: Full year 2023 adjusted earnings per share,PRESS-RELEASE,Business Wire,"Revvity to Hold Earnings Call on Thursday, February 1, 2024; Provides Update on Financial Performance"
RVTY,2024-01-09,13:00:03,C062D4,PerkinElmer Inc.,100,0.0,revenues,,PerkinElmer Inc.: With 2022 revenue,PRESS-RELEASE,Business Wire,"Revvity to Hold Earnings Call on Thursday, February 1, 2024; Provides Update on Financial Performance"
RVTY,2024-01-09,13:00:03,C062D4,PerkinElmer Inc.,100,0.0,earnings,,PerkinElmer Inc.: We report our financial results,PRESS-RELEASE,Business Wire,"Revvity to Hold Earnings Call on Thursday, February 1, 2024; Provides Update on Financial Performance"
RVTY,2024-01-09,13:00:03,C062D4,PerkinElmer Inc.,100,0.0,investor-relations,,Revvity to Hold Earnings Call on Thursday,PRESS-RELEASE,Business Wire,"Revvity to Hold Earnings Call on Thursday, -2-"
RVTY,2024-01-09,13:02:46,C062D4,PerkinElmer Inc.,100,0.0,revenues,,Revvity: 4Q Revenue Expected,NEWS-FLASH,Dow Jones Newswires,Revvity: 4Q Revenue Expected to Be at Least $690M >RVTY
RVTY,2024-01-09,13:03:12,C062D4,PerkinElmer Inc.,100,0.0,earnings,,Revvity: Expect Full Yr 2023 Adjusted Earnings Per Shr to,NEWS-FLASH,Dow Jones Newswires,Revvity: Expect Full Yr 2023 Adjusted Earnings Per Shr to Meet or Exceed the Guidance Provided on Oct 30 >RVTY
RVTY,2024-01-09,13:05:45,C062D4,PerkinElmer Inc.,100,0.0,investor-relations,,"PerkinElmer Inc.: Press Release: Revvity to Hold Earnings Call on Thursday, February 1, 2024",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Revvity to Hold Earnings Call on Thursday, February 1, 2024; Provides Update on Financial Performance"
RVTY,2024-01-09,13:05:45,C062D4,PerkinElmer Inc.,100,0.0,investor-relations,,PerkinElmer Inc.: The Company will host a conference call the same day at 8:00 a.m. ET,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Revvity to Hold Earnings Call on Thursday, February 1, 2024; Provides Update on Financial Performance"
RVTY,2024-01-09,13:05:45,C062D4,PerkinElmer Inc.,100,0.0,revenues,,PerkinElmer Inc.: Revenue for the fourth quarter is expected to be at least $690 million,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Revvity to Hold Earnings Call on Thursday, February 1, 2024; Provides Update on Financial Performance"
RVTY,2024-01-09,13:05:45,C062D4,PerkinElmer Inc.,100,0.0,earnings,,PerkinElmer Inc.: The Company also now expects its full year 2023 adjusted earnings per share to,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Revvity to Hold Earnings Call on Thursday, February 1, 2024; Provides Update on Financial Performance"
RVTY,2024-01-09,13:05:45,C062D4,PerkinElmer Inc.,100,0.0,earnings,,PerkinElmer Inc.: Full year 2023 adjusted earnings per share,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Revvity to Hold Earnings Call on Thursday, February 1, 2024; Provides Update on Financial Performance"
RVTY,2024-01-09,13:05:45,C062D4,PerkinElmer Inc.,100,0.0,revenues,,PerkinElmer Inc.: With 2022 revenue,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Revvity to Hold Earnings Call on Thursday, February 1, 2024; Provides Update on Financial Performance"
