ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
SBAC,2024-01-03,23:36:58,1E169E,SBA Communications Corp.,100,0.0,insider-trading,,Vp Silberstein Gifts 400 Of SBA Communications Corp >SBAC,TABULAR-MATERIAL,Dow Jones Newswires,VP Silberstein Gifts 400 Of SBA Communications Corp >SBAC
SBAC,2024-01-09,14:52:42,1E169E,SBA Communications Corp.,100,-0.04,credit-ratings,set,S&PGR Rates SBA Senior Finance's $2B Senior Secured TL 'BBB-,PRESS-RELEASE,Dow Jones Newswires,Press Release: S&PGR Rates SBA Senior Finance's $2B Senior Secured TL 'BBB-'
SBAC,2024-01-24,21:28:21,1E169E,SBA Communications Corp.,100,0.34,analyst-ratings,neutral,Sba Communications Is Maintained at Overweight by Barclays,NEWS-FLASH,Dow Jones Newswires,SBA Communications Is Maintained at Overweight by Barclays
SBAC,2024-01-24,21:28:21,1E169E,SBA Communications Corp.,100,0.6,price-targets,upgrade,Sba Communications Price Target Raised to $265.00/Share From $251.00 by Barclays,NEWS-FLASH,Dow Jones Newswires,SBA Communications Price Target Raised to $265.00/Share From $251.00 by Barclays
SBAC,2024-01-25,21:01:01,1E169E,SBA Communications Corp.,100,0.0,equity-actions,,Sba Communications Completes $4.05 Billion Senior Secured Financing,PRESS-RELEASE,Dow Jones Newswires,Press Release: SBA Communications Completes $4.05 Billion Senior Secured Financing
SBAC,2024-01-25,21:01:01,1E169E,SBA Communications Corp.,100,0.0,equity-actions,,Sba Communications Completes $4.05 Billion Senior Secured Financing,PRESS-RELEASE,Business Wire,SBA Communications Completes $4.05 Billion Senior Secured Financing
SBAC,2024-01-25,21:53:59,1E169E,SBA Communications Corp.,99,0.38,credit,,"Sba Communications Corporation (""SBAC""), entered into the Third Amended and Restated Credit Agreement",RNS-SEC8K,Dow Jones Newswires,SBA Communications Files 8K - Entry Into Definitive Agreement >SBAC
SBAC,2024-02-02,13:50:00,1E169E,SBA Communications Corp.,100,-0.49,labor-issues,,Sba Communications Announces Executive Officer Retirement,PRESS-RELEASE,Business Wire,SBA Communications Announces Executive Officer Retirement and Appointments
SBAC,2024-02-02,13:50:01,1E169E,SBA Communications Corp.,100,-0.49,labor-issues,,Sba Communications Announces Executive Officer Retirement,PRESS-RELEASE,Dow Jones Newswires,Press Release: SBA Communications Announces Executive Officer Retirement and Appointments
SBAC,2024-02-05,14:01:00,1E169E,SBA Communications Corp.,100,0.0,earnings,,Sba Communications Corporation Sets Date for Fourth Quarter 2023 Earnings Release,PRESS-RELEASE,Business Wire,SBA Communications Corporation Sets Date for Fourth Quarter 2023 Earnings Release
SBAC,2024-02-05,14:01:00,1E169E,SBA Communications Corp.,100,0.0,investor-relations,,"Sba will host a conference call on Monday, February 26, 2024",PRESS-RELEASE,Business Wire,SBA Communications Corporation Sets Date for Fourth Quarter 2023 Earnings Release
SBAC,2024-02-05,14:03:40,1E169E,SBA Communications Corp.,100,0.0,earnings,,Sba Communications Corporation Sets Date for Fourth Quarter 2023 Earnings Release,PRESS-RELEASE,Dow Jones Newswires,Press Release: SBA Communications Corporation Sets Date for Fourth Quarter 2023 Earnings Release
SBAC,2024-02-05,14:03:40,1E169E,SBA Communications Corp.,100,0.0,investor-relations,,"Sba will host a conference call on Monday, February 26, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: SBA Communications Corporation Sets Date for Fourth Quarter 2023 Earnings Release
SBAC,2024-02-21,14:23:00,1E169E,SBA Communications Corp.,99,0.57,equity-actions,listing,Sba is listed on NASDAQ,PRESS-RELEASE,Business Wire,SBA Communications Corporation to Speak at the Raymond James & Associates 45(th) Annual Institutional Investors Conference
SBAC,2024-02-21,14:23:01,1E169E,SBA Communications Corp.,99,0.57,equity-actions,listing,Sba is listed on NASDAQ,PRESS-RELEASE,Dow Jones Newswires,Press Release: SBA Communications Corporation to Speak at the Raymond James & Associates 45th Annual Institutional Investors Conference
SBAC,2024-02-22,08:03:40,1E169E,SBA Communications Corp.,100,0.0,investor-relations,,"Sba Communications Corp Class, Inst Holders, 4Q 2023 (SBAC)",RNS-SEC13F,Dow Jones Newswires,"SBA Communications Corp Class, Inst Holders, 4Q 2023 (SBAC)"
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,0.0,revenues,,Sba Communications 4Q Rev $675.1M >SBAC,NEWS-FLASH,Dow Jones Newswires,SBA Communications 4Q Rev $675.1M >SBAC
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,0.0,revenues,,Sba Communications Sees FY Rev $2.67B-$2.71B >SBAC,NEWS-FLASH,Dow Jones Newswires,SBA Communications Sees FY Rev $2.67B-$2.71B >SBAC
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,0.0,earnings,,Sba Communications Sees FY Net $520M,NEWS-FLASH,Dow Jones Newswires,SBA Communications Sees FY Net $520M-Net $565M >SBAC
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,0.61,earnings,positive,Sba Communications 4Q EPS $1.01,NEWS-FLASH,Dow Jones Newswires,SBA Communications 4Q EPS $1.01 >SBAC
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,0.61,earnings,positive,Sba Communications 4Q Net $109.5M,NEWS-FLASH,Dow Jones Newswires,SBA Communications 4Q Net $109.5M >SBAC
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,0.61,earnings,positive,SBA Communications Corp.: Net income in the fourth quarter of 2023 was $109.5 million,PRESS-RELEASE,Business Wire,SBA Communications Corporation Reports Fourth Quarter 2023 Results; Provides Full Year 2024 Outlook; and Declares Quarterly Cash Dividend
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,0.62,dividends,up,SBA Communications Corp.: and Declares Quarterly Cash Dividend,PRESS-RELEASE,Business Wire,SBA Communications Corporation Reports Fourth Quarter 2023 Results; Provides Full Year 2024 Outlook; and Declares Quarterly Cash Dividend
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,-0.24,revenues,down,SBA Communications Corp.: Total revenues in the fourth quarter of 2023 were $675.1 million compared to $686.1 million in the prior year,PRESS-RELEASE,Business Wire,SBA Communications Corporation Reports Fourth Quarter 2023 Results; Provides Full Year 2024 Outlook; and Declares Quarterly Cash Dividend
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,0.41,revenues,up,SBA Communications Corp.: Domestic cash site leasing revenue in the fourth quarter of 2023 was $460.9 million compared to $443.0 million in the prior year,PRESS-RELEASE,Business Wire,SBA Communications Corporation Reports Fourth Quarter 2023 Results; Provides Full Year 2024 Outlook; and Declares Quarterly Cash Dividend
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,0.61,earnings,positive,SBA Communications Corp.: Net income in the fourth quarter of 2022 was $102.6 million,PRESS-RELEASE,Business Wire,SBA Communications Corporation Reports Fourth Quarter 2023 Results; Provides Full Year 2024 Outlook; and Declares Quarterly Cash Dividend
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,0.58,earnings,positive,SBA Communications Corp.: Adjusted EBITDA in the fourth quarter of 2023 was $480.7 million,PRESS-RELEASE,Business Wire,SBA Communications Corporation Reports Fourth Quarter 2023 Results; Provides Full Year 2024 Outlook; and Declares Quarterly Cash Dividend
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,0.0,equity-actions,,SBA Communications Corp.: Net Cash Interest Expense in the fourth quarter of 2023 was $93.0 million,PRESS-RELEASE,Business Wire,SBA Communications Corporation Reports Fourth Quarter 2023 Results; Provides Full Year 2024 Outlook; and Declares Quarterly Cash Dividend
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,0.55,acquisitions-mergers,,Sba acquired 23 communication sites,PRESS-RELEASE,Business Wire,SBA Communications Corporation Reports Fourth Quarter 2023 Results; Provides Full Year 2024 Outlook; and Declares Quarterly Cash Dividend
SBAC,2024-02-26,21:01:01,1E169E,SBA Communications Corp.,100,0.41,assets,open,Sba also built 138 towers during the fourth quarter of 2023,PRESS-RELEASE,Business Wire,SBA Communications Corporation Reports Fourth Quarter 2023 Results; Provides Full Year 2024 Outlook; and Declares Quarterly Cash Dividend
