ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
SLB,2021-01-04,11:50:06,164D72,Schlumberger Ltd.,99,0.38,labor-issues,,"Schlumberger Ltd.: Our expanded technology portfolio, dedicated team",PRESS-RELEASE,Business Wire,Liberty and Schlumberger Close North American Pressure Pumping Transaction
SLB,2021-01-04,11:50:06,164D72,Schlumberger Ltd.,99,0.49,partnerships,,Schlumberger Ltd.: our alliance agreement,PRESS-RELEASE,Business Wire,Liberty and Schlumberger Close North American Pressure Pumping Transaction
SLB,2021-01-04,11:51:08,164D72,Schlumberger Ltd.,99,0.38,labor-issues,,"Schlumberger Ltd.: Our expanded technology portfolio, dedicated team",PRESS-RELEASE,Dow Jones Newswires,Press Release: Liberty and Schlumberger Close North American Pressure Pumping Transaction
SLB,2021-01-04,11:51:08,164D72,Schlumberger Ltd.,99,0.49,partnerships,,Schlumberger Ltd.: our alliance agreement,PRESS-RELEASE,Dow Jones Newswires,Press Release: Liberty and Schlumberger Close North American Pressure Pumping Transaction
SLB,2021-01-11,22:32:02,164D72,Schlumberger Ltd.,100,0.0,equity-actions,,Schlumberger Reports 37% Stake in Liberty Oilfield Services,NEWS-FLASH,Dow Jones Newswires,Schlumberger Reports 37% Stake in Liberty Oilfield Services
SLB,2021-01-21,01:40:05,164D72,Schlumberger Ltd.,100,0.52,insider-trading,,"Officer Pafitis Acquires 1,718 Of Schlumberger Ltd >SLB",TABULAR-MATERIAL,Dow Jones Newswires,"Officer Pafitis Acquires 1,718 Of Schlumberger Ltd >SLB"
SLB,2021-01-21,01:40:15,164D72,Schlumberger Ltd.,100,0.52,insider-trading,,Vp Gharbi Acquires 830 Of Schlumberger Ltd >SLB,TABULAR-MATERIAL,Dow Jones Newswires,VP Gharbi Acquires 830 Of Schlumberger Ltd >SLB
SLB,2021-01-21,01:40:25,164D72,Schlumberger Ltd.,100,0.52,insider-trading,,"Vp Rennick Acquires 2,961 Of Schlumberger Ltd >SLB",TABULAR-MATERIAL,Dow Jones Newswires,"VP Rennick Acquires 2,961 Of Schlumberger Ltd >SLB"
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.0,revenues,,Schlumberger 4Q Rev $5.53B >SLB,NEWS-FLASH,Dow Jones Newswires,Schlumberger 4Q Rev $5.53B >SLB
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.61,earnings,positive,4Q EPS 27c >SLB,NEWS-FLASH,Dow Jones Newswires,Schlumberger 4Q EPS 27c >SLB
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.61,earnings,positive,Schlumberger 4Q Adj EPS 22c,NEWS-FLASH,Dow Jones Newswires,Schlumberger 4Q Adj EPS 22c >SLB
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.61,earnings,positive,Schlumberger 4Q Net $374M,NEWS-FLASH,Dow Jones Newswires,Schlumberger 4Q Net $374M >SLB
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.0,earnings,,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.0,earnings,,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.41,revenues,up,Schlumberger Ltd.: Fourth-quarter worldwide revenue of $5.5 billion increased 5%,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.0,earnings,,Schlumberger Ltd.: Fourth-quarter GAAP EPS,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.0,dividends,,Schlumberger Ltd.: Quarterly cash dividend of $0.125 per share,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.0,revenues,,"Schlumberger Ltd.: Revenue $5,532 $5,258",PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.61,earnings,up,Schlumberger Ltd.: Adjusted EBITDA,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.0,earnings,,Schlumberger Ltd.: Pretax Operating Income,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.41,revenues,up,Schlumberger Ltd.: Production Systems revenue increased 8%,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,92,0.0,dividends,,Schlumberger's Board of Directors approved a quarterly cash dividend of $0.125,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -2-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,92,0.16,revenues,,Schlumberger Ltd.: North America area revenue of $1.2 billion increased 13%,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -2-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,92,0.65,revenues,up,Schlumberger Ltd.: Ecuador revenue increased,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -2-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,99,0.0,revenues,,"Schlumberger Ltd.: Revenue $5,532 $8,228",PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -4-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,99,-0.65,earnings,negative,Schlumberger Ltd.: Net income (loss,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -4-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,99,0.0,assets,,"Schlumberger Ltd.: Dec. 31, Dec. 31, Assets",PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -4-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,99,0.0,dividends,,Schlumberger Ltd.: Dividends,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -4-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,94,0.0,earnings,,Schlumberger Ltd.: Interest income of $5 million,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -7-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,94,0.0,equity-actions,,Schlumberger Ltd.: Interest expense of $144 million,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -7-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,94,0.0,earnings,,Schlumberger's adjusted EBITDA in the fourth quarter of 2020,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -7-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,94,0.58,earnings,positive,Schlumberger's adjusted EBITDA was $1.112 billion in the fourth quarter of 2020,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -7-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,94,-0.65,earnings,negative,Schlumberger Ltd.: Net income (loss,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -7-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,94,0.0,earnings,,Schlumberger Ltd.: Adjusted EBITDA,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -7-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,99,0.58,earnings,positive,Schlumberger's adjusted EBITDA was $4.313 billion in full-year 2020,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -8-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,99,-0.65,earnings,negative,Schlumberger Ltd.: Net loss,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -8-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,99,-0.62,earnings,negative,Schlumberger Ltd.: Loss before taxes,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -8-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,99,0.0,earnings,,Schlumberger Ltd.: Adjusted EBITDA,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -8-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,99,0.62,acquisitions-mergers,,Schlumberger entered into an agreement to purchase new software licenses,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and -8-
SLB,2021-01-22,11:50:01,164D72,Schlumberger Ltd.,100,0.0,earnings,,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results,PRESS-RELEASE,Business Wire,Schlumberger Announces Fourth-Quarter and Full-Year 2020 Results
