ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
SNPS,2024-01-02,21:40:08,7E1D5D,Synopsys Inc.,100,-0.48,insider-trading,,"Officer Runkel Jr Registers 2,508 Of Synopsys Inc >SNPS",RNS-SEC144,Dow Jones Newswires,"Officer Runkel Jr Registers 2,508 Of Synopsys Inc >SNPS"
SNPS,2024-01-02,21:48:37,7E1D5D,Synopsys Inc.,100,-0.48,insider-trading,,"Dir Johnson Registers 4,000 Of Synopsys Inc >SNPS",RNS-SEC144,Dow Jones Newswires,"Dir Johnson Registers 4,000 Of Synopsys Inc >SNPS"
SNPS,2024-01-03,21:09:41,7E1D5D,Synopsys Inc.,100,-0.48,insider-trading,,"Dir Johnson Registers 3,500 Of Synopsys Inc >SNPS",RNS-SEC144,Dow Jones Newswires,"Dir Johnson Registers 3,500 Of Synopsys Inc >SNPS"
SNPS,2024-01-03,21:12:30,7E1D5D,Synopsys Inc.,100,-0.48,insider-trading,,"Officer Mahoney Registers 9,065 Of Synopsys Inc >SNPS",RNS-SEC144,Dow Jones Newswires,"Officer Mahoney Registers 9,065 Of Synopsys Inc >SNPS"
SNPS,2024-01-04,16:45:10,7E1D5D,Synopsys Inc.,100,-0.49,insider-trading,,"Dir Johnson Sells 7,500 Of Synopsys Inc",FULL-ARTICLE,Dow Jones Newswires,"Dir Johnson Sells 7,500 Of Synopsys Inc >SNPS"
SNPS,2024-01-04,16:45:39,7E1D5D,Synopsys Inc.,100,-0.49,insider-trading,,"Officer Runkel Jr Sells 2,508 Of Synopsys Inc",FULL-ARTICLE,Dow Jones Newswires,"Officer Runkel Jr Sells 2,508 Of Synopsys Inc >SNPS"
SNPS,2024-01-04,17:20:52,7E1D5D,Synopsys Inc.,100,-0.49,insider-trading,,"Officer Mahoney Sells 9,065 Of Synopsys Inc",FULL-ARTICLE,Dow Jones Newswires,"Officer Mahoney Sells 9,065 Of Synopsys Inc >SNPS"
SNPS,2024-01-05,18:28:33,7E1D5D,Synopsys Inc.,100,0.55,acquisitions-mergers,interest,Synopsys closes in on $35 billion acquisition of Ansys,FULL-ARTICLE,MarketWatch,MW Synopsys closes in on $35 billion acquisition of Ansys: report
SNPS,2024-01-05,18:28:33,7E1D5D,Synopsys Inc.,100,0.55,acquisitions-mergers,interest,Synopsys closes in on $35 billion acquisition of Ansys,FULL-ARTICLE,MarketWatch,MW Synopsys closes in on $35 billion acquisition of Ansys: report
SNPS,2024-01-05,18:28:33,7E1D5D,Synopsys Inc.,100,0.55,acquisitions-mergers,interest,Synopsys Closes In On $35 Billion Acquisition Of Ansys,FULL-ARTICLE,Dow Jones Newswires,Synopsys Closes In On $35 Billion Acquisition Of Ansys: Report -- MarketWatch
SNPS,2024-01-05,18:35:36,7E1D5D,Synopsys Inc.,100,0.55,acquisitions-mergers,interest,Synopsys closes in on $35 billion acquisition of Ansys,FULL-ARTICLE,MarketWatch,MW Synopsys closes in on $35 billion acquisition of Ansys: report
SNPS,2024-01-05,18:35:36,7E1D5D,Synopsys Inc.,100,0.55,acquisitions-mergers,interest,Synopsys Closes In On $35 Billion Acquisition Of Ansys,FULL-ARTICLE,Dow Jones Newswires,Update: Synopsys Closes In On $35 Billion Acquisition Of Ansys: Report -- MarketWatch
SNPS,2024-01-10,15:00:07,7E1D5D,Synopsys Inc.,100,0.49,partnerships,,Synopsys Inc.: KAP Partners With Optelos To,PRESS-RELEASE,PR Newswire,KAP Partners With Optelos To Provide Optimal Solutions for Remote Planning & Scheduling
SNPS,2024-01-16,12:25:24,7E1D5D,Synopsys Inc.,100,-0.65,equity-actions,halt,Synopsys Inc. (SNPS) Halted due to pending news,NEWS-FLASH,Dow Jones Newswires,Synopsys Inc. (SNPS) Halted due to pending news
SNPS,2024-01-16,13:00:13,7E1D5D,Synopsys Inc.,100,0.62,acquisitions-mergers,,Synopsys To Acquire Ansys,NEWS-FLASH,Dow Jones Newswires,"Synopsys To Acquire Ansys, Creating A Leader In Silicon To Systems Design Solutions >SNPS ANSS"
