ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
SOLV,2024-12-11,17:20:00,243B52,Solvac S.A.,99,0.0,dividends,,Solvac announces a second interim dividend,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Solvac: announcement of a second interim dividend to be paid on January 30, 2025"
SOLV,2024-12-11,17:20:00,243B52,Solvac S.A.,99,0.0,dividends,,"Solvac will announce on March 7, 2025, the interim dividend",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Solvac: announcement of a second interim dividend to be paid on January 30, 2025"
SOLV,2024-12-11,17:20:00,243B52,Solvac S.A.,99,0.0,dividends,,"Solvac S.A.: January 30, 2025 : Payment of a second interim dividend",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Solvac: announcement of a second interim dividend to be paid on January 30, 2025"
SOLV,2024-12-11,17:20:00,243B52,Solvac S.A.,99,0.0,dividends,,Solvac announces a second interim dividend,PRESS-RELEASE,Hugin GlobeNewswire,"Press Release: Solvac: announcement of a second interim dividend to be paid on January 30, 2025"
SOLV,2024-12-11,17:20:00,243B52,Solvac S.A.,99,0.0,dividends,,"Solvac will announce on March 7, 2025, the interim dividend",PRESS-RELEASE,Hugin GlobeNewswire,"Press Release: Solvac: announcement of a second interim dividend to be paid on January 30, 2025"
SOLV,2024-12-11,17:20:00,243B52,Solvac S.A.,99,0.0,dividends,,"Solvac S.A.: January 30, 2025 : Payment of a second interim dividend",PRESS-RELEASE,Hugin GlobeNewswire,"Press Release: Solvac: announcement of a second interim dividend to be paid on January 30, 2025"
SOLV,2021-02-09,08:00:07,654DDF,Solvang ASA,94,0.38,labor-issues,,Solvang ASA: Hiring more employees,PRESS-RELEASE,PR Newswire,Solvang Insurance Agent Reports 'When to Review Business Insurance Needs'
SOLV,2024-05-17,21:08:41,9X9IT8,Solventum Corp.,99,0.0,labor-issues,,Solventum 2024 Long-Term Incentive Plan,RNS-SEC8K,Dow Jones Newswires,"Solventum Files 8K - Director, Officer or Compensation Filing >SOLV"
SOLV,2024-05-24,07:04:15,9X9IT8,Solventum Corp.,100,0.0,investor-relations,,"Solventum CORP COM, Inst Holders, 1Q 2024 (SOLV)",RNS-SEC13F,Dow Jones Newswires,"SOLVENTUM CORP  COM, Inst Holders, 1Q 2024 (SOLV)"
SOLV,2024-05-30,11:31:09,9X9IT8,Solventum Corp.,100,-0.83,analyst-ratings,negative,Solventum Initiated at Sell by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Solventum Initiated at Sell by Goldman Sachs
SOLV,2024-05-30,11:31:09,9X9IT8,Solventum Corp.,100,0.0,price-targets,set,Solventum Price Target Announced at $54.00/Share by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Solventum Price Target Announced at $54.00/Share by Goldman Sachs
SOLV,2024-06-24,13:00:06,9X9IT8,Solventum Corp.,99,0.44,products-services,,"Solventum introduces denials prevention solution, an AI-powered",PRESS-RELEASE,PR Newswire,"Solventum introduces denials prevention solution, an AI-powered tool, empowering health systems to help reduce write-offs and improve top line revenue"
SOLV,2024-06-24,13:00:06,9X9IT8,Solventum Corp.,99,0.49,partnerships,,"Solventum Corp.: In collaboration with Sift Healthcare, this solution is designed to",PRESS-RELEASE,PR Newswire,"Solventum introduces denials prevention solution, an AI-powered tool, empowering health systems to help reduce write-offs and improve top line revenue"
SOLV,2024-06-24,13:00:07,9X9IT8,Solventum Corp.,99,0.44,products-services,,"Solventum introduces denials prevention solution, an AI-powered",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Solventum introduces denials prevention solution, an AI-powered tool, empowering health systems to help reduce write-offs and improve top line revenue"
SOLV,2024-06-24,13:00:07,9X9IT8,Solventum Corp.,99,0.49,partnerships,,"Solventum Corp.: In collaboration with Sift Healthcare, this solution is designed to",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Solventum introduces denials prevention solution, an AI-powered tool, empowering health systems to help reduce write-offs and improve top line revenue"
