ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
SPG,2024-05-27,21:16:09,5D2D6A,Stride Stapled Group,100,-0.65,earnings,negative,Stride Property FY Net Loss NZ$56.1 Million,NEWS-FLASH,Dow Jones Newswires,Stride Property FY Net Loss NZ$56.1 Million
SPG,2024-05-27,21:16:28,5D2D6A,Stride Stapled Group,100,0.41,revenues,up,"Stride Property FY Revenue NZ$94.6 Million, Up 0.2%",NEWS-FLASH,Dow Jones Newswires,"Stride Property FY Revenue NZ$94.6 Million, Up 0.2%"
SPG,2024-05-27,21:18:04,5D2D6A,Stride Stapled Group,100,0.4,earnings,up,"Stride Property FY Distributable Profit NZ$59.1 Million, Up 2.6%",NEWS-FLASH,Dow Jones Newswires,"Stride Property FY Distributable Profit NZ$59.1 Million, Up 2.6%"
SPG,2024-05-28,22:33:01,5D2D6A,Stride Stapled Group,100,-0.38,price-targets,downgrade,Stride Property Target Price Cut 2.1% to A$1.42/Share by Macquarie,NEWS-FLASH,Dow Jones Newswires,Stride Property Target Price Cut 2.1% to A$1.42/Share by Macquarie>SPG.NZ
SPG,2024-05-29,01:22:27,5D2D6A,Stride Stapled Group,100,-0.48,price-targets,downgrade,Stride Property Price Target Cut 3.4% to NZ$1.40/Share by Forsyth Barr,NEWS-FLASH,Dow Jones Newswires,Stride Property Price Target Cut 3.4% to NZ$1.40/Share by Forsyth Barr
SPG,2024-11-26,19:49:12,5D2D6A,Stride Stapled Group,100,0.0,revenues,,Stride Property Group 1H Rev NZD45.4M,NEWS-FLASH,Dow Jones Newswires,Stride Property Group 1H Rev NZD45.4M
SPG,2024-11-26,19:49:26,5D2D6A,Stride Stapled Group,100,0.61,earnings,positive,Stride Property Group 1H Net NZD18.4M,NEWS-FLASH,Dow Jones Newswires,Stride Property Group 1H Net NZD18.4M
SPG,2024-11-27,23:41:56,5D2D6A,Stride Stapled Group,100,-0.28,price-targets,downgrade,Stride Property Price Target Cut 1.4% to NZ$1.46/Share by Forsyth Barr,NEWS-FLASH,Dow Jones Newswires,Stride Property Price Target Cut 1.4% to NZ$1.46/Share by Forsyth Barr
SPG,2024-05-27,21:16:09,5D2D6A,Stride Stapled Group,100,-0.65,earnings,negative,Stride Property FY Net Loss NZ$56.1 Million,NEWS-FLASH,Dow Jones Newswires,Stride Property FY Net Loss NZ$56.1 Million
SPG,2024-05-27,21:16:28,5D2D6A,Stride Stapled Group,100,0.41,revenues,up,"Stride Property FY Revenue NZ$94.6 Million, Up 0.2%",NEWS-FLASH,Dow Jones Newswires,"Stride Property FY Revenue NZ$94.6 Million, Up 0.2%"
