ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
SYK,2024-01-05,13:00:00,C81E00,Stryker Corp.,100,0.0,earnings,,"Stryker (NYSE:SYK) announced that it will report financial results for fourth quarter and full year 2023 on Tuesday, January 30, 2024",PRESS-RELEASE,GlobeNewswire,Stryker to announce financial results for its fourth quarter and full year 2023
SYK,2024-01-05,13:00:00,C81E00,Stryker Corp.,100,0.0,earnings,,"Stryker (NYSE:SYK) announced that it will report financial results for fourth quarter and full year 2023 on Tuesday, January 30, 2024",PRESS-RELEASE,GlobeNewswire,Stryker to announce financial results for its fourth quarter and full year 2023
SYK,2024-01-05,13:00:00,C81E00,Stryker Corp.,100,0.0,earnings,,"Stryker (NYSE:SYK) announced that it will report financial results for fourth quarter and full year 2023 on Tuesday, January 30, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: Stryker to announce financial results for its fourth quarter and full year 2023
SYK,2024-01-05,13:00:00,C81E00,Stryker Corp.,100,0.0,earnings,,"Stryker (NYSE:SYK) announced that it will report financial results for fourth quarter and full year 2023 on Tuesday, January 30, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: Stryker to announce financial results for its fourth quarter and full year 2023
SYK,2024-01-05,13:00:00,C81E00,Stryker Corp.,100,0.0,earnings,,"Stryker (NYSE:SYK) announced that it will report financial results for fourth quarter and full year 2023 on Tuesday, January 30, 2024",FULL-ARTICLE,Dow Jones Newswires,Stryker to announce financial results for its fourth quarter and full year 2023
SYK,2024-01-05,13:00:00,C81E00,Stryker Corp.,100,0.0,earnings,,"Stryker (NYSE:SYK) announced that it will report financial results for fourth quarter and full year 2023 on Tuesday, January 30, 2024",FULL-ARTICLE,Dow Jones Newswires,Stryker to announce financial results for its fourth quarter and full year 2023
SYK,2024-01-05,13:00:00,C81E00,Stryker Corp.,100,0.0,earnings,,"Stryker (NYSE:SYK) announced that it will report financial results for fourth quarter and full year 2023 on Tuesday, January 30, 2024",PRESS-RELEASE,DJ Global Press Release Wire,Stryker to announce financial results for its fourth quarter and full year 2023
SYK,2024-01-05,13:00:00,C81E00,Stryker Corp.,100,0.0,earnings,,"Stryker (NYSE:SYK) announced that it will report financial results for fourth quarter and full year 2023 on Tuesday, January 30, 2024",PRESS-RELEASE,DJ Global Press Release Wire,Stryker to announce financial results for its fourth quarter and full year 2023
SYK,2024-01-05,13:00:01,C81E00,Stryker Corp.,100,0.0,earnings,,"Stryker (NYSE:SYK) announced that it will report financial results for fourth quarter and full year 2023 on Tuesday, January 30, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: Stryker to announce financial results for its fourth quarter and full year 2023
SYK,2024-01-05,13:00:01,C81E00,Stryker Corp.,100,0.0,earnings,,"Stryker (NYSE:SYK) announced that it will report financial results for fourth quarter and full year 2023 on Tuesday, January 30, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: Stryker to announce financial results for its fourth quarter and full year 2023
SYK,2024-01-08,13:00:01,C81E00,Stryker Corp.,100,0.65,revenues,up,Stryker announces 2023 sales surpassed $20 billion,PRESS-RELEASE,Dow Jones Newswires,Press Release: Stryker announces 2023 sales surpassed $20 billion
SYK,2024-01-08,13:00:01,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker will disclose additional information regarding its 2023 financial results during its Q4,PRESS-RELEASE,Dow Jones Newswires,Press Release: Stryker announces 2023 sales surpassed $20 billion
SYK,2024-01-08,13:00:01,C81E00,Stryker Corp.,100,0.65,revenues,up,Stryker announces 2023 sales surpassed $20 billion,FULL-ARTICLE,Dow Jones Newswires,Stryker announces 2023 sales surpassed $20 billion
SYK,2024-01-08,13:00:01,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker will disclose additional information regarding its 2023 financial results during its Q4,FULL-ARTICLE,Dow Jones Newswires,Stryker announces 2023 sales surpassed $20 billion
SYK,2024-01-08,13:00:01,C81E00,Stryker Corp.,100,0.65,revenues,up,Stryker announces 2023 sales surpassed $20 billion,PRESS-RELEASE,DJ Global Press Release Wire,Stryker announces 2023 sales surpassed $20 billion
SYK,2024-01-08,13:00:01,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker will disclose additional information regarding its 2023 financial results during its Q4,PRESS-RELEASE,DJ Global Press Release Wire,Stryker announces 2023 sales surpassed $20 billion
SYK,2024-01-08,13:00:02,C81E00,Stryker Corp.,100,0.65,revenues,up,Stryker announces 2023 sales surpassed $20 billion,PRESS-RELEASE,GlobeNewswire,Stryker announces 2023 sales surpassed $20 billion
SYK,2024-01-08,13:00:02,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker will disclose additional information regarding its 2023 financial results during its Q4,PRESS-RELEASE,GlobeNewswire,Stryker announces 2023 sales surpassed $20 billion
SYK,2024-01-08,13:00:02,C81E00,Stryker Corp.,100,0.65,revenues,up,Stryker announces 2023 sales surpassed $20 billion,PRESS-RELEASE,Dow Jones Newswires,Press Release: Stryker announces 2023 sales surpassed $20 billion
SYK,2024-01-08,13:00:02,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker will disclose additional information regarding its 2023 financial results during its Q4,PRESS-RELEASE,Dow Jones Newswires,Press Release: Stryker announces 2023 sales surpassed $20 billion
SYK,2024-01-08,13:00:19,C81E00,Stryker Corp.,100,0.65,revenues,up,Stryker Announces 2023 Sales Surpassed $20 B,NEWS-FLASH,Dow Jones Newswires,Stryker Announces 2023 Sales Surpassed $20 B
SYK,2024-01-12,20:00:23,C81E00,Stryker Corp.,100,0.34,analyst-ratings,neutral,Stryker Is Maintained at Outperform by RBC Capital,NEWS-FLASH,Dow Jones Newswires,Stryker Is Maintained at Outperform by RBC Capital
SYK,2024-01-12,20:00:24,C81E00,Stryker Corp.,100,0.76,price-targets,upgrade,Stryker Price Target Raised to $345.00/Share From $315.00 by RBC Capital,NEWS-FLASH,Dow Jones Newswires,Stryker Price Target Raised to $345.00/Share From $315.00 by RBC Capital
SYK,2024-01-16,21:17:31,C81E00,Stryker Corp.,100,0.52,insider-trading,,"Cfo Boehnlein Acquires 20,818 Of Stryker Corp >SYK",FULL-ARTICLE,Dow Jones Newswires,"CFO Boehnlein Acquires 20,818 Of Stryker Corp >SYK"
SYK,2024-01-16,21:24:55,C81E00,Stryker Corp.,100,0.52,insider-trading,,"Officer Pierce Acquires 4,193 Of Stryker Corp >SYK",TABULAR-MATERIAL,Dow Jones Newswires,"Officer Pierce Acquires 4,193 Of Stryker Corp >SYK"
SYK,2024-01-22,10:00:46,C81E00,Stryker Corp.,99,0.0,earnings,,Stryker's financial results during its upcoming Q4,PRESS-RELEASE,DJ Global Press Release Wire,"Top 4 Spinal Injury Stocks for 2024 (NRX.V, NVRO, SYK, BSX)"
SYK,2024-01-30,21:05:01,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker reports 2023 operating results,FULL-ARTICLE,Dow Jones Newswires,Stryker reports 2023 operating results and 2024 outlook
SYK,2024-01-30,21:05:01,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker (NYSE:SYK) reported operating results for the fourth quarter,FULL-ARTICLE,Dow Jones Newswires,Stryker reports 2023 operating results and 2024 outlook
SYK,2024-01-30,21:05:01,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker reports 2023 operating results,TABULAR-MATERIAL,Dow Jones Newswires,Stryker reports 2023 operating results and 2024 -2-
SYK,2024-01-30,21:05:01,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker reports 2023 operating results,TABULAR-MATERIAL,Dow Jones Newswires,Stryker reports 2023 operating results and 2024 -3-
SYK,2024-01-30,21:05:01,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker reports 2023 operating results,FULL-ARTICLE,Dow Jones Newswires,Stryker reports 2023 operating results and 2024 -4-
SYK,2024-01-30,21:05:01,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker reports 2023 operating results,TABULAR-MATERIAL,Dow Jones Newswires,Stryker reports 2023 operating results and 2024 -5-
SYK,2024-01-30,21:05:01,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker reports 2023 operating results,TABULAR-MATERIAL,Dow Jones Newswires,Stryker reports 2023 operating results and 2024 -6-
SYK,2024-01-30,21:05:01,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker reports 2023 operating results,PRESS-RELEASE,GlobeNewswire,Stryker reports 2023 operating results and 2024 outlook
SYK,2024-01-30,21:05:01,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker (NYSE:SYK) reported operating results for the fourth quarter,PRESS-RELEASE,GlobeNewswire,Stryker reports 2023 operating results and 2024 outlook
SYK,2024-01-30,21:05:01,C81E00,Stryker Corp.,100,0.0,earnings,,Stryker Corp.: Fourth Quarter Results,PRESS-RELEASE,GlobeNewswire,Stryker reports 2023 operating results and 2024 outlook
SYK,2024-01-30,21:05:01,C81E00,Stryker Corp.,100,0.41,revenues,up,Stryker Corp.: Reported net sales increased 11.8% to $5.8 billion,PRESS-RELEASE,GlobeNewswire,Stryker reports 2023 operating results and 2024 outlook
SYK,2024-01-30,21:05:01,C81E00,Stryker Corp.,100,0.0,revenues,,Stryker Corp.: Reported operating income margin of 21.6%,PRESS-RELEASE,GlobeNewswire,Stryker reports 2023 operating results and 2024 outlook
