ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
TECH,2024-01-26,07:30:03,03C304,Techstep ASA,100,0.53,labor-issues,,Techstep appoints Morten Meier as new CEO,PRESS-RELEASE,Cision News,Techstep ASA: Techstep appoints Morten Meier as new CEO
TECH,2024-01-26,07:30:03,03C304,Techstep ASA,100,0.53,labor-issues,,Techstep appoints Morten Meier as new CEO,FULL-ARTICLE,Dow Jones Newswires,Techstep ASA: Techstep appoints Morten Meier as new CEO
TECH,2024-01-26,07:30:04,03C304,Techstep ASA,100,0.53,labor-issues,,Techstep Appoints Morten Meier As New Ceo,PRESS-RELEASE,Oslo Bors News,TECHSTEP: Techstep Appoints Morten Meier As New Ceo
TECH,2024-01-26,07:30:04,03C304,Techstep ASA,100,0.53,labor-issues,,Techstep Appoints Morten Meier As New Ceo,PRESS-RELEASE,Dow Jones Newswires,TECHSTEP: Techstep Appoints Morten Meier As New Ceo
TECH,2024-02-23,06:05:24,03C304,Techstep ASA,99,0.0,earnings,,Techstep ASA will release its fourth quarter 2023 results on Thursday 29 February 2024 at 07:00 CET.,PRESS-RELEASE,Oslo Bors News,TECHSTEP: Techstep Asa: Invitation To Presentation Of Q4 2023 Financial Results
TECH,2024-02-23,06:05:24,03C304,Techstep ASA,99,0.0,earnings,,Techstep ASA will release its fourth quarter 2023 results on Thursday 29 February 2024 at 07:00 CET.,PRESS-RELEASE,Dow Jones Newswires,TECHSTEP: Techstep Asa: Invitation To Presentation Of Q4 2023 Financial Results
TECH,2024-02-28,13:12:24,03C304,Techstep ASA,100,0.49,partnerships,,Techstep: Techstep Signs Strategic Partnership Agreement,PRESS-RELEASE,Oslo Bors News,TECHSTEP: Techstep Signs Strategic Partnership Agreement With Devicenow For Lifecycle Portal
TECH,2024-02-28,13:12:24,03C304,Techstep ASA,100,0.49,partnerships,,Techstep: Techstep Signs Strategic Partnership Agreement,PRESS-RELEASE,Dow Jones Newswires,TECHSTEP: Techstep Signs Strategic Partnership Agreement With Devicenow For Lifecycle Portal
TECH,2024-02-29,06:00:13,03C304,Techstep ASA,99,0.57,equity-actions,listing,Techstep ASA: The company is listed on the Oslo Stock Exchange,FULL-ARTICLE,Dow Jones Newswires,Techstep ASA: Techstep ASA: Q4 2023 results
TECH,2024-02-29,06:00:13,03C304,Techstep ASA,99,0.0,earnings,,Techstep ASA: Positive EBITA,PRESS-RELEASE,Cision News,Techstep ASA: Techstep ASA: Q4 2023 results
TECH,2024-02-29,06:00:13,03C304,Techstep ASA,99,0.39,products-services,,Techstep ASA: Signed frame agreement with the public sector purchasing agency Kammarkollegiet in Sweden,PRESS-RELEASE,Cision News,Techstep ASA: Techstep ASA: Q4 2023 results
TECH,2024-02-29,06:05:24,03C304,Techstep ASA,99,0.0,earnings,,Techstep ASA: Positive EBITA,PRESS-RELEASE,Oslo Bors News,TECHSTEP: Techstep Asa: Q4 2023 Results
TECH,2024-02-29,06:05:24,03C304,Techstep ASA,99,0.39,products-services,,Techstep ASA: Signed frame agreement with the public sector purchasing agency Kammarkollegiet in Sweden,PRESS-RELEASE,Oslo Bors News,TECHSTEP: Techstep Asa: Q4 2023 Results
TECH,2024-02-29,06:05:24,03C304,Techstep ASA,99,0.0,earnings,,Techstep ASA: Positive EBITA,PRESS-RELEASE,Dow Jones Newswires,TECHSTEP: Techstep Asa: Q4 2023 Results
TECH,2024-02-29,06:05:24,03C304,Techstep ASA,99,0.39,products-services,,Techstep ASA: Signed frame agreement with the public sector purchasing agency Kammarkollegiet in Sweden,PRESS-RELEASE,Dow Jones Newswires,TECHSTEP: Techstep Asa: Q4 2023 Results
TECH,2024-04-22,07:31:11,03C304,Techstep ASA,100,0.49,partnerships,,Techstep: Techstep Expands Its Rugged Device And Services Business Through Strategic Partnership With,PRESS-RELEASE,Dow Jones Newswires,TECHSTEP: Techstep Expands Its Rugged Device And Services Business Through Strategic Partnership With Consafe Logistics
TECH,2024-04-22,07:31:11,03C304,Techstep ASA,100,-0.68,revenues,down,Techstep ASA: Consafe Logistics has decided to wind-down its hardware sales,PRESS-RELEASE,Dow Jones Newswires,TECHSTEP: Techstep Expands Its Rugged Device And Services Business Through Strategic Partnership With Consafe Logistics
TECH,2024-04-22,07:31:11,03C304,Techstep ASA,100,0.49,partnerships,,Techstep: Techstep Expands Its Rugged Device And Services Business Through Strategic Partnership With,PRESS-RELEASE,Oslo Bors News,TECHSTEP: Techstep Expands Its Rugged Device And Services Business Through Strategic Partnership With Consafe Logistics
TECH,2024-04-22,07:31:11,03C304,Techstep ASA,100,-0.68,revenues,down,Techstep ASA: Consafe Logistics has decided to wind-down its hardware sales,PRESS-RELEASE,Oslo Bors News,TECHSTEP: Techstep Expands Its Rugged Device And Services Business Through Strategic Partnership With Consafe Logistics
TECH,2024-04-29,20:47:12,03C304,Techstep ASA,95,0.0,investor-relations,,Annual general meeting of Techstep ASA will be held on Wednesday 29 May 2024 at 10:00,FULL-ARTICLE,Dow Jones Newswires,Techstep ASA: Techstep ASA: Notice of Annual General Meeting
TECH,2024-04-29,20:47:12,03C304,Techstep ASA,95,0.0,investor-relations,,Annual general meeting of Techstep ASA will be held on Wednesday 29 May 2024 at 10:00,PRESS-RELEASE,Cision News,Techstep ASA: Techstep ASA: Notice of Annual General Meeting
TECH,2024-05-08,11:15:20,03C304,Techstep ASA,98,0.0,earnings,,Techstep ASA will release its first quarter 2024 results on Wednesday 15 May 2024 at 07:00 CET.,PRESS-RELEASE,Oslo Bors News,TECHSTEP: Techstep Asa: Invitation To Presentation Of Q1 2024 Financial Results
TECH,2024-05-08,11:15:20,03C304,Techstep ASA,98,0.0,earnings,,Techstep ASA will release its first quarter 2024 results on Wednesday 15 May 2024 at 07:00 CET.,PRESS-RELEASE,Dow Jones Newswires,TECHSTEP: Techstep Asa: Invitation To Presentation Of Q1 2024 Financial Results
TECH,2024-05-15,05:00:06,03C304,Techstep ASA,99,0.0,earnings,,Techstep ASA: Positive EBITA,PRESS-RELEASE,Cision News,Techstep ASA: Techstep ASA: Q1 2024 results
TECH,2024-05-15,05:00:06,03C304,Techstep ASA,99,0.57,equity-actions,listing,Techstep ASA: The company is listed on the Oslo Stock Exchange,FULL-ARTICLE,Dow Jones Newswires,Techstep ASA: Techstep ASA: Q1 2024 results
TECH,2024-05-15,05:05:26,03C304,Techstep ASA,99,0.0,earnings,,Techstep ASA: Positive EBITA,PRESS-RELEASE,Dow Jones Newswires,TECHSTEP: Techstep Asa: Q1 2024 Results
TECH,2024-05-15,05:05:26,03C304,Techstep ASA,99,0.0,earnings,,Techstep ASA: Positive EBITA,PRESS-RELEASE,Oslo Bors News,TECHSTEP: Techstep Asa: Q1 2024 Results
TECH,2024-06-24,15:09:41,03C304,Techstep ASA,99,0.22,acquisitions-mergers,,"Chairman of Techstep ASA, acquired 30,000 Techstep shares",FULL-ARTICLE,Dow Jones Newswires,Techstep ASA: Techstep ASA: Primary insider notifications
TECH,2024-06-24,15:09:41,03C304,Techstep ASA,99,0.22,acquisitions-mergers,,"Chairman of Techstep ASA, acquired 30,000 Techstep shares",PRESS-RELEASE,Cision News,Techstep ASA: Techstep ASA: Primary insider notifications
TECH,2024-06-24,15:09:43,03C304,Techstep ASA,99,0.22,acquisitions-mergers,,"Chairman of Techstep ASA, acquired 30,000 Techstep shares",PRESS-RELEASE,Oslo Bors News,TECHSTEP: Techstep Asa: Primary Insider Notifications
TECH,2024-06-24,15:09:43,03C304,Techstep ASA,99,0.22,acquisitions-mergers,,"Chairman of Techstep ASA, acquired 30,000 Techstep shares",PRESS-RELEASE,Dow Jones Newswires,TECHSTEP: Techstep Asa: Primary Insider Notifications
TECH,2024-08-06,11:49:48,03C304,Techstep ASA,99,0.57,equity-actions,listing,Techstep ASA: The company is listed on the Oslo Stock Exchange,PRESS-RELEASE,Dow Jones Newswires,TECHSTEP: Techstep Upgrades To Gold In Ecovadis Sustainability Rating
