ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
TER,2024-01-12,13:31:48,93F143,Teradyne Inc.,100,0.47,labor-issues,,Teradyne Inc.: is joining our Board of Directors,PRESS-RELEASE,DJ Global Press Release Wire,Bridget A. van Kralingen Elected to Teradyne's Board of Directors
TER,2024-01-16,14:02:42,93F143,Teradyne Inc.,100,0.0,earnings,,Teradyne to Announce Fourth Quarter and Full Year 2023 Results,PRESS-RELEASE,DJ Global Press Release Wire,Teradyne to Announce Fourth Quarter and Full Year 2023 Results
TER,2024-01-16,14:02:42,93F143,Teradyne Inc.,100,0.0,earnings,,Teradyne to Announce Fourth Quarter and Full Year 2023 Results,PRESS-RELEASE,DJ Global Press Release Wire,Teradyne to Announce Fourth Quarter and Full Year 2023 Results
TER,2024-01-16,14:02:42,93F143,Teradyne Inc.,100,0.0,investor-relations,,Teradyne Inc.: A conference call to discuss the fourth quarter,PRESS-RELEASE,DJ Global Press Release Wire,Teradyne to Announce Fourth Quarter and Full Year 2023 Results
TER,2024-01-22,22:11:05,93F143,Teradyne Inc.,100,0.38,dividends,up,Teradyne Declares 9% Increase in Quarterly Cash Dividend,PRESS-RELEASE,DJ Global Press Release Wire,Teradyne Declares 9% Increase in Quarterly Cash Dividend
TER,2024-01-23,10:05:27,93F143,Teradyne Inc.,100,0.01,analyst-ratings,neutral,Teradyne Initiated at Neutral by Cantor Fitzgerald,NEWS-FLASH,Dow Jones Newswires,Teradyne Initiated at Neutral by Cantor Fitzgerald
TER,2024-01-23,10:05:27,93F143,Teradyne Inc.,100,0.0,price-targets,set,Teradyne Price Target Announced at $110.00/Share by Cantor Fitzgerald,NEWS-FLASH,Dow Jones Newswires,Teradyne Price Target Announced at $110.00/Share by Cantor Fitzgerald
TER,2024-01-25,14:54:34,93F143,Teradyne Inc.,100,-0.48,insider-trading,,Officer Burns Registers 317 Of Teradyne Inc >TER,RNS-SEC144,Dow Jones Newswires,Officer Burns Registers 317 Of Teradyne Inc >TER
TER,2024-01-25,21:15:41,93F143,Teradyne Inc.,100,-0.48,insider-trading,,"Cfo Mehta Registers 1,083 Of Teradyne Inc >TER",RNS-SEC144,Dow Jones Newswires,"CFO Mehta Registers 1,083 Of Teradyne Inc >TER"
TER,2024-01-26,22:09:52,93F143,Teradyne Inc.,100,0.0,insider-trading,,Officer Wood Surrenders 187 Of Teradyne Inc >TER,FULL-ARTICLE,Dow Jones Newswires,Officer Wood Surrenders 187 Of Teradyne Inc >TER
