ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
TKO,2024-05-21,15:40:37,05541E,Tikehau Capital S.C.A.,100,-0.03,credit-ratings,stable,Fitch Affirms Tikehau Capital at 'BBB-'; Outlook Stable,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fitch Affirms Tikehau Capital at 'BBB-'; Outlook Stable
TKO,2024-05-21,15:40:37,05541E,Tikehau Capital S.C.A.,100,0.0,credit-ratings,affirmation,Fitch Ratings has affirmed Tikehau Capital SCA's Long-Term Issuer Default Rating (IDR) and,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fitch Affirms Tikehau Capital at 'BBB-'; Outlook Stable
TKO,2022-03-21,17:12:40,05541E,Tikehau Capital SCA,100,0.0,credit-ratings,set,S&PGR Rates Tikehau Capital SCA 'BBB,NEWS-FLASH,Dow Jones Newswires,S&PGR Rates Tikehau Capital SCA 'BBB-/A-3'; Outlook Stable
TKO,2025-03-28,13:43:33,05541E,Tikehau Capital S.C.A.,100,-0.04,credit-ratings,set,Fitch Rates Tikehau Capital's EUR500 million Senior Unsecured Bonds 'BBB-,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fitch Rates Tikehau Capital's EUR500 million Senior Unsecured Bonds 'BBB-(EXP)'
TKO,2025-03-28,13:43:33,05541E,Tikehau Capital S.C.A.,100,0.0,credit-ratings,affirmation,On 21 May 2024 (Fitch Affirms Tikehau Capital,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fitch Rates Tikehau Capital's EUR500 million Senior Unsecured Bonds 'BBB-(EXP)'
TKO,2025-04-02,10:00:51,05541E,Tikehau Capital S.C.A.,100,-0.04,credit-ratings,set,S&PGR Rates Tikehau Capital's Sr. Unsec Notes 'BBB-,PRESS-RELEASE,Dow Jones Newswires,Press Release: S&PGR Rates Tikehau Capital's Sr. Unsec Notes 'BBB-'
TKO,2025-04-03,09:43:34,05541E,Tikehau Capital S.C.A.,100,-0.04,credit-ratings,set,Fitch Assigns Tikehau Capital's EUR500 million Senior Unsecured Bonds Final 'BBB-' Rating,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fitch Assigns Tikehau Capital's EUR500 million Senior Unsecured Bonds Final 'BBB-' Rating
TKO,2025-04-03,09:43:34,05541E,Tikehau Capital S.C.A.,100,0.0,credit-ratings,affirmation,On 21 May 2024 (Fitch Affirms Tikehau Capital,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fitch Assigns Tikehau Capital's EUR500 million Senior Unsecured Bonds Final 'BBB-' Rating
TKO,2025-04-18,09:41:00,05541E,Tikehau Capital S.C.A.,100,0.59,equity-actions,,Tikehau Capital: Disclosure Of Shares Repurchases From 11 April 2025 To 17,NEWS-FLASH,Dow Jones Newswires,Tikehau Capital: Disclosure Of Shares Repurchases From 11 April 2025 To 17 April 2025 >TKO.FR
TKO,2025-04-18,09:41:00,05541E,Tikehau Capital S.C.A.,100,0.59,equity-actions,,Tikehau Capital: Disclosure of Shares Repurchases From 11 April 2025 to 17,PRESS-RELEASE,Business Wire,Tikehau Capital: Disclosure of Shares Repurchases From 11 April 2025 to 17 April 2025
TKO,2025-04-18,09:41:00,05541E,Tikehau Capital S.C.A.,100,0.59,equity-actions,,Tikehau Capital: Disclosure of Shares Repurchases From 11 April 2025 to 17,PRESS-RELEASE,Dow Jones Newswires,Press Release: Tikehau Capital: Disclosure of Shares Repurchases From 11 April 2025 to 17 April 2025
TKO,2025-04-24,15:46:00,05541E,Tikehau Capital S.C.A.,99,0.7,assets,up,"Tikehau Capital S.C.A.: Group AuM at 31 March 2025 reached EUR50.6bn, up +14% year-over-year",PRESS-RELEASE,Business Wire,Tikehau Capital Q1 2025 Announcement
TKO,2025-04-24,15:46:00,05541E,Tikehau Capital S.C.A.,99,0.53,labor-issues,,Appointed Deputy CEO of Tikehau Capital,PRESS-RELEASE,Business Wire,Tikehau Capital Q1 2025 Announcement -2-
TKO,2025-04-24,15:46:00,05541E,Tikehau Capital S.C.A.,99,0.59,equity-actions,,Tikehau Capital S.C.A.: SHARE BUY-BACK,PRESS-RELEASE,Business Wire,Tikehau Capital Q1 2025 Announcement -3-
TKO,2025-04-24,15:46:00,05541E,Tikehau Capital S.C.A.,99,0.0,investor-relations,,Tikehau Capital S.C.A.: 30 April 2025 Annual General Meeting,PRESS-RELEASE,Business Wire,Tikehau Capital Q1 2025 Announcement -3-
TKO,2025-04-24,15:46:00,05541E,Tikehau Capital S.C.A.,99,0.0,assets,,Tikehau Capital S.C.A.: AuM at 31-03-2025,PRESS-RELEASE,Business Wire,Tikehau Capital Q1 2025 Announcement -3-
TKO,2025-04-24,15:46:00,05541E,Tikehau Capital S.C.A.,99,0.0,assets,,Tikehau Capital S.C.A.: Q1 Change evolution AuM,PRESS-RELEASE,Business Wire,Tikehau Capital Q1 2025 Announcement -3-
TKO,2025-04-24,15:46:01,05541E,Tikehau Capital S.C.A.,99,0.7,assets,up,"Tikehau Capital S.C.A.: Group AuM at 31 March 2025 reached EUR50.6bn, up +14% year-over-year",PRESS-RELEASE,Dow Jones Newswires,Press Release: Tikehau Capital Q1 2025 Announcement
TKO,2025-04-24,15:46:01,05541E,Tikehau Capital S.C.A.,99,0.53,labor-issues,,Appointed Deputy CEO of Tikehau Capital,PRESS-RELEASE,Dow Jones Newswires,Press Release: Tikehau Capital Q1 2025 -2-
