ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
TPR,2024-01-30,14:56:54,BB0787,Tapestry Inc.,100,0.2,analyst-ratings,neutral,Tapestry Is Maintained at Outperform by Raymond James,NEWS-FLASH,Dow Jones Newswires,Tapestry Is Maintained at Outperform by Raymond James
TPR,2024-01-30,14:56:54,BB0787,Tapestry Inc.,100,0.78,price-targets,upgrade,Tapestry Price Target Raised to $44.00/Share From $40.00 by Raymond James,NEWS-FLASH,Dow Jones Newswires,Tapestry Price Target Raised to $44.00/Share From $40.00 by Raymond James
TPR,2024-02-01,11:45:01,BB0787,Tapestry Inc.,99,0.0,investor-relations,,"Tapestry, Inc. (NYSE: TPR) will hold a conference call to discuss",PRESS-RELEASE,Business Wire,"Tapestry, Inc. to Host FY24 Second Quarter Earnings Call"
TPR,2024-02-01,11:54:51,BB0787,Tapestry Inc.,99,0.0,investor-relations,,"Tapestry, Inc. (NYSE: TPR) will hold a conference call to discuss",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Tapestry, Inc. to Host FY24 Second Quarter Earnings Call"
TPR,2024-02-02,14:14:30,BB0787,Tapestry Inc.,100,0.34,analyst-ratings,neutral,Tapestry Is Maintained at Overweight by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,Tapestry Is Maintained at Overweight by Wells Fargo
TPR,2024-02-02,14:14:30,BB0787,Tapestry Inc.,100,0.78,price-targets,upgrade,Tapestry Price Target Raised to $60.00/Share From $50.00 by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,Tapestry Price Target Raised to $60.00/Share From $50.00 by Wells Fargo
TPR,2024-02-05,11:45:20,BB0787,Tapestry Inc.,100,0.94,analyst-ratings,positive,Tapestry Raised to Outperform From In-Line by Evercore ISI Group,NEWS-FLASH,Dow Jones Newswires,Tapestry Raised to Outperform From In-Line by Evercore ISI Group
TPR,2024-02-05,11:45:20,BB0787,Tapestry Inc.,100,0.88,price-targets,upgrade,Tapestry Price Target Raised to $50.00/Share From $30.00 by Evercore ISI Group,NEWS-FLASH,Dow Jones Newswires,Tapestry Price Target Raised to $50.00/Share From $30.00 by Evercore ISI Group
TPR,2024-02-07,19:00:59,BB0787,Tapestry Inc.,100,0.4,products-services,,Tapestry Named to Fortune's World's Most Admired Companies,PRESS-RELEASE,DJ Global Press Release Wire,Tapestry Named to Fortune's World's Most Admired Companies
TPR,2024-02-08,11:45:00,BB0787,Tapestry Inc.,100,0.0,revenues,,Tapestry 2Q Sales $2.08B >TPR,NEWS-FLASH,Dow Jones Newswires,Tapestry 2Q Sales $2.08B >TPR
TPR,2024-02-08,11:45:00,BB0787,Tapestry Inc.,100,0.0,earnings,,Tapestry Inc.: Raises Fiscal 2024 EPS,PRESS-RELEASE,Business Wire,"Tapestry, Inc. Delivers Record Q2 Revenue and EPS; Raises Fiscal 2024 EPS Outlook"
TPR,2024-02-08,11:45:00,BB0787,Tapestry Inc.,100,0.41,revenues,up,Tapestry Inc.: Delivered North America revenue,PRESS-RELEASE,Business Wire,"Tapestry, Inc. Delivers Record Q2 Revenue and EPS; Raises Fiscal 2024 EPS Outlook"
TPR,2024-02-08,11:45:00,BB0787,Tapestry Inc.,100,0.38,earnings,up,Tapestry Inc.: Grew Operating Profit by 7%,PRESS-RELEASE,Business Wire,"Tapestry, Inc. Delivers Record Q2 Revenue and EPS; Raises Fiscal 2024 EPS Outlook"
TPR,2024-02-08,11:45:00,BB0787,Tapestry Inc.,100,0.61,earnings,positive,Tapestry Inc.: Achieved Diluted EPS of $1.39,PRESS-RELEASE,Business Wire,"Tapestry, Inc. Delivers Record Q2 Revenue and EPS; Raises Fiscal 2024 EPS Outlook"
TPR,2024-02-08,11:45:00,BB0787,Tapestry Inc.,100,0.64,earnings,up,Tapestry Inc.: Increased EPS,PRESS-RELEASE,Business Wire,"Tapestry, Inc. Delivers Record Q2 Revenue and EPS; Raises Fiscal 2024 EPS Outlook"
TPR,2024-02-08,11:45:00,BB0787,Tapestry Inc.,100,0.0,earnings,,Tapestry's Q2 Earnings,PRESS-RELEASE,Business Wire,"Tapestry, Inc. Delivers Record Q2 Revenue and EPS; Raises Fiscal 2024 EPS Outlook"
TPR,2024-02-08,11:45:00,BB0787,Tapestry Inc.,100,0.7,earnings,above-expectations,Tapestry Inc.: Our second quarter results exceeded expectations,PRESS-RELEASE,Business Wire,"Tapestry, Inc. Delivers Record Q2 Revenue and EPS; Raises Fiscal 2024 EPS Outlook"
TPR,2024-02-08,11:45:00,BB0787,Tapestry Inc.,100,0.41,assets,open,Tapestry Inc.: Opened new multi-brand Las Vegas fulfillment center,PRESS-RELEASE,Business Wire,"Tapestry, Inc. Delivers Record Q2 Revenue and EPS; Raises Fiscal 2024 EPS Outlook"
TPR,2024-02-08,11:45:00,BB0787,Tapestry Inc.,100,0.6,earnings,positive,Tapestry Inc.: Operating income was $448 million,PRESS-RELEASE,Business Wire,"Tapestry, Inc. Delivers Record Q2 Revenue and EPS; Raises Fiscal 2024 EPS Outlook"
