ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
TRGP,2021-01-04,21:10:01,EAEBF3,Targa Resources Corp.,99,-0.57,labor-issues,,"Targa Resources Corp.: the ""Company"") announced today that Paul W. Chung retired from the management team",PRESS-RELEASE,GlobeNewswire,Targa Resources Corp. Announces Election of New Board Chairman
TRGP,2021-01-04,21:10:01,EAEBF3,Targa Resources Corp.,99,-0.57,labor-issues,,"Targa Resources Corp.: the ""Company"") announced today that Paul W. Chung retired from the management team",PRESS-RELEASE,Dow Jones Newswires,Press Release: Targa Resources Corp. Announces Election of New Board Chairman
TRGP,2021-01-08,20:54:00,EAEBF3,Targa Resources Corp.,100,-0.48,insider-trading,,"Dir Whalen James W & Virginia Registers 5,000 Of Targa Resources Corp >TRGP",RNS-SEC144,Dow Jones Newswires,"Dir Whalen James W & Virginia Registers 5,000 Of Targa Resources Corp >TRGP"
TRGP,2021-01-08,21:30:25,EAEBF3,Targa Resources Corp.,100,0.0,insider-trading,,"Cfo Kneale Surrenders 2,232 Of Targa Resources Corp >TRGP",FULL-ARTICLE,Dow Jones Newswires,"CFO Kneale Surrenders 2,232 Of Targa Resources Corp >TRGP"
TRGP,2021-01-11,21:52:17,EAEBF3,Targa Resources Corp.,100,-0.49,insider-trading,,"Dir Whalen Sells 20,000 Of Targa Resources Corp",FULL-ARTICLE,Dow Jones Newswires,"Dir Whalen Sells 20,000 Of Targa Resources Corp >TRGP"
TRGP,2021-01-12,13:40:48,EAEBF3,Targa Resources Corp.,100,0.34,analyst-ratings,neutral,Targa Resources Is Maintained at Strong Buy by Raymond James,NEWS-FLASH,Dow Jones Newswires,Targa Resources Is Maintained at Strong Buy by Raymond James
TRGP,2021-01-12,13:40:48,EAEBF3,Targa Resources Corp.,100,0.82,price-targets,upgrade,Targa Resources Price Target Raised to $36.00/Share From $26.00 by Raymond James,NEWS-FLASH,Dow Jones Newswires,Targa Resources Price Target Raised to $36.00/Share From $26.00 by Raymond James
TRGP,2021-01-15,16:11:56,EAEBF3,Targa Resources Corp.,100,0.34,analyst-ratings,neutral,Targa Resources Is Maintained at Overweight by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Targa Resources Is Maintained at Overweight by Morgan Stanley
TRGP,2021-01-15,16:11:56,EAEBF3,Targa Resources Corp.,100,0.6,price-targets,upgrade,Targa Resources Price Target Raised to $40.00/Share From $38.00 by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Targa Resources Price Target Raised to $40.00/Share From $38.00 by Morgan Stanley
TRGP,2021-01-15,19:39:52,EAEBF3,Targa Resources Corp.,100,0.0,marketing,,Targa Resources Corp. to Participate in UBS Winter Infrastructure & Energy Virtual Conference,PRESS-RELEASE,GlobeNewswire,"Targa Resources Corp. to Participate in UBS Winter Infrastructure & Energy Virtual Conference -- originally dated Jan 11, 2021"
TRGP,2021-01-19,08:29:03,EAEBF3,Targa Resources Corp.,100,0.0,investor-relations,,"Targa Resources Corp, Inst Holders, 4Q 2020 (TRGP)",RNS-SEC13F,Dow Jones Newswires,"Targa Resources Corp, Inst Holders, 4Q 2020 (TRGP)"
TRGP,2021-01-19,12:39:46,EAEBF3,Targa Resources Corp.,100,0.0,credit,,Targa Resources Partners LP Announces Tender Offer for Its 5.125% Senior Notes due 2025,PRESS-RELEASE,GlobeNewswire,Targa Resources Partners LP Announces Tender Offer for Its 5.125% Senior Notes due 2025
TRGP,2021-01-19,12:39:47,EAEBF3,Targa Resources Corp.,100,0.0,credit,,Targa Resources Partners LP Announces Tender Offer for Its 5.125% Senior Notes due 2025,PRESS-RELEASE,Dow Jones Newswires,Press Release: Targa Resources Partners LP Announces Tender Offer for Its 5.125% Senior Notes due 2025
TRGP,2021-01-19,12:39:55,EAEBF3,Targa Resources Corp.,100,0.0,credit,,Targa Resources Partners LP Announces Tender Offer for Its 5.125% Senior Notes Due 2025,NEWS-FLASH,Dow Jones Newswires,Targa Resources Partners LP Announces Tender Offer for Its 5.125% Senior Notes Due 2025
TRGP,2021-01-19,12:40:03,EAEBF3,Targa Resources Corp.,100,0.0,credit,,Targa Resources Partners LP Announces $750.0 Million Offering of Senior Notes,PRESS-RELEASE,GlobeNewswire,Targa Resources Partners LP Announces $750.0 Million Offering of Senior Notes
TRGP,2021-01-19,12:40:04,EAEBF3,Targa Resources Corp.,100,0.0,credit,,Targa Resources Partners LP Announces $750.0 Million Offering of Senior Notes,PRESS-RELEASE,Dow Jones Newswires,Press Release: Targa Resources Partners LP Announces $750.0 Million Offering of Senior Notes
TRGP,2021-01-19,12:40:14,EAEBF3,Targa Resources Corp.,100,0.0,credit,,Targa Resources Partners LP Announces $750.0 M Offering of Senior Notes,NEWS-FLASH,Dow Jones Newswires,Targa Resources Partners LP Announces $750.0 M Offering of Senior Notes
TRGP,2021-01-19,17:25:47,EAEBF3,Targa Resources Corp.,100,-0.16,credit-ratings,set,S&PGR Rates Targa Resources $750M Notes 'BB,PRESS-RELEASE,Dow Jones Newswires,Press Release: S&PGR Rates Targa Resources $750M Notes 'BB' ('3' RR)
