ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
TYL,2021-01-07,14:17:16,442769,Tyler Technologies Inc.,99,0.49,partnerships,,Tyler Technologies Inc.: I'm especially proud that we partnered closely with our,PRESS-RELEASE,Business Wire,Tyler Technologies Named to 2021 GovTech 100 List
TYL,2021-01-07,14:17:17,442769,Tyler Technologies Inc.,99,0.49,partnerships,,Tyler Technologies Inc.: I'm especially proud that we partnered closely with our,PRESS-RELEASE,Dow Jones Newswires,Press Release: Tyler Technologies Named to 2021 GovTech 100 List
TYL,2021-01-19,14:17:38,442769,Tyler Technologies Inc.,99,0.49,partnerships,,Oca and Tyler worked together to,PRESS-RELEASE,Business Wire,Tyler Technologies to Provide Electronic Filing to the State of Texas Through 2027
TYL,2021-01-19,14:25:31,442769,Tyler Technologies Inc.,99,0.49,partnerships,,Oca and Tyler worked together to,PRESS-RELEASE,Dow Jones Newswires,Press Release: Tyler Technologies to Provide Electronic Filing to the State of Texas Through 2027
TYL,2021-01-20,09:09:00,442769,Tyler Technologies Inc.,100,0.0,investor-relations,,"Tyler Technologies Inc, Inst Holders, 4Q 2020 (TYL)",RNS-SEC13F,Dow Jones Newswires,"Tyler Technologies Inc, Inst Holders, 4Q 2020 (TYL)"
TYL,2021-01-25,14:17:00,442769,Tyler Technologies Inc.,100,0.0,investor-relations,,Tyler Technologies Schedules Fourth Quarter 2020 Earnings Conference Call,PRESS-RELEASE,Business Wire,Tyler Technologies Schedules Fourth Quarter 2020 Earnings Conference Call and Webcast
TYL,2021-01-25,14:23:59,442769,Tyler Technologies Inc.,100,0.0,investor-relations,,Tyler Technologies Schedules Fourth Quarter 2020 Earnings Conference Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: Tyler Technologies Schedules Fourth Quarter 2020 Earnings Conference Call and Webcast
TYL,2021-01-29,16:36:10,442769,Tyler Technologies Inc.,100,-0.49,insider-trading,,Dir Brattain Sells 275 Of Tyler Technologies Inc,TABULAR-MATERIAL,Dow Jones Newswires,Dir Brattain Sells 275 Of Tyler Technologies Inc >TYL
TYL,2021-01-29,16:58:35,442769,Tyler Technologies Inc.,100,0.0,insider-trading,,"Dir Brattain Gifts 1,099 Of Tyler Technologies Inc >TYL",TABULAR-MATERIAL,Dow Jones Newswires,"Dir Brattain Gifts 1,099 Of Tyler Technologies Inc >TYL"
TYL,2021-02-02,16:34:22,442769,Tyler Technologies Inc.,100,0.0,analyst-ratings,neutral,Tyler Technologies Is Maintained at Neutral by DA Davidson,NEWS-FLASH,Dow Jones Newswires,Tyler Technologies Is Maintained at Neutral by DA Davidson
