ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
UHS,2021-05-10,16:48:40,29BC36,Umuthi Healthcare Solutions PLC,99,0.59,equity-actions,,Umuthi Healthcare Solutions PLC: The Listing Prospectus,PRESS-RELEASE,LSE Regulatory News Service (RNS),Umuthi Healthcare Solutions PLC Further Corporate Update
UHS,2021-05-10,16:48:40,29BC36,Umuthi Healthcare Solutions PLC,99,0.49,partnerships,,Umuthi Healthcare Solutions PLC: auditors of Umuthi the Company attempted to pursue a relationship,PRESS-RELEASE,LSE Regulatory News Service (RNS),Umuthi Healthcare Solutions PLC Further Corporate Update
UHS,2021-05-14,08:05:03,29BC36,Umuthi Healthcare Solutions PLC,99,-0.65,earnings,negative,Umuthi Healthcare Solutions PLC: Other comprehensive loss for the year,PRESS-RELEASE,LSE Regulatory News Service (RNS),Umuthi Healthcare Solutions PLC Financial statements Umuthi years end 2019 & 2020
UHS,2021-05-14,08:05:03,29BC36,Umuthi Healthcare Solutions PLC,99,0.22,acquisitions-mergers,,Umuthi Healthcare Solutions PLC: the company acquired 100% in Lems Pharmaceutical Ltd by way of share for,PRESS-RELEASE,LSE Regulatory News Service (RNS),Umuthi Healthcare Solutions PLC Financial statements Umuthi years end 2019 & 2020
UHS,2021-05-14,08:05:03,29BC36,Umuthi Healthcare Solutions PLC,99,0.0,earnings,,Umuthi Healthcare Solutions PLC: No Earnings Per Share,PRESS-RELEASE,LSE Regulatory News Service (RNS),Umuthi Healthcare Solutions PLC Financial -3-
UHS,2021-05-14,08:44:32,29BC36,Umuthi Healthcare Solutions PLC,94,0.61,earnings,positive,"Umuthi Healthcare Solutions PLC: Gross profit 13,971",PRESS-RELEASE,LSE Regulatory News Service (RNS),Umuthi Healthcare Solutions PLC Financial statements Lems years end 2019 & 2020
UHS,2021-05-14,08:44:32,29BC36,Umuthi Healthcare Solutions PLC,94,-0.65,earnings,negative,Umuthi Healthcare Solutions PLC: Loss for the year,PRESS-RELEASE,LSE Regulatory News Service (RNS),Umuthi Healthcare Solutions PLC Financial statements Lems years end 2019 & 2020
UHS,2021-05-14,08:44:32,29BC36,Umuthi Healthcare Solutions PLC,98,0.0,revenues,,Umuthi Healthcare Solutions PLC: Revenue is,PRESS-RELEASE,LSE Regulatory News Service (RNS),Umuthi Healthcare Solutions PLC Financial -5-
UHS,2021-05-14,08:44:32,29BC36,Umuthi Healthcare Solutions PLC,96,0.0,revenues,,Umuthi Healthcare Solutions PLC: Total revenue,PRESS-RELEASE,LSE Regulatory News Service (RNS),Umuthi Healthcare Solutions PLC Financial -8-
UHS,2021-05-19,15:11:22,29BC36,Umuthi Healthcare Solutions PLC,99,0.0,dividends,,Umuthi Healthcare Solutions PLC: No dividend,PRESS-RELEASE,LSE Regulatory News Service (RNS),Umuthi Healthcare Solutions PLC Annual Reports Umuthi Years Ending Feb 2019 & 2020
UHS,2021-05-19,15:11:22,29BC36,Umuthi Healthcare Solutions PLC,99,0.44,products-services,,Umuthi Healthcare Solutions PLC: The Company is launching its proprietary app,PRESS-RELEASE,LSE Regulatory News Service (RNS),Umuthi Healthcare Solutions PLC Annual Reports Umuthi Years Ending Feb 2019 & 2020
UHS,2021-05-19,15:11:22,29BC36,Umuthi Healthcare Solutions PLC,99,-0.65,earnings,negative,Umuthi Healthcare Solutions PLC: Other comprehensive loss for the year,PRESS-RELEASE,LSE Regulatory News Service (RNS),Umuthi Healthcare Solutions PLC Annual Reports -4-
UHS,2021-05-19,15:11:22,29BC36,Umuthi Healthcare Solutions PLC,99,0.22,acquisitions-mergers,,Umuthi Healthcare Solutions PLC: the company acquired 100% in Lems Pharmaceutical Ltd by way of share for,PRESS-RELEASE,LSE Regulatory News Service (RNS),Umuthi Healthcare Solutions PLC Annual Reports -4-
