ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ULTA,2024-01-10,15:09:11,CF7292,Ulta Beauty Inc.,99,0.49,partnerships,,Ecstatic to partner with Ulta Beauty to,PRESS-RELEASE,PR Newswire,"MYAVANA Announces Strategic Investments From Prisma Ventures & BrainTrust Fund, Along With Ulta Beauty Retail Partnership"
ULTA,2024-02-01,19:24:37,CF7292,Ulta Beauty Inc.,99,0.49,partnerships,,Ecstatic to partner with Ulta Beauty to,PRESS-RELEASE,PR Newswire,MYAVANA Announces Ulta Beauty Experiential Partnership Along With Strategic Investments From Prisma Ventures & BrainTrust Fund
ULTA,2024-02-14,13:33:50,CF7292,Ulta Beauty Inc.,100,-0.58,analyst-ratings,negative,Ulta Beauty Cut to Hold From Buy by Loop Capital,NEWS-FLASH,Dow Jones Newswires,Ulta Beauty Cut to Hold From Buy by Loop Capital
ULTA,2024-02-14,13:33:50,CF7292,Ulta Beauty Inc.,100,0.0,price-targets,set,Ulta Beauty Price Target Announced at $530.00/Share by Loop Capital,NEWS-FLASH,Dow Jones Newswires,Ulta Beauty Price Target Announced at $530.00/Share by Loop Capital
ULTA,2024-02-15,14:59:03,CF7292,Ulta Beauty Inc.,100,0.34,analyst-ratings,neutral,Ulta Beauty Is Maintained at Overweight by JP Morgan,NEWS-FLASH,Dow Jones Newswires,Ulta Beauty Is Maintained at Overweight by JP Morgan
ULTA,2024-02-15,14:59:03,CF7292,Ulta Beauty Inc.,100,0.78,price-targets,upgrade,Ulta Beauty Price Target Raised to $600.00/Share From $535.00 by JP Morgan,NEWS-FLASH,Dow Jones Newswires,Ulta Beauty Price Target Raised to $600.00/Share From $535.00 by JP Morgan
ULTA,2024-02-22,08:16:17,CF7292,Ulta Beauty Inc.,100,0.0,investor-relations,,"Ulta Beauty Inc, Inst Holders, 4Q 2023 (ULTA)",RNS-SEC13F,Dow Jones Newswires,"Ulta Beauty Inc, Inst Holders, 4Q 2023 (ULTA)"
ULTA,2024-02-29,21:05:01,CF7292,Ulta Beauty Inc.,100,0.0,earnings,,"Ulta Beauty to Report Fourth Quarter and Fiscal 2023 Results on March 14, 2024",PRESS-RELEASE,Business Wire,"Ulta Beauty to Report Fourth Quarter and Fiscal 2023 Results on March 14, 2024"
ULTA,2024-02-29,21:05:01,CF7292,Ulta Beauty Inc.,100,0.0,earnings,,"Ulta Beauty to Report Fourth Quarter and Fiscal 2023 Results on March 14, 2024",PRESS-RELEASE,Business Wire,"Ulta Beauty to Report Fourth Quarter and Fiscal 2023 Results on March 14, 2024"
ULTA,2024-02-29,21:05:01,CF7292,Ulta Beauty Inc.,100,0.0,earnings,,"Ulta Beauty, Inc. (NASDAQ: ULTA) today announced that its financial results for the fourth quarter",PRESS-RELEASE,Business Wire,"Ulta Beauty to Report Fourth Quarter and Fiscal 2023 Results on March 14, 2024"
ULTA,2024-02-29,21:05:01,CF7292,Ulta Beauty Inc.,100,0.0,investor-relations,,Ulta Beauty Inc.: The Company will host a conference call at 4:30 p.m. ET,PRESS-RELEASE,Business Wire,"Ulta Beauty to Report Fourth Quarter and Fiscal 2023 Results on March 14, 2024"
ULTA,2024-03-05,15:05:06,CF7292,Ulta Beauty Inc.,100,0.34,analyst-ratings,neutral,Ulta Beauty Is Maintained at Buy by UBS,NEWS-FLASH,Dow Jones Newswires,Ulta Beauty Is Maintained at Buy by UBS
ULTA,2024-03-05,15:05:06,CF7292,Ulta Beauty Inc.,100,0.78,price-targets,upgrade,Ulta Beauty Price Target Raised to $690.00/Share From $575.00 by UBS,NEWS-FLASH,Dow Jones Newswires,Ulta Beauty Price Target Raised to $690.00/Share From $575.00 by UBS
ULTA,2024-03-13,13:54:14,CF7292,Ulta Beauty Inc.,100,0.34,analyst-ratings,neutral,Ulta Beauty Is Maintained at Outperform by Evercore ISI Group,NEWS-FLASH,Dow Jones Newswires,Ulta Beauty Is Maintained at Outperform by Evercore ISI Group
ULTA,2024-03-13,13:54:14,CF7292,Ulta Beauty Inc.,100,0.78,price-targets,upgrade,Ulta Beauty Price Target Raised to $635.00/Share From $565.00 by Evercore ISI Group,NEWS-FLASH,Dow Jones Newswires,Ulta Beauty Price Target Raised to $635.00/Share From $565.00 by Evercore ISI Group
ULTA,2024-03-14,20:05:02,CF7292,Ulta Beauty Inc.,100,0.0,earnings,,Ulta Beauty Announces Fourth Quarter Fiscal 2023 Results,PRESS-RELEASE,Business Wire,Ulta Beauty Announces Fourth Quarter Fiscal 2023 Results
ULTA,2024-03-14,20:05:02,CF7292,Ulta Beauty Inc.,100,0.41,revenues,up,Ulta Beauty Inc.: Net Sales of $3.6 Billion Compared to $3.2 Billion in the Year-Ago,PRESS-RELEASE,Business Wire,Ulta Beauty Announces Fourth Quarter Fiscal 2023 Results
