ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
UPS,2021-01-11,21:53:06,FAE021,United Parcel Service Inc.,100,0.0,earnings,,"Ups to Release Fourth-Quarter 2020 Results on Tuesday, Feb. 2, 2021",PRESS-RELEASE,GlobeNewswire,"UPS to Release Fourth-Quarter 2020 Results on Tuesday, Feb. 2, 2021"
UPS,2021-01-11,21:53:06,FAE021,United Parcel Service Inc.,100,0.0,earnings,,"Ups to Release Fourth-Quarter 2020 Results on Tuesday, Feb. 2, 2021",PRESS-RELEASE,Dow Jones Newswires,"Press Release: UPS to Release Fourth-Quarter 2020 Results on Tuesday, Feb. 2, 2021"
UPS,2021-01-11,21:53:06,FAE021,United Parcel Service Inc.,100,0.0,earnings,,"Ups to Release Fourth-Quarter 2020 Results on Tuesday, Feb. 2, 2021",FULL-ARTICLE,Dow Jones Newswires,"Press Release: UPS to Release Fourth-Quarter 2020 Results on Tuesday, Feb. 2, 2021"
UPS,2021-01-11,21:53:06,FAE021,United Parcel Service Inc.,100,0.0,earnings,,"Ups to Release Fourth-Quarter 2020 Results on Tuesday, Feb. 2, 2021",PRESS-RELEASE,DJ Global Press Release Wire,"Press Release: UPS to Release Fourth-Quarter 2020 Results on Tuesday, Feb. 2, 2021"
UPS,2021-01-11,21:53:12,FAE021,United Parcel Service Inc.,100,0.0,earnings,,"Ups to Release Fourth-Quarter 2020 Results on Tuesday, Feb. 2, 2021",PRESS-RELEASE,Dow Jones Newswires,"Press Release: UPS to Release Fourth-Quarter 2020 Results on Tuesday, Feb. 2, 2021"
UPS,2021-01-22,09:32:02,FAE021,United Parcel Service Inc.,100,0.0,investor-relations,,"United Parcel Service Inc Cl, Inst Holders, 4Q 2020 (UPS)",RNS-SEC13F,Dow Jones Newswires,"United Parcel Service Inc Cl, Inst Holders, 4Q 2020 (UPS)"
UPS,2021-01-25,13:32:42,FAE021,United Parcel Service Inc.,100,0.58,acquisitions-mergers,,Ups to sell UPS Freight for $800 mln to TFI International,NEWS-FLASH,MarketWatch,MW UPS to sell UPS Freight for $800 mln to TFI International
UPS,2021-01-25,13:30:01,FAE021,United Parcel Service Inc.,99,0.39,products-services,,Ups and TFI International will also enter into an agreement,FULL-ARTICLE,Dow Jones Newswires,Press Release: UPS Announces Agreement to Sell UPS Freight to TFI International Inc.
UPS,2021-01-25,13:30:01,FAE021,United Parcel Service Inc.,99,0.39,products-services,,Ups and TFI International will also enter into an agreement,PRESS-RELEASE,DJ Global Press Release Wire,Press Release: UPS Announces Agreement to Sell UPS Freight to TFI International Inc.
UPS,2021-01-25,13:30:01,FAE021,United Parcel Service Inc.,99,0.39,products-services,,Ups and TFI International will also enter into an agreement,PRESS-RELEASE,Dow Jones Newswires,Press Release: UPS Announces Agreement to Sell UPS Freight to TFI International Inc.
UPS,2021-01-25,13:30:01,FAE021,United Parcel Service Inc.,99,0.0,revenues,,Ups Freight generated approximately US$3 billion in revenue in 2020,PRESS-RELEASE,GlobeNewswire,TFI International to Acquire US$3 Billion Revenue LTL Carrier UPS Freight in Approximately US$800 Million Enterprise Value Transaction
UPS,2021-01-25,13:30:03,FAE021,United Parcel Service Inc.,99,0.39,products-services,,Ups and TFI International will also enter into an agreement,PRESS-RELEASE,GlobeNewswire,UPS Announces Agreement to Sell UPS Freight to TFI International Inc.
UPS,2021-01-25,13:30:04,FAE021,United Parcel Service Inc.,99,0.39,products-services,,Ups and TFI International will also enter into an agreement,PRESS-RELEASE,Dow Jones Newswires,Press Release: UPS Announces Agreement to Sell UPS Freight to TFI International Inc.
UPS,2021-01-25,13:32:05,FAE021,United Parcel Service Inc.,99,0.0,revenues,,Ups Freight generated approximately US$3 billion in revenue in 2020,PRESS-RELEASE,Dow Jones Newswires,Press Release: TFI International to Acquire US$3 Billion Revenue LTL Carrier UPS Freight in Approximately US$800 Million Enterprise Value Transaction
UPS,2021-01-25,13:33:26,FAE021,United Parcel Service Inc.,100,0.58,acquisitions-mergers,,United Parcel Service to Sell UPS Freight to TFI,NEWS-FLASH,Dow Jones Newswires,United Parcel Service to Sell UPS Freight to TFI for $800M
UPS,2021-01-25,13:40:57,FAE021,United Parcel Service Inc.,100,0.58,acquisitions-mergers,,Ups to sell freight business to TFI for $800 million,FULL-ARTICLE,MarketWatch,MW UPS to sell freight business to TFI for $800 million as part of 'better not bigger' plan
UPS,2021-01-25,13:40:57,FAE021,United Parcel Service Inc.,100,0.58,acquisitions-mergers,,Ups To Sell Freight Business To TFI For $800 Million,FULL-ARTICLE,Dow Jones Newswires,UPS To Sell Freight Business To TFI For $800 Million As Part Of 'better Not Bigger' Plan -- MarketWatch
UPS,2021-01-25,13:54:50,FAE021,United Parcel Service Inc.,100,0.58,acquisitions-mergers,,Ups to Sell Freight Business to TFI International for $800M,FULL-ARTICLE,Dow Jones Newswires,UPS to Sell Freight Business to TFI International for $800M
UPS,2021-01-25,14:09:50,FAE021,United Parcel Service Inc.,100,0.58,acquisitions-mergers,,Ups to Sell Freight Business to TFI International for $800 Million,FULL-ARTICLE,Dow Jones Newswires,UPS to Sell Freight Business to TFI International for $800 Million
UPS,2021-01-25,16:39:57,FAE021,United Parcel Service Inc.,100,0.58,acquisitions-mergers,,Ups to Sell Freight Trucking Business to TFI for $800 Million,FULL-ARTICLE,Dow Jones Newswires,UPS to Sell Freight Trucking Business to TFI for $800 Million
UPS,2021-01-25,16:50:03,FAE021,United Parcel Service Inc.,99,0.58,acquisitions-mergers,,United Parcel Service Inc. agreed to sell its freight business to rival TFI International Inc.,FULL-ARTICLE,Dow Jones Newswires,UPS to Sell Freight Trucking Business for $800 Million
UPS,2021-01-25,16:54:58,FAE021,United Parcel Service Inc.,100,0.58,acquisitions-mergers,,Ups to Sell Freight Trucking Business to TFI for $800 Million,FULL-ARTICLE,Dow Jones Newswires,UPS to Sell Freight Trucking Business to TFI for $800 Million
UPS,2021-01-25,17:54:10,FAE021,United Parcel Service Inc.,93,0.58,acquisitions-mergers,,TFI International Inc.: the company agreed to acquire UPS Freight from United Parcel Service Inc.,FULL-ARTICLE,Dow Jones Newswires,TFI Intl Shares Climb 26% After News of $800M UPS Freight Deal
