ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
VLO,2024-01-02,07:01:02,045C23,Canadian Overseas Petroleum Ltd.,99,0.0,equity-actions,,Copl Announces US$2.5 Million Equity Financing,PRESS-RELEASE,LSE Regulatory News Service (RNS),Canadian Overseas Petroleum Limited Issue of Equity
VLO,2024-01-02,07:01:02,045C23,Canadian Overseas Petroleum Ltd.,99,0.0,products-services,,Canadian Overseas Petroleum Ltd.: Oil production,PRESS-RELEASE,LSE Regulatory News Service (RNS),Canadian Overseas Petroleum Limited Issue of Equity
VLO,2024-01-02,07:01:15,045C23,Canadian Overseas Petroleum Ltd.,99,0.0,equity-actions,,Copl Announces US$2.5 Million Equity Financing,PRESS-RELEASE,PR Newswire,Canadian Overseas Petroleum Limited - Issue of Equity
VLO,2024-01-02,07:01:15,045C23,Canadian Overseas Petroleum Ltd.,99,0.0,products-services,,Canadian Overseas Petroleum Ltd.: Oil production,PRESS-RELEASE,PR Newswire,Canadian Overseas Petroleum Limited - Issue of Equity
VLO,2024-01-10,17:56:19,045C23,Canadian Overseas Petroleum Ltd.,99,0.39,products-services,,Canadian Overseas Petroleum Ltd.: An agreement with COPL,PRESS-RELEASE,LSE Regulatory News Service (RNS),Canadian Overseas Petroleum Ltd Update in Response to Shareholder Queries
VLO,2024-01-10,17:56:19,045C23,Canadian Overseas Petroleum Ltd.,99,0.47,equity-actions,,Canadian Overseas Petroleum Ltd.: The Chief Restructuring,PRESS-RELEASE,LSE Regulatory News Service (RNS),Canadian Overseas Petroleum Ltd Update in Response to Shareholder Queries
VLO,2024-01-10,17:56:19,045C23,Canadian Overseas Petroleum Ltd.,99,0.47,equity-actions,,Canadian Overseas Petroleum Ltd.: The Chief Restructuring,PRESS-RELEASE,LSE Regulatory News Service (RNS),Canadian Overseas Petroleum Ltd Update in -2-
VLO,2024-01-10,18:54:03,045C23,Canadian Overseas Petroleum Ltd.,99,0.39,products-services,,Canadian Overseas Petroleum Ltd.: An agreement with COPL,PRESS-RELEASE,DJ Global Press Release Wire,Canadian Overseas Petroleum Ltd Announces Update in Response to Shareholder Queries
VLO,2024-01-10,18:54:03,045C23,Canadian Overseas Petroleum Ltd.,99,0.47,equity-actions,,Canadian Overseas Petroleum Ltd.: The Chief Restructuring,PRESS-RELEASE,DJ Global Press Release Wire,Canadian Overseas Petroleum Ltd Announces Update in Response to Shareholder Queries
VLO,2024-01-10,18:54:03,045C23,Canadian Overseas Petroleum Ltd.,99,0.47,equity-actions,,Canadian Overseas Petroleum Ltd.: The Chief Restructuring,PRESS-RELEASE,DJ Global Press Release Wire,Canadian Overseas Petroleum Ltd Announces Update -2-
VLO,2024-01-13,01:32:48,045C23,Canadian Overseas Petroleum Ltd.,99,0.39,products-services,,"Canadian Overseas Petroleum Ltd.: difficulty, the Company has reached an agreement to",PRESS-RELEASE,Canadian News Wire,Canadian Overseas Petroleum Limited Requests Exemptions under Policy 4 of the Canadian Securities Exchange
VLO,2024-01-13,01:32:49,045C23,Canadian Overseas Petroleum Ltd.,99,0.39,products-services,,"Canadian Overseas Petroleum Ltd.: difficulty, the Company has reached an agreement to",PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Overseas Petroleum Limited Requests Exemptions under Policy 4 of the Canadian Securities Exchange
