ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
VRSN,2024-01-02,21:05:01,A5B913,VeriSign Inc.,100,0.0,earnings,,Verisign to Report Fourth Quarter and Full Year 2023 Financial Results,PRESS-RELEASE,Business Wire,Verisign to Report Fourth Quarter and Full Year 2023 Financial Results
VRSN,2024-01-02,21:05:01,A5B913,VeriSign Inc.,100,0.0,earnings,,Verisign to Report Fourth Quarter and Full Year 2023 Financial Results,PRESS-RELEASE,Business Wire,Verisign to Report Fourth Quarter and Full Year 2023 Financial Results
VRSN,2024-01-02,21:05:01,A5B913,VeriSign Inc.,100,0.0,investor-relations,,"Verisign will host a live teleconference call on Feb. 8, 2024, at 4:30 p.m. (EST)",PRESS-RELEASE,Business Wire,Verisign to Report Fourth Quarter and Full Year 2023 Financial Results
VRSN,2024-01-02,21:19:13,A5B913,VeriSign Inc.,100,0.0,earnings,,Verisign to Report Fourth Quarter and Full Year 2023 Financial Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign to Report Fourth Quarter and Full Year 2023 Financial Results
VRSN,2024-01-02,21:19:13,A5B913,VeriSign Inc.,100,0.0,earnings,,Verisign to Report Fourth Quarter and Full Year 2023 Financial Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign to Report Fourth Quarter and Full Year 2023 Financial Results
VRSN,2024-01-02,21:19:13,A5B913,VeriSign Inc.,100,0.0,investor-relations,,"Verisign will host a live teleconference call on Feb. 8, 2024, at 4:30 p.m. (EST)",PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign to Report Fourth Quarter and Full Year 2023 Financial Results
VRSN,2024-01-02,22:09:54,A5B913,VeriSign Inc.,100,-0.48,insider-trading,,Vp Indelicarto Registers 613 Of VeriSign Inc >VRSN,RNS-SEC144,Dow Jones Newswires,VP Indelicarto Registers 613 Of VeriSign Inc >VRSN
VRSN,2024-01-02,22:15:51,A5B913,VeriSign Inc.,100,-0.48,insider-trading,,Vp McPherson Registers 125 Of VeriSign Inc >VRSN,RNS-SEC144,Dow Jones Newswires,VP McPherson Registers 125 Of VeriSign Inc >VRSN
VRSN,2024-01-03,22:06:49,A5B913,VeriSign Inc.,100,-0.49,insider-trading,,Vp Indelicarto Sells 613 Of VeriSign Inc,TABULAR-MATERIAL,Dow Jones Newswires,VP Indelicarto Sells 613 Of VeriSign Inc >VRSN
VRSN,2024-01-03,22:07:52,A5B913,VeriSign Inc.,100,-0.49,insider-trading,,Vp McPherson Sells 125 Of VeriSign Inc,TABULAR-MATERIAL,Dow Jones Newswires,VP McPherson Sells 125 Of VeriSign Inc >VRSN
VRSN,2024-01-09,21:33:56,A5B913,VeriSign Inc.,100,-0.48,insider-trading,,Vp Indelicarto Registers 613 Of VeriSign Inc >VRSN,RNS-SEC144,Dow Jones Newswires,VP Indelicarto Registers 613 Of VeriSign Inc >VRSN
VRSN,2024-01-10,22:33:37,A5B913,VeriSign Inc.,100,-0.49,insider-trading,,Vp Indelicarto Sells 613 Of VeriSign Inc,TABULAR-MATERIAL,Dow Jones Newswires,VP Indelicarto Sells 613 Of VeriSign Inc >VRSN
VRSN,2024-01-12,22:06:13,A5B913,VeriSign Inc.,100,-0.49,insider-trading,,"Chmn Bidzos Sells 6,000 Of VeriSign Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Bidzos Sells 6,000 Of VeriSign Inc >VRSN"
VRSN,2024-01-16,22:09:32,A5B913,VeriSign Inc.,100,-0.48,insider-trading,,Vp McPherson Registers 125 Of VeriSign Inc >VRSN,RNS-SEC144,Dow Jones Newswires,VP McPherson Registers 125 Of VeriSign Inc >VRSN
VRSN,2024-01-17,21:49:24,A5B913,VeriSign Inc.,100,-0.49,insider-trading,,Vp McPherson Sells 125 Of VeriSign Inc,TABULAR-MATERIAL,Dow Jones Newswires,VP McPherson Sells 125 Of VeriSign Inc >VRSN
VRSN,2024-01-18,23:35:40,A5B913,VeriSign Inc.,100,-0.49,insider-trading,,"Chmn Bidzos Sells 6,000 Of VeriSign Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Bidzos Sells 6,000 Of VeriSign Inc >VRSN"
VRSN,2024-02-01,21:13:32,A5B913,VeriSign Inc.,100,-0.48,insider-trading,,Vp McPherson Registers 125 Of VeriSign Inc >VRSN,RNS-SEC144,Dow Jones Newswires,VP McPherson Registers 125 Of VeriSign Inc >VRSN
VRSN,2024-02-02,22:10:53,A5B913,VeriSign Inc.,100,-0.49,insider-trading,,Vp McPherson Sells 125 Of VeriSign Inc,TABULAR-MATERIAL,Dow Jones Newswires,VP McPherson Sells 125 Of VeriSign Inc >VRSN
VRSN,2024-02-06,21:18:52,A5B913,VeriSign Inc.,100,-0.48,insider-trading,,Vp Indelicarto Registers 613 Of VeriSign Inc >VRSN,RNS-SEC144,Dow Jones Newswires,VP Indelicarto Registers 613 Of VeriSign Inc >VRSN
VRSN,2024-02-07,22:21:46,A5B913,VeriSign Inc.,100,-0.49,insider-trading,,Vp Indelicarto Sells 613 Of VeriSign Inc,TABULAR-MATERIAL,Dow Jones Newswires,VP Indelicarto Sells 613 Of VeriSign Inc >VRSN
VRSN,2024-02-08,21:05:00,A5B913,VeriSign Inc.,100,0.61,earnings,positive,4Q EPS $2.60 >VRSN,NEWS-FLASH,Dow Jones Newswires,VeriSign 4Q EPS $2.60 >VRSN
VRSN,2024-02-08,21:05:00,A5B913,VeriSign Inc.,100,0.0,revenues,,Verisign 4Q Rev $380M >VRSN,NEWS-FLASH,Dow Jones Newswires,VeriSign 4Q Rev $380M >VRSN
VRSN,2024-02-08,21:05:00,A5B913,VeriSign Inc.,100,0.61,earnings,positive,Verisign 4Q Net $264.7M,NEWS-FLASH,Dow Jones Newswires,VeriSign 4Q Net $264.7M >VRSN
VRSN,2024-02-08,21:05:01,A5B913,VeriSign Inc.,100,0.0,earnings,,Verisign Reports Fourth Quarter and Full Year 2023 Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign Reports Fourth Quarter and Full Year 2023 Results
VRSN,2024-02-08,21:05:01,A5B913,VeriSign Inc.,100,0.0,earnings,,Verisign Reports Fourth Quarter and Full Year 2023 Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign Reports Fourth Quarter and Full Year 2023 Results
VRSN,2024-02-08,21:05:01,A5B913,VeriSign Inc.,100,0.41,revenues,up,"Verisign"") reported revenue of $380 million for the fourth quarter of 2023, up 3.0 percent",PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign Reports Fourth Quarter and Full Year 2023 Results
VRSN,2024-02-08,21:05:01,A5B913,VeriSign Inc.,100,0.38,earnings,up,"VeriSign Inc.: Operating income was $256 million for the fourth quarter of 2023, compared to $245 million for the same quarter",PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign Reports Fourth Quarter and Full Year 2023 Results
VRSN,2024-02-08,21:05:01,A5B913,VeriSign Inc.,100,0.61,earnings,positive,Verisign reported net income of $265 million,PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign Reports Fourth Quarter and Full Year 2023 Results
VRSN,2024-02-08,21:05:01,A5B913,VeriSign Inc.,100,0.41,revenues,up,"Verisign reported revenue of $1.49 billion for 2023, up 4.8 percent",PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign Reports Fourth Quarter and Full Year 2023 Results
VRSN,2024-02-08,21:05:01,A5B913,VeriSign Inc.,100,0.38,earnings,up,VeriSign Inc.: Operating income was $1.00 billion for 2023 compared to $943 million in 2022,PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign Reports Fourth Quarter and Full Year 2023 Results
VRSN,2024-02-08,21:05:01,A5B913,VeriSign Inc.,100,0.0,revenues,,"VeriSign Inc.: Deferred revenues as of Dec. 31, 2023",PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign Reports Fourth Quarter and Full Year 2023 Results
VRSN,2024-02-08,21:05:01,A5B913,VeriSign Inc.,100,0.59,equity-actions,,"During the fourth quarter of 2023, Verisign repurchased 1.1 million shares of its common stock",PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign Reports Fourth Quarter and Full Year 2023 Results
VRSN,2024-02-08,21:05:01,A5B913,VeriSign Inc.,100,0.59,equity-actions,,"2023, Verisign repurchased 4.2 million shares",PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign Reports Fourth Quarter and Full Year 2023 Results
VRSN,2024-02-08,21:05:01,A5B913,VeriSign Inc.,100,0.0,investor-relations,,VeriSign Inc.: Today's Conference Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign Reports Fourth Quarter and Full Year 2023 Results
VRSN,2024-02-08,21:05:01,A5B913,VeriSign Inc.,100,0.0,assets,,"VeriSign Inc.: Total assets $ 1,749.0 $ 1,733.4",PRESS-RELEASE,Dow Jones Newswires,Press Release: Verisign Reports Fourth Quarter and Full Year 2023 Results
