ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
WMB,2024-01-02,17:04:55,E21871,Williams Cos. Inc.,100,0.0,credit-ratings,set,Fitch Rates Williams Companies Proposed Senior Unsecured Notes 'BBB,NEWS-FLASH,Dow Jones Newswires,Fitch Rates Williams Companies Proposed Senior Unsecured Notes 'BBB'
WMB,2024-01-02,17:04:55,E21871,Williams Cos. Inc.,100,0.0,credit-ratings,set,Fitch Rates Williams Companies Proposed Senior Unsecured Notes 'BBB,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fitch Rates Williams Companies Proposed Senior Unsecured Notes 'BBB'
WMB,2024-01-03,00:42:00,E21871,Williams Cos. Inc.,100,0.0,credit,,Williams Prices $2.1 Billion of Senior Notes,PRESS-RELEASE,Business Wire,Williams Prices $2.1 Billion of Senior Notes
WMB,2024-01-03,00:42:01,E21871,Williams Cos. Inc.,100,0.0,credit,,Williams Prices $2.1 Billion of Senior Notes,PRESS-RELEASE,Dow Jones Newswires,Press Release: Williams Prices $2.1 Billion of Senior Notes
WMB,2024-01-03,01:04:44,E21871,Williams Cos. Inc.,100,0.0,credit,,Williams Prices $2.1 Billion of Senior Notes,NEWS-FLASH,Dow Jones Newswires,Williams Prices $2.1 Billion of Senior Notes
WMB,2024-01-03,13:00:09,E21871,Williams Cos. Inc.,99,0.4,products-services,,Williams Cos. Inc.: will be honored at annual awards,PRESS-RELEASE,PR Newswire,"Living Legends of Aviation to Honor First-Ever Recipient of Prestigious ""Dr. Sam B. Williams Technology Award"""
WMB,2024-01-03,21:15:00,E21871,Williams Cos. Inc.,100,0.5,acquisitions-mergers,completed,Williams Closes Acquisition of Major Natural Gas Storage Portfolio,PRESS-RELEASE,Business Wire,Williams Closes Acquisition of Major Natural Gas Storage Portfolio
WMB,2024-01-03,21:15:01,E21871,Williams Cos. Inc.,100,0.5,acquisitions-mergers,completed,Williams Closes Acquisition of Major Natural Gas Storage Portfolio,PRESS-RELEASE,Dow Jones Newswires,Press Release: Williams Closes Acquisition of Major Natural Gas Storage Portfolio
WMB,2024-01-03,21:15:08,E21871,Williams Cos. Inc.,100,0.5,acquisitions-mergers,completed,Williams Closes Acquisition of Major Natural Gas Storage Portfolio,NEWS-FLASH,Dow Jones Newswires,Williams Closes Acquisition of Major Natural Gas Storage Portfolio
WMB,2024-01-03,21:15:26,E21871,Williams Cos. Inc.,100,0.5,acquisitions-mergers,completed,Williams Cos Closed Acquisition of Portfolio,NEWS-FLASH,Dow Jones Newswires,Williams Cos Closed Acquisition of Portfolio of Natural Gas Storage Assets From Affil of Hartree Partners LP for $1.95 B >WMB
WMB,2024-01-11,20:01:38,E21871,Williams Cos. Inc.,99,-0.57,labor-issues,rejected,Williams Cos. Inc.: Union rejected our offer,PRESS-RELEASE,Canadian News Wire,"Montreal families have the right to quality school transportation: Autobus Transco denounces unrealistic salary demands, the refusal to go to arbitration and the disinformation campaign led by the CSN"
WMB,2024-01-24,13:00:01,E21871,Williams Cos. Inc.,99,0.53,labor-issues,,Was named Vice President of Government Affairs for Williams in Nov. 2023,PRESS-RELEASE,Business Wire,Williams Names New D.C. Leadership Team
WMB,2024-01-24,13:00:56,E21871,Williams Cos. Inc.,100,0.53,labor-issues,,Williams Cos: Liz Bowman Named Vice Pres of Government Affairs,NEWS-FLASH,Dow Jones Newswires,Williams Cos: Liz Bowman Named Vice Pres of Government Affairs >WMB
WMB,2024-01-24,13:04:51,E21871,Williams Cos. Inc.,99,0.53,labor-issues,,Was named Vice President of Government Affairs for Williams in Nov. 2023,PRESS-RELEASE,Dow Jones Newswires,Press Release: Williams Names New D.C. Leadership Team
WMB,2024-01-25,13:00:01,E21871,Williams Cos. Inc.,100,0.0,earnings,,"Williams plans to announce its fourth-quarter and full-year 2023 financial results before the market opens on Wednesday, Feb. 14, 2024",PRESS-RELEASE,Business Wire,Williams to Report Fourth-Quarter and Full-Year 2023 Financial Results Feb. 14; will host Clean Energy Expo Feb. 13 and Analyst Day event Feb. 14 in Washington D.C.
WMB,2024-01-25,13:00:01,E21871,Williams Cos. Inc.,100,0.0,earnings,,"Williams plans to announce its fourth-quarter and full-year 2023 financial results before the market opens on Wednesday, Feb. 14, 2024",PRESS-RELEASE,Business Wire,Williams to Report Fourth-Quarter and Full-Year 2023 Financial Results Feb. 14; will host Clean Energy Expo Feb. 13 and Analyst Day event Feb. 14 in Washington D.C.
WMB,2024-01-25,13:09:56,E21871,Williams Cos. Inc.,100,0.0,earnings,,"Williams plans to announce its fourth-quarter and full-year 2023 financial results before the market opens on Wednesday, Feb. 14, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: Williams to Report Fourth-Quarter and Full-Year 2023 Financial Results Feb. 14; will host Clean Energy Expo Feb. 13 and Analyst Day event Feb. 14 in Washington D.C.
WMB,2024-01-25,13:09:56,E21871,Williams Cos. Inc.,100,0.0,earnings,,"Williams plans to announce its fourth-quarter and full-year 2023 financial results before the market opens on Wednesday, Feb. 14, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: Williams to Report Fourth-Quarter and Full-Year 2023 Financial Results Feb. 14; will host Clean Energy Expo Feb. 13 and Analyst Day event Feb. 14 in Washington D.C.
WMB,2024-01-25,13:09:56,E21871,Williams Cos. Inc.,100,0.0,marketing,,Williams Cos. Inc.: will host Clean Energy Expo Feb. 13,PRESS-RELEASE,Dow Jones Newswires,Press Release: Williams to Report Fourth-Quarter and Full-Year 2023 Financial Results Feb. 14; will host Clean Energy Expo Feb. 13 and Analyst Day event Feb. 14 in Washington D.C.
