ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
WSM,2021-01-04,23:06:52,48A29D,Surge Copper Corp.,100,0.53,labor-issues,,"Surge Copper Corp.: the ""Company"") is pleased to announce the appointment of Leif Nilsson as Chief Executive Officer",PRESS-RELEASE,Canadian News Wire,Surge Copper Appoints Leif Nilsson as Chief Executive Officer
WSM,2021-01-04,23:06:52,48A29D,Surge Copper Corp.,100,0.53,labor-issues,,Surge Copper Corp.: PR) Surge Copper Appoints Leif Nilsson as Chief Executive Officer,PRESS-RELEASE,PR Newswire,(PR) Surge Copper Appoints Leif Nilsson as Chief Executive Officer
WSM,2021-01-04,23:06:53,48A29D,Surge Copper Corp.,100,0.53,labor-issues,,Surge Copper Corp.: Press Release: Surge Copper Appoints Leif Nilsson as Chief Executive Officer,PRESS-RELEASE,Dow Jones Newswires,Press Release: Surge Copper Appoints Leif Nilsson as Chief Executive Officer
WSM,2021-01-04,23:15:33,48A29D,Surge Copper Corp.,100,0.53,labor-issues,,Surge Copper Corp.: Press Release: Surge Copper Appoints Leif Nilsson as Chief Executive Officer,PRESS-RELEASE,Dow Jones Newswires,Press Release: Surge Copper Appoints Leif Nilsson as Chief Executive Officer
WSM,2021-01-04,23:35:21,48A29D,Surge Copper Corp.,100,0.53,labor-issues,,"Surge Copper Corp.: the ""Company"") is pleased to announce the appointment of Leif Nilsson as Chief Executive Officer",PRESS-RELEASE,PR Newswire,Surge Copper Appoints Leif Nilsson as Chief Executive Officer
WSM,2021-01-11,13:00:16,48A29D,Surge Copper Corp.,100,0.51,exploration,,Surge Copper Corp.: The current drill program at Ootsa has been expanded by a minimum of,PRESS-RELEASE,Canadian News Wire,Surge Copper Resumes Drilling at Ootsa and Expands Drill Program
WSM,2021-01-11,13:00:17,48A29D,Surge Copper Corp.,100,0.51,exploration,,Surge Copper Corp.: The current drill program at Ootsa has been expanded by a minimum of,PRESS-RELEASE,PR Newswire,(PR) Surge Copper Resumes Drilling at Ootsa and Expands Drill Program
WSM,2021-01-11,13:01:24,48A29D,Surge Copper Corp.,100,0.51,exploration,,Surge Copper Corp.: The current drill program at Ootsa has been expanded by a minimum of,PRESS-RELEASE,PR Newswire,Surge Copper Resumes Drilling at Ootsa and Expands Drill Program
WSM,2021-01-11,16:40:08,48A29D,Surge Copper Corp.,100,0.51,exploration,,Surge Copper Corp.: The current drill program at Ootsa has been expanded by a minimum of,PRESS-RELEASE,Canadian News Wire,(CNW) Surge Copper Resumes Drilling at Ootsa and Expands Drill Program
WSM,2021-01-11,16:40:08,48A29D,Surge Copper Corp.,100,0.51,exploration,,Surge Copper Corp.: The current drill program at Ootsa has been expanded by a minimum of,PRESS-RELEASE,Dow Jones Newswires,Press Release: Surge Copper Resumes Drilling at Ootsa and Expands Drill Program
