ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
WY,2021-01-14,21:30:02,FF4BA4,Weyerhaeuser Co.,99,0.0,dividends,,"Shareholders of Weyerhaeuser Company (NYSE: WY), the 2020 dividend",PRESS-RELEASE,PR Newswire,Weyerhaeuser Announces Tax Treatment of 2020 Distributions
WY,2021-01-14,21:30:02,FF4BA4,Weyerhaeuser Co.,99,0.0,revenues,,"Weyerhaeuser Co.: In 2019, we generated $6.6 billion in net sales",PRESS-RELEASE,PR Newswire,Weyerhaeuser Announces Tax Treatment of 2020 Distributions
WY,2021-01-14,21:30:02,FF4BA4,Weyerhaeuser Co.,99,0.0,dividends,,"Shareholders of Weyerhaeuser Company (NYSE: WY), the 2020 dividend",PRESS-RELEASE,Dow Jones Newswires,Press Release: Weyerhaeuser Announces Tax Treatment of 2020 Distributions
WY,2021-01-14,21:30:02,FF4BA4,Weyerhaeuser Co.,99,0.0,revenues,,"Weyerhaeuser Co.: In 2019, we generated $6.6 billion in net sales",PRESS-RELEASE,Dow Jones Newswires,Press Release: Weyerhaeuser Announces Tax Treatment of 2020 Distributions
WY,2021-01-22,08:51:39,FF4BA4,Weyerhaeuser Co.,100,0.0,investor-relations,,"Weyerhaeuser Company, Inst Holders, 4Q 2020 (WY)",RNS-SEC13F,Dow Jones Newswires,"Weyerhaeuser Company, Inst Holders, 4Q 2020 (WY)"
WY,2021-01-25,22:24:00,FF4BA4,Weyerhaeuser Co.,99,0.55,acquisitions-mergers,,Weyerhaeuser's group annuity contract purchase from Metropolitan Tower Life Insurance,PRESS-RELEASE,Business Wire,"MetLife to Provide Annuity Benefits to Nearly 5,200 Weyerhaeuser Retirees and Beneficiaries"
WY,2021-01-25,22:24:01,FF4BA4,Weyerhaeuser Co.,99,0.55,acquisitions-mergers,,Weyerhaeuser's group annuity contract purchase from Metropolitan Tower Life Insurance,PRESS-RELEASE,Dow Jones Newswires,"Press Release: MetLife to Provide Annuity Benefits to Nearly 5,200 Weyerhaeuser Retirees and Beneficiaries"
WY,2021-01-29,08:05:09,FF4BA4,Weyerhaeuser Co.,100,0.61,earnings,positive,Weyerhaeuser 4Q Net $292M,NEWS-FLASH,Dow Jones Newswires,Weyerhaeuser 4Q Net $292M >WY
WY,2021-01-29,08:05:09,FF4BA4,Weyerhaeuser Co.,100,0.0,revenues,,Weyerhaeuser 4Q Sales $2.1B >WY,NEWS-FLASH,Dow Jones Newswires,Weyerhaeuser 4Q Sales $2.1B >WY
WY,2021-01-29,08:05:09,FF4BA4,Weyerhaeuser Co.,100,0.61,earnings,positive,4Q EPS 39c >WY,NEWS-FLASH,Dow Jones Newswires,Weyerhaeuser 4Q EPS 39c >WY
WY,2021-01-29,08:05:09,FF4BA4,Weyerhaeuser Co.,100,0.61,earnings,positive,Weyerhaeuser 4Q Adj EPS 48c,NEWS-FLASH,Dow Jones Newswires,Weyerhaeuser 4Q Adj EPS 48c >WY
WY,2021-01-29,08:05:09,FF4BA4,Weyerhaeuser Co.,100,0.0,revenues,,Weyerhaeuser 4Q Timberlands Net Sales $502M,NEWS-FLASH,Dow Jones Newswires,Weyerhaeuser 4Q Timberlands Net Sales $502M >WY
WY,2021-01-29,08:05:09,FF4BA4,Weyerhaeuser Co.,100,0.0,revenues,,Weyerhaeuser 4Q Wood Products Net Sales $1.65B,NEWS-FLASH,Dow Jones Newswires,Weyerhaeuser 4Q Wood Products Net Sales $1.65B >WY
WY,2021-01-29,08:05:09,FF4BA4,Weyerhaeuser Co.,100,0.0,earnings,,"Weyerhaeuser Reports Fourth Quarter, Full Year Results",PRESS-RELEASE,PR Newswire,"Weyerhaeuser Reports Fourth Quarter, Full Year Results"
WY,2021-01-29,08:05:09,FF4BA4,Weyerhaeuser Co.,100,0.61,earnings,positive,Weyerhaeuser Co.: the company reported fourth quarter net earnings of $361 million,PRESS-RELEASE,PR Newswire,"Weyerhaeuser Reports Fourth Quarter, Full Year Results"
WY,2021-01-29,08:05:09,FF4BA4,Weyerhaeuser Co.,100,0.58,earnings,positive,Weyerhaeuser Co.: Adjusted EBITDA for the fourth quarter of 2020 was $657 million,PRESS-RELEASE,PR Newswire,"Weyerhaeuser Reports Fourth Quarter, Full Year Results"
WY,2021-01-29,08:05:09,FF4BA4,Weyerhaeuser Co.,100,0.58,earnings,positive,Weyerhaeuser Co.: Adjusted EBITDA for full year 2020 was $2.2 billion,PRESS-RELEASE,PR Newswire,"Weyerhaeuser Reports Fourth Quarter, Full Year Results"
WY,2021-01-29,08:05:09,FF4BA4,Weyerhaeuser Co.,100,0.44,credit,reduction,Weyerhaeuser Co.: we reduced gross debt,PRESS-RELEASE,PR Newswire,"Weyerhaeuser Reports Fourth Quarter, Full Year Results"
