ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
XYL,2021-01-08,12:46:08,F46EC9,Xylem Inc.,100,-0.58,analyst-ratings,negative,Xylem downgraded to market perform from outperform at Raymond James,NEWS-FLASH,MarketWatch,MW Xylem downgraded to market perform from outperform at Raymond James
XYL,2021-01-08,14:16:35,F46EC9,Xylem Inc.,100,-0.58,analyst-ratings,negative,Xylem Cut to Market Perform From Outperform by Raymond James,NEWS-FLASH,Dow Jones Newswires,Xylem Cut to Market Perform From Outperform by Raymond James
XYL,2021-01-08,14:19:45,F46EC9,Xylem Inc.,100,-0.98,analyst-ratings,negative,Xylem Cut to Underperform From Market Perform by Cowen & Co.,NEWS-FLASH,Dow Jones Newswires,Xylem Cut to Underperform From Market Perform by Cowen & Co.
XYL,2021-01-08,14:19:45,F46EC9,Xylem Inc.,100,0.0,price-targets,set,Xylem Price Target Announced at $65.00/Share by Cowen & Co.,NEWS-FLASH,Dow Jones Newswires,Xylem Price Target Announced at $65.00/Share by Cowen & Co.
XYL,2021-01-13,17:16:27,F46EC9,Xylem Inc.,100,0.0,earnings,,"Xylem to release fourth quarter 2020 financial results on February 4, 2021",PRESS-RELEASE,Business Wire,"Xylem to release fourth quarter 2020 financial results on February 4, 2021"
XYL,2021-01-13,17:16:27,F46EC9,Xylem Inc.,100,0.0,investor-relations,,Xylem's senior management team will host a conference call with,PRESS-RELEASE,Business Wire,"Xylem to release fourth quarter 2020 financial results on February 4, 2021"
XYL,2021-01-13,17:16:28,F46EC9,Xylem Inc.,100,0.0,earnings,,"Xylem to release fourth quarter 2020 financial results on February 4, 2021",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Xylem to release fourth quarter 2020 financial results on February 4, 2021"
XYL,2021-01-13,17:16:28,F46EC9,Xylem Inc.,100,0.0,investor-relations,,Xylem's senior management team will host a conference call with,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Xylem to release fourth quarter 2020 financial results on February 4, 2021"
XYL,2021-01-21,17:13:46,F46EC9,Xylem Inc.,100,-0.49,insider-trading,,"Vp Sabol Sells 5,596 Of Xylem Inc",TABULAR-MATERIAL,Dow Jones Newswires,"VP Sabol Sells 5,596 Of Xylem Inc >XYL"
XYL,2021-01-21,23:06:01,F46EC9,Xylem Inc.,100,-0.48,insider-trading,,"Vp Sabol Registers 11,189 Of Xylem Inc >XYL",RNS-SEC144,Dow Jones Newswires,"VP Sabol Registers 11,189 Of Xylem Inc >XYL"
