ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
YUM,2021-01-26,16:53:42,15DF4D,Fasttask Technologies Inc.,100,-0.65,equity-actions,halt,Iiroc Trading Halt - TASK.X,PRESS-RELEASE,Canadian News Wire,IIROC Trading Halt - TASK.X
YUM,2021-09-28,10:30:24,15DF4D,Fasttask Technologies Inc.,99,0.0,products-services,,Fasttask Technologies Inc.: demand for our products,PRESS-RELEASE,DJ Global Press Release Wire,Komo Plant Based Foods Significantly Expands Capacity With Launch of Increased Production Through Co-Manufacturing Agreement
YUM,2021-09-28,10:30:24,15DF4D,Fasttask Technologies Inc.,99,0.0,products-services,,"Komo Plant Based Comfort Foods Inc. ""Commencing production at this new facility",PRESS-RELEASE,DJ Global Press Release Wire,Komo Plant Based Foods Significantly Expands Capacity With Launch of Increased Production Through Co-Manufacturing Agreement
YUM,2021-01-26,16:53:42,15DF4D,Fasttask Technologies Inc.,100,-0.65,equity-actions,halt,Iiroc Trading Halt - TASK.X,PRESS-RELEASE,Canadian News Wire,IIROC Trading Halt - TASK.X
YUM,2021-09-28,10:30:24,15DF4D,Fasttask Technologies Inc.,99,0.0,products-services,,Fasttask Technologies Inc.: demand for our products,PRESS-RELEASE,DJ Global Press Release Wire,Komo Plant Based Foods Significantly Expands Capacity With Launch of Increased Production Through Co-Manufacturing Agreement
YUM,2021-09-28,10:30:24,15DF4D,Fasttask Technologies Inc.,99,0.0,products-services,,"Komo Plant Based Comfort Foods Inc. ""Commencing production at this new facility",PRESS-RELEASE,DJ Global Press Release Wire,Komo Plant Based Foods Significantly Expands Capacity With Launch of Increased Production Through Co-Manufacturing Agreement
YUM,2021-01-26,16:53:42,15DF4D,Fasttask Technologies Inc.,100,-0.65,equity-actions,halt,Iiroc Trading Halt - TASK.X,PRESS-RELEASE,Canadian News Wire,IIROC Trading Halt - TASK.X
YUM,2021-09-28,10:30:24,15DF4D,Fasttask Technologies Inc.,99,0.0,products-services,,Fasttask Technologies Inc.: demand for our products,PRESS-RELEASE,DJ Global Press Release Wire,Komo Plant Based Foods Significantly Expands Capacity With Launch of Increased Production Through Co-Manufacturing Agreement
YUM,2021-09-28,10:30:24,15DF4D,Fasttask Technologies Inc.,99,0.0,products-services,,"Komo Plant Based Comfort Foods Inc. ""Commencing production at this new facility",PRESS-RELEASE,DJ Global Press Release Wire,Komo Plant Based Foods Significantly Expands Capacity With Launch of Increased Production Through Co-Manufacturing Agreement
YUM,2021-01-26,16:53:42,15DF4D,Fasttask Technologies Inc.,100,-0.65,equity-actions,halt,Iiroc Trading Halt - TASK.X,PRESS-RELEASE,Canadian News Wire,IIROC Trading Halt - TASK.X
YUM,2021-09-28,10:30:24,15DF4D,Fasttask Technologies Inc.,99,0.0,products-services,,Fasttask Technologies Inc.: demand for our products,PRESS-RELEASE,DJ Global Press Release Wire,Komo Plant Based Foods Significantly Expands Capacity With Launch of Increased Production Through Co-Manufacturing Agreement
YUM,2021-09-28,10:30:24,15DF4D,Fasttask Technologies Inc.,99,0.0,products-services,,"Komo Plant Based Comfort Foods Inc. ""Commencing production at this new facility",PRESS-RELEASE,DJ Global Press Release Wire,Komo Plant Based Foods Significantly Expands Capacity With Launch of Increased Production Through Co-Manufacturing Agreement
YUM,2021-01-26,16:53:42,15DF4D,Fasttask Technologies Inc.,100,-0.65,equity-actions,halt,Iiroc Trading Halt - TASK.X,PRESS-RELEASE,Canadian News Wire,IIROC Trading Halt - TASK.X
YUM,2021-09-28,10:30:24,15DF4D,Fasttask Technologies Inc.,99,0.0,products-services,,Fasttask Technologies Inc.: demand for our products,PRESS-RELEASE,DJ Global Press Release Wire,Komo Plant Based Foods Significantly Expands Capacity With Launch of Increased Production Through Co-Manufacturing Agreement
